,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,518440513,95737,6280181,167,473222442,22177,38937890,39478,66511,805.7,0,0,0
1,USA,83778760,0,1025104,0,81059093,0,1694563,1745,250387,3064,1013580634,3029263,334596450
2,India,43110185,0,524103,0,42563949,0,22133,698,30681,373,841514701,598890,1405124872
3,Brazil,30594388,0,664443,0,29681120,0,248825,8318,142064,3085,63776166,296142,215357015
4,France,29021224,0,146979,0,27825031,0,1049214,1364,442795,2243,269816888,4116769,65540928
5,Germany,25490156,0,137222,0,23536900,0,1816034,1279,302446,1628,122332384,1451500,84279960
6,UK,22144628,0,176424,0,21589987,0,378217,253,323061,2574,519264096,7575380,68546277
7,Russia,18237227,0,377150,0,17614371,0,245706,2300,124869,2582,273400000,1871958,146050315
8,S. Korea,17658794,43899,23491,29,N/A,N/A,N/A,383,343885,457,15804065,307766,51350875
9,Italy,16872618,0,164731,0,15624915,0,1082972,358,279824,2732,216566431,3591648,60297233
10,Turkey,15046779,0,98861,0,14944393,0,3525,975,174923,1149,160096045,1861163,86019338
11,Spain,12058888,0,105123,0,11522364,0,431401,339,257733,2247,471036328,10067394,46788306
12,Vietnam,10681214,0,43058,0,9324934,0,1313222,363,107934,435,85806031,867077,98960160
13,Argentina,9101319,0,128729,0,8895999,0,76591,372,198011,2801,35716069,777050,45963646
14,Japan,8133197,0,29843,0,7784155,0,319199,158,64673,237,49702654,395219,125759701
15,Netherlands,8063029,0,22281,0,7966632,0,74116,55,468643,1295,21107399,1226813,17205067
16,Iran,7226219,0,141192,0,7010698,0,74329,836,84042,1642,51582635,599914,85983346
17,Australia,6370417,35817,7605,46,5940461,0,422351,114,244568,292,70190203,2694683,26047667
18,Colombia,6093645,0,139809,0,5927076,0,26760,342,117441,2694,34560302,666068,51887026
19,Indonesia,6049141,0,156416,0,5886870,0,5855,2771,21691,561,96701485,346751,278878726
20,Poland,6001327,0,116150,0,5334983,0,550194,1125,158892,3075,36178272,957861,37769871
21,Mexico,5745652,0,324465,0,5044893,0,376294,4798,43713,2469,15855490,120628,131440812
22,Ukraine,5006460,0,108449,0,N/A,N/A,N/A,177,115763,2508,19521252,451385,43247409
23,Malaysia,4463740,0,35590,0,4405197,0,22953,67,134719,1074,59008611,1780921,33133752
24,Thailand,4345218,7650,29255,56,4237692,9322,78271,1496,61965,417,17270775,246288,70124258
25,Austria,4189700,0,18271,0,4106651,0,64778,79,460328,2007,184388182,20258998,9101545
26,Belgium,4102082,0,31580,0,3903711,0,166791,122,351115,2703,33779532,2891338,11683011
27,Israel,4097845,0,10749,0,4052605,0,34491,150,439400,1153,41373364,4436346,9326000
28,Portugal,3935932,0,22420,0,N/A,N/A,N/A,61,388095,2211,41642475,4106077,10141670
29,Czechia,3913356,0,40229,0,3866199,0,6928,14,364177,3744,55288462,5145140,10745764
30,South Africa,3852148,0,100559,0,3685196,0,66393,192,63469,1657,24726029,407394,60693120
31,Canada,3799360,0,39854,0,3489567,0,269939,423,99058,1039,61306765,1598410,38354852
32,Philippines,3687320,0,60439,0,3623243,0,3638,289,32840,538,29743235,264899,112281327
33,Switzerland,3631881,0,13882,0,3530433,0,87566,78,414040,1583,20927607,2385780,8771809
34,Chile,3583227,0,57642,0,3454378,0,71207,167,184512,2968,37419745,1926864,19420021
35,Peru,3570339,0,212968,0,N/A,N/A,N/A,254,105562,6297,30100460,889962,33822189
36,Greece,3371051,0,29444,0,3280545,0,61062,196,326374,2851,80771769,7820047,10328809
37,Denmark,2973651,0,6252,0,2955986,0,11413,6,510063,1072,127306349,21836543,5829968
38,Romania,2900375,0,65581,0,2606660,0,228134,153,152650,3452,22872014,1203781,19000146
39,Sweden,2503090,0,18791,0,2475271,546,9028,16,245020,1839,18534055,1814243,10215862
40,Iraq,2325871,0,25215,0,2299451,0,1205,11,55519,602,18508162,441795,41893091
41,Serbia,2010961,0,16037,0,1984483,0,10441,16,231885,1849,9561725,1102569,8672221
42,Bangladesh,1952855,0,29127,0,1897798,0,25930,1273,11643,174,14027750,83634,167727244
43,Hungary,1903200,0,46266,0,1808061,0,48873,40,197942,4812,11355462,1181023,9614940
44,Slovakia,1785535,0,19994,0,1756582,0,8959,36,326749,3659,7117625,1302512,5464538
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163052,1352,16670254,1604348,10390674
46,Georgia,1655221,0,16811,0,1637293,0,1117,0,416409,4229,16920079,4256633,3974991
47,Pakistan,1528831,0,30375,0,1494141,0,4315,103,6681,133,28263598,123513,228831837
48,Ireland,1524555,0,7163,0,1484188,0,33204,32,302497,1421,12125378,2405873,5039907
49,Norway,1428699,0,3006,0,N/A,N/A,N/A,20,259776,547,11002430,2000540,5499729
50,Kazakhstan,1305603,0,13661,0,1291371,0,571,24,68027,712,11575012,603100,19192533
51,Singapore,1225024,0,1356,0,1153485,0,70183,6,206388,228,23767171,4004219,5935532
52,Hong Kong,1207091,0,9352,0,N/A,N/A,N/A,5,158627,1229,44972952,5910031,7609596
53,Morocco,1165366,0,16071,0,1148914,0,381,293,30895,426,11237010,297901,37720557
54,Bulgaria,1160347,0,37007,0,995019,0,128321,72,169353,5401,9902921,1445338,6851628
55,Croatia,1128239,0,15899,0,1108233,0,4107,15,278001,3918,4819199,1187461,4058405
56,Cuba,1104110,0,8528,0,1095012,0,570,23,97590,754,12920253,1141989,11313817
57,Lebanon,1097643,0,10402,0,1084270,0,2971,186,162161,1537,4795578,708476,6768864
58,Lithuania,1059836,0,9121,0,1030233,0,20482,12,399637,3439,9949382,3751652,2652000
59,Finland,1052767,0,4150,0,46000,0,1002617,21,189461,747,10773620,1938868,5556656
60,Tunisia,1041197,0,28575,0,N/A,N/A,N/A,29,86424,2372,4592916,381231,12047586
61,Slovenia,1016993,0,6613,0,999852,0,10528,22,489064,3180,2653740,1276164,2079467
62,New Zealand,1013721,8047,855,29,960384,11667,52482,0,202659,171,7115383,1422479,5002100
63,Belarus,982867,0,6978,0,928536,0,47353,0,104078,739,13220483,1399946,9443569
64,Nepal,978960,0,11952,0,966823,0,185,0,32516,397,5659241,187971,30106914
65,Bolivia,905530,0,21925,0,862277,0,21328,220,75664,1832,2705422,226058,11967814
66,UAE,900764,0,2302,0,884771,0,13691,0,89082,228,157825264,15608269,10111644
67,Uruguay,899723,0,7210,0,888557,0,3956,18,257356,2062,6091188,1742321,3496020
68,Ecuador,871046,0,35602,0,N/A,N/A,N/A,759,48021,1963,2470170,136180,18139033
69,Costa Rica,866164,0,8444,0,841683,0,16037,48,167205,1630,4401922,849752,5180245
70,Guatemala,850255,0,17719,0,830386,0,2150,5,45888,956,4516595,243758,18529043
71,Latvia,824926,0,5792,0,814721,0,4413,9,446484,3135,7207977,3901256,1847604
72,Panama,793137,0,8194,0,768839,0,16104,16,178614,1845,5960270,1342249,4440510
73,Azerbaijan,792638,0,9709,0,782869,0,60,0,76893,942,6838458,663388,10308385
74,Saudi Arabia,756549,0,9104,0,742782,0,4663,49,21122,254,42027011,1173362,35817593
75,Sri Lanka,663597,0,16509,0,646149,0,939,0,30751,765,6486117,300569,21579484
76,Paraguay,649718,0,18872,0,624673,0,6173,2,89067,2587,2633737,361046,7294748
77,Kuwait,631898,0,2555,0,628946,0,397,1,144022,582,8064250,1838007,4387496
78,Myanmar,613066,0,19434,0,591987,0,1645,0,11129,353,8040752,145969,55085153
79,Palestine,582119,0,5353,0,576684,0,82,17,109402,1006,3078533,578573,5320903
80,Dominican Republic,580020,0,4376,0,575175,0,469,1,52494,396,3296116,298309,11049322
81,Bahrain,574401,0,1477,0,567743,0,5181,3,317172,816,9761217,5389933,1811009
82,Estonia,573922,0,2556,0,514836,0,56530,3,432109,1924,3345340,2518727,1328187
83,Venezuela,522749,0,5709,0,515907,0,1133,230,18480,202,3359014,118749,28286786
84,Moldova,516986,0,11489,0,504142,0,1355,49,128712,2860,3216305,800752,4016606
85,Egypt,515645,0,24613,0,442182,0,48850,122,4869,232,3693367,34874,105907260
86,Libya,501904,0,6430,0,490973,0,4501,101,71250,913,2477219,351664,7044279
87,Cyprus,477711,0,1032,0,124370,0,352309,60,390404,843,9477138,7745088,1223632
88,Ethiopia,470798,0,7510,0,455743,0,7545,3,3916,62,4820100,40089,120233895
89,Mongolia,469885,0,2179,0,313256,0,154450,192,139183,645,4030048,1193726,3376023
90,Taiwan,448323,0,943,0,39254,0,408126,0,18761,39,15584088,652147,23896586
91,Honduras,424376,0,10896,0,132358,0,281122,105,41621,1069,1364273,133802,10196236
92,Armenia,422896,0,8623,0,412048,0,2225,0,142222,2900,3068217,1031855,2973497
93,Réunion,405980,0,762,0,395430,0,9788,10,447537,840,1603660,1767816,907142
94,Oman,389325,0,4259,0,384516,0,550,3,72812,797,25000000,4675531,5346986
95,Bosnia and Herzegovina,377385,0,15773,0,192218,0,169394,0,116367,4864,1764397,544056,3243045
96,Qatar,365495,0,677,0,363974,0,844,2,130171,241,3471534,1236387,2807805
97,Kenya,323921,0,5649,0,318097,0,175,0,5788,101,3620567,64695,55963578
98,Zambia,320226,0,3983,0,315769,0,474,1,16561,206,3443019,178056,19336732
99,North Macedonia,310413,0,9287,0,300532,0,594,0,149007,4458,2027591,973298,2083216
100,Botswana,306324,0,2690,0,303026,0,608,1,125567,1103,2026898,830860,2439517
101,Albania,275416,0,3497,0,271710,0,209,2,95898,1218,1814203,631691,2871980
102,Algeria,265804,0,6875,0,178366,0,80563,6,5865,152,230861,5094,45316852
103,Nigeria,255802,0,3143,0,249936,0,2723,11,1186,15,5114703,23724,215595417
104,Zimbabwe,248642,0,5481,0,242198,0,963,12,16290,359,2278641,149287,15263483
105,Luxembourg,242194,0,1071,0,231818,0,9305,2,375593,1661,4242123,6578659,644831
106,Uzbekistan,238743,0,1637,0,236857,0,249,23,6947,48,1377915,40094,34367212
107,Montenegro,235945,0,2717,0,232564,0,664,6,375581,4325,2461599,3918415,628213
108,Mozambique,225440,0,2201,0,223180,0,59,13,6857,67,1317300,40069,32875919
109,China,220721,324,5198,7,207955,817,7568,484,153,4,160000000,111163,1439323776
110,Laos,208848,0,752,0,7660,0,200436,0,27954,101,1232128,164921,7471015
111,Kyrgyzstan,200993,0,2991,0,196406,0,1596,131,29894,445,1907195,283663,6723460
112,Iceland,185961,0,119,0,75685,0,110157,0,538482,345,2264004,6555813,345343
113,Maldives,179483,0,298,0,163687,0,15498,25,321557,534,2213831,3966245,558168
114,Afghanistan,179017,0,7685,0,162001,0,9331,1124,4415,190,946564,23343,40551031
115,Uganda,164069,0,3596,0,100205,0,60268,2,3389,74,2612795,53968,48413959
116,El Salvador,162089,0,4129,0,150662,0,7298,8,24759,631,1950448,297924,6546801
117,Ghana,161271,0,1445,0,159774,0,52,1,4997,45,2441751,75658,32273514
118,Namibia,159311,0,4028,0,153662,0,1621,0,60665,1534,1013853,386070,2626087
119,Martinique,153253,0,926,0,104,0,152223,8,408973,2471,828928,2212091,374726
120,Trinidad and Tobago,152380,0,3861,0,139702,0,8817,18,108234,2742,718984,510686,1407879
121,Brunei,143372,0,219,0,141961,0,1192,1,322014,492,717784,1612146,445235
122,Guadeloupe,140130,0,854,0,2250,0,137026,19,350105,2134,938039,2343627,400251
123,Cambodia,136262,0,3056,0,133184,0,22,0,7947,178,2957913,172500,17147338
124,Jamaica,131327,0,2980,0,84514,0,43833,0,43994,998,1021789,342297,2985097
125,Rwanda,129858,0,1459,0,45522,0,82877,0,9586,108,5317742,392557,13546436
126,Cameroon,119780,0,1927,0,117791,0,62,13,4313,69,1751774,63084,27768809
127,Angola,99194,0,1900,0,97149,0,145,0,2854,55,1499795,43150,34758051
128,Malta,93041,0,713,0,89273,0,3055,4,209684,1607,1898387,4278344,443720
129,DRC,87023,0,1337,0,50930,0,34756,0,920,14,846704,8950,94599845
130,Senegal,86019,0,1966,0,84040,0,13,0,4898,112,1076536,61304,17560510
131,Malawi,85825,0,2635,0,82082,0,1108,67,4282,131,576970,28784,20044791
132,Ivory Coast,81977,0,799,0,81164,0,14,0,2972,29,1508044,54665,27587187
133,French Guiana,80859,0,395,0,11254,0,69210,2,258327,1262,627211,2003805,313010
134,Suriname,80008,0,1337,0,49455,0,29216,0,134160,2242,236268,396181,596364
135,Channel Islands,75075,0,173,0,74278,0,624,0,424560,978,1252808,7084816,176830
136,Barbados,74454,0,430,0,69619,0,4405,0,258497,1493,662810,2301216,288026
137,French Polynesia,72786,0,648,0,N/A,N/A,N/A,7,256365,2282,0,0,283915
138,Eswatini,71341,0,1402,0,69359,0,580,11,60336,1186,1019628,862334,1182405
139,Fiji,64725,0,862,0,62853,0,1010,0,71246,949,508406,559628,908472
140,Madagascar,64236,0,1393,0,59370,0,3473,14,2214,48,430995,14858,29008486
141,Guyana,63586,0,1228,0,62229,0,129,0,80126,1547,604718,762014,793579
142,Sudan,62161,0,4936,0,N/A,N/A,N/A,0,1359,108,562941,12306,45744159
143,New Caledonia,60749,0,312,0,60231,0,206,9,209061,1074,98964,340574,290580
144,Bhutan,59530,0,21,0,59247,0,262,2,75609,27,2303162,2925248,787339
145,Mauritania,58778,0,982,0,57705,0,91,0,12055,201,810933,166317,4875840
146,Belize,57729,0,676,0,56732,0,321,6,140463,1645,546449,1329592,410990
147,Cabo Verde,56080,0,401,0,55587,0,92,23,98877,707,400982,706990,567168
148,Syria,55863,0,3150,0,52360,0,353,0,3055,172,146269,7998,18287483
149,Gabon,47608,0,304,0,47297,0,7,0,20495,131,1594523,686426,2322936
150,Papua New Guinea,43839,0,651,0,43169,0,19,7,4734,70,249149,26904,9260750
151,Seychelles,42841,0,166,0,42223,0,452,0,430675,1669,0,0,99474
152,Curaçao,42567,0,275,0,41905,0,387,3,257459,1663,496693,3004161,165335
153,Andorra,41717,0,153,0,41021,0,543,14,538326,1974,249838,3223966,77494
154,Burundi,40845,0,38,0,773,0,40034,0,3256,3,345742,27558,12546112
