,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,517260241,53406,6276465,111,471936537,86215,39047239,39855,66360,805.2,0,0,0
1,USA,83581715,0,1024546,0,80944857,0,1612312,1698,249806,3062,1011485066,3023096,334585863
2,India,43105222,0,524064,0,42557495,0,23663,698,30679,373,840693082,598336,1405050791
3,Brazil,30564536,0,664189,0,29629420,0,270927,8318,141930,3084,63776166,296153,215348771
4,France,28957421,0,146724,0,27644110,0,1166587,1408,441827,2239,269816888,4116819,65540141
5,Germany,25345357,0,136925,0,23246900,0,1961532,1279,300733,1625,122332384,1451525,84278500
6,UK,22114034,0,176212,0,21524362,37303,413460,253,322624,2571,519264096,7575595,68544332
7,Russia,18227666,0,376946,0,17603398,0,247322,2300,124804,2581,273400000,1871962,146049974
8,S. Korea,17564999,20601,23400,40,N/A,N/A,N/A,421,342060,456,15804065,307768,51350635
9,Italy,16798998,0,164489,0,15471992,0,1162517,356,278601,2728,216068651,3583364,60297717
10,Turkey,15043379,0,98846,0,14941419,0,3114,975,174894,1149,159851441,1858427,86014381
11,Spain,12009059,0,104869,0,11467015,0,437175,339,256669,2241,471036328,10067416,46788207
12,Vietnam,10676184,0,43056,0,9320591,0,1312537,473,107889,435,85805439,867112,98955379
13,Argentina,9083673,0,128653,0,8895999,0,59021,372,197637,2799,35716069,777089,45961382
14,Japan,8058591,0,29785,0,7716884,0,311922,159,64078,237,49477103,393419,125761807
15,Netherlands,8057700,0,22270,0,7949585,10903,85845,52,468339,1294,21107399,1226828,17204861
16,Iran,7225189,0,141177,0,7005420,0,78592,896,84036,1642,50914586,592185,85977471
17,Australia,6268532,19431,7516,3,5874822,0,386194,130,240671,289,69986442,2687027,26046051
18,Colombia,6093645,0,139809,0,5927076,0,26760,342,117447,2695,34560302,666106,51884064
19,Indonesia,6048431,0,156381,0,5885858,0,6192,2771,21690,561,96221718,345050,278862930
20,Poland,6000416,0,116138,0,5334927,0,549351,1125,158867,3075,36161467,957410,37770097
21,Mexico,5740080,0,324350,0,5039624,0,376106,4798,43673,2468,15801675,120226,131433414
22,Ukraine,5002870,0,108411,0,N/A,N/A,N/A,177,115676,2507,19521252,451371,43248837
23,Malaysia,4458889,0,35583,0,4400750,0,22556,88,134582,1074,58924030,1778490,33131486
24,Thailand,4331338,6488,29146,55,4217238,12755,84954,1496,61767,416,17270775,246292,70123303
25,Austria,4181545,0,18245,0,4095510,0,67790,81,459447,2005,184147092,20233132,9101265
26,Israel,4092054,0,10741,0,4052605,0,28708,150,438779,1152,41373364,4436346,9326000
27,Belgium,4088336,0,31552,0,3891391,7211,165393,124,349947,2701,33714218,2885815,11682736
28,Portugal,3935932,0,22420,0,N/A,N/A,N/A,61,388089,2211,41572572,4099119,10141831
29,Czechia,3912361,0,40215,0,3863440,0,8706,19,364088,3742,55275632,5143998,10745656
30,South Africa,3841388,0,100523,0,3679053,0,61812,192,63296,1656,24675963,406597,60689034
31,Canada,3791455,0,39750,0,3482186,0,269519,468,98857,1036,61161915,1594708,38353046
32,Philippines,3687018,0,60439,0,3622473,0,4106,289,32840,538,29715403,264670,112273356
33,Switzerland,3619035,0,13865,0,3520963,6138,84207,69,412592,1581,20851897,2377242,8771464
34,Chile,3579349,0,57637,0,3447146,0,74566,176,184321,2968,37363438,1924054,19419125
35,Peru,3569782,0,212946,0,N/A,N/A,N/A,263,105553,6297,30065461,888993,33819679
36,Greece,3361779,0,29392,0,3261526,0,70861,204,325467,2846,80579733,7801245,10329086
37,Denmark,2971655,0,6234,0,2953738,932,11683,6,509730,1069,127282729,21832911,5829856
38,Romania,2899178,0,65562,0,2606660,0,226956,167,152582,3450,22838696,1201983,19000844
39,Sweden,2503090,0,18791,0,2474725,627,9574,16,245028,1839,18534055,1814304,10215519
40,Iraq,2325614,0,25213,0,2299141,0,1260,10,55520,602,18499954,441651,41888147
41,Serbia,2009979,0,16028,0,1982752,0,11199,20,231767,1848,9542409,1100318,8672412
42,Bangladesh,1952799,0,29127,0,1897526,0,26146,1273,11643,174,14012847,83550,167718285
43,Hungary,1903200,0,46266,0,1808061,0,48873,40,197939,4812,11355462,1181006,9615074
44,Slovakia,1785133,0,19978,0,1754830,0,10325,40,326677,3656,7113811,1301817,5464524
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163060,1352,16670254,1604433,10390120
46,Georgia,1655221,0,16811,0,1637293,0,1117,0,416404,4229,16920079,4256588,3975033
47,Pakistan,1528736,0,30375,0,1494141,0,4220,91,6681,133,28239539,123420,228808361
48,Ireland,1522363,0,7131,0,1480033,2843,35199,35,302080,1415,12101379,2401255,5039605
49,Norway,1428010,0,3006,0,N/A,N/A,N/A,20,259662,547,11002430,2000625,5499497
50,Kazakhstan,1305584,0,13661,0,1291366,0,557,24,68030,712,11575012,603138,19191306
51,Singapore,1217922,0,1352,0,1147296,0,69274,6,205200,228,23767171,4004389,5935281
52,Hong Kong,1206585,0,9346,0,N/A,N/A,N/A,5,158568,1228,44972952,5910289,7609264
53,Morocco,1165247,0,16070,0,1148878,0,299,293,30894,426,11237010,297920,37718167
54,Bulgaria,1159301,0,36973,0,989372,0,132956,78,169194,5396,9886322,1442856,6851913
55,Croatia,1127742,0,15888,0,1106837,0,5017,16,277869,3915,4813913,1186119,4058543
56,Cuba,1103980,0,8527,0,1094829,0,624,23,97578,754,12920253,1141985,11313854
57,Lebanon,1097539,0,10399,0,1083698,0,3442,186,162141,1536,4795578,708459,6769030
58,Lithuania,1059582,0,9121,0,1029371,0,21090,20,399510,3439,8262024,3115152,2652206
59,Finland,1052767,0,4150,0,46000,0,1002617,21,189462,747,10773620,1938884,5556609
60,Tunisia,1040712,0,28566,0,N/A,N/A,N/A,29,86388,2371,4584296,380537,12046910
61,Slovenia,1015779,0,6611,0,997931,0,11237,21,488481,3179,2651999,1275328,2079465
62,New Zealand,996417,6471,812,2,942606,6726,52999,0,199200,162,7099152,1419234,5002100
63,Belarus,982654,0,6972,0,928536,0,47146,0,104055,738,13212749,1399124,9443585
64,Nepal,978942,0,11952,0,966789,0,201,0,32519,397,5655172,187854,30104047
65,Bolivia,905428,0,21925,0,861685,0,21818,220,75661,1832,2705422,226075,11966944
66,UAE,900251,0,2302,0,884228,0,13721,0,89037,228,157253862,15552763,10110992
67,Uruguay,899723,0,7210,0,888557,0,3956,18,257361,2062,6091188,1742354,3495954
68,Ecuador,870526,0,35598,0,N/A,N/A,N/A,759,47996,1963,2470170,136191,18137568
69,Costa Rica,857290,0,8421,0,836721,0,12148,42,165500,1626,4291131,828405,5179991
70,Guatemala,849495,0,17699,0,829500,0,2296,5,45851,955,4495103,242621,18527230
71,Latvia,824046,0,5789,0,812244,0,6013,7,445981,3133,7196647,3894886,1847717
72,Azerbaijan,792630,0,9709,0,782862,0,59,0,76895,942,6834816,663067,10307886
73,Panama,788471,0,8193,0,766952,0,13326,16,177578,1845,5938833,1337533,4440139
74,Saudi Arabia,755415,0,9103,0,742563,0,3749,56,21092,254,41982063,1172204,35814628
75,Sri Lanka,663561,0,16509,0,646145,0,907,0,30750,765,6486117,300576,21578994
76,Paraguay,649718,0,18872,0,624673,0,6173,2,89072,2587,2633737,361069,7294269
77,Kuwait,631898,0,2555,0,628946,0,397,1,144034,582,8064250,1838152,4387151
78,Myanmar,613053,0,19434,0,591964,0,1655,0,11130,353,8024984,145689,55083164
79,Palestine,582119,0,5353,0,576684,0,82,17,109416,1006,3078533,578644,5320253
80,Dominican Republic,579743,0,4376,0,574987,0,380,1,52471,396,3288872,297670,11048728
81,Bahrain,572810,0,1477,0,567065,0,4268,1,316350,816,9751534,5385553,1810684
82,Estonia,572434,0,2548,0,511857,0,58029,3,430991,1918,3329716,2506973,1328182
83,Venezuela,522749,0,5709,0,515907,0,1133,230,18480,202,3359014,118747,28287224
84,Moldova,516986,0,11489,0,504142,0,1355,49,128711,2860,3216305,800742,4016657
85,Egypt,515645,0,24613,0,442182,0,48850,122,4869,232,3693367,34877,105896697
86,Libya,501904,0,6430,0,490973,0,4501,101,71255,913,2477219,351689,7043769
87,Cyprus,477711,0,1032,0,124370,0,352309,60,390419,843,9477138,7745392,1223584
88,Ethiopia,470740,0,7510,0,455729,0,7501,4,3916,62,4812520,40032,120218287
89,Mongolia,469885,0,2179,0,313256,0,154450,192,139195,645,4030048,1193828,3375735
90,Honduras,423879,0,10895,0,132358,0,280626,105,41576,1069,1359869,133381,10195375
91,Armenia,422877,0,8622,0,412026,0,2229,0,142217,2900,3059332,1028877,2973467
92,Réunion,398115,0,756,0,383424,0,13935,10,438884,833,1603660,1767884,907107
93,Oman,389273,0,4259,0,384486,0,528,4,72812,797,25000000,4676154,5346274
94,Bosnia and Herzegovina,377276,0,15768,0,192218,0,169290,0,116330,4862,1762038,543310,3243156
95,Qatar,365191,0,677,0,363880,0,634,2,130063,241,3465231,1234142,2807805
96,Taiwan,357271,0,919,0,33607,0,322745,0,14951,38,15265197,638809,23896351
97,Kenya,323881,0,5649,0,318069,0,163,0,5788,101,3615118,64605,55957091
98,Zambia,320099,0,3982,0,315576,0,541,1,16556,206,3438434,177845,19333908
99,North Macedonia,310140,0,9284,0,300208,0,648,0,148876,4457,2027591,973298,2083216
100,Botswana,305859,0,2688,0,303026,0,145,1,125390,1102,2026898,830949,2439257
101,Albania,275341,0,3496,0,271561,0,284,2,95871,1217,1812147,630971,2871997
102,Algeria,265798,0,6875,0,178363,0,80560,6,5866,152,230861,5095,45312520
103,Nigeria,255766,0,3143,0,249914,0,2709,11,1186,15,5075820,23546,215567413
104,Zimbabwe,248352,0,5476,0,242085,0,791,12,16272,359,2272746,148912,15262300
105,Luxembourg,241160,0,1068,0,231818,0,8274,1,374022,1656,4238251,6573225,644775
106,Uzbekistan,238695,0,1637,0,236797,0,261,23,6946,48,1377915,40097,34364560
107,Montenegro,235795,0,2717,0,232456,0,622,6,375342,4325,2459891,3915696,628213
108,Mozambique,225426,0,2201,0,223164,0,61,13,6858,67,1316404,40047,32871115
