,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,520365421,76320,6286692,173,474932291,22311,39146438,39144,66758,806.5,0,0,0
1,USA,84174521,0,1026527,0,81204934,0,1943060,1936,251558,3068,1016652419,3038299,334612330
2,India,43117836,0,524190,0,42573460,0,20186,698,30684,373,842458167,599514,1405235993
3,Brazil,30664739,0,664830,0,29711738,0,288171,8318,142382,3087,63776166,296125,215369381
4,France,29130343,0,147257,0,28097720,0,885366,1329,444452,2247,271490188,4142225,65542109
5,Germany,25733580,0,137809,0,23875700,0,1720071,1279,305327,1635,122332384,1451463,84282150
6,UK,22159805,0,176708,0,21657770,0,325327,253,323269,2578,519264096,7575058,68549194
7,Russia,18250290,0,377464,0,17633601,0,239225,2300,124958,2584,273400000,1871951,146050826
8,S. Korea,17756627,29541,23661,55,N/A,N/A,N/A,341,345788,461,15804065,307764,51351235
9,Italy,16993813,0,165091,0,15820859,0,1007863,341,281837,2738,217395343,3605438,60296507
10,Turkey,15051761,0,98885,0,14949593,0,3283,975,174966,1149,160495172,1865642,86026772
11,Spain,12127122,0,105444,0,11548089,0,473589,339,259190,2254,471036328,10067363,46788454
12,Vietnam,10693141,0,43063,0,9344029,0,1306049,333,108047,435,85809483,867049,98967331
13,Argentina,9101319,0,128729,0,8895999,0,76591,372,197997,2800,35716069,776993,45967042
14,Japan,8260356,0,29974,0,7890937,0,339445,159,65685,238,50175204,398987,125756541
15,Netherlands,8067116,0,22292,0,7984457,0,60367,55,468872,1296,21107399,1226791,17205377
16,Iran,7227428,0,141209,0,7016677,0,69542,763,84048,1642,51622353,600315,85992158
17,Australia,6533974,32645,7767,46,6081083,0,445124,121,250823,298,70496467,2706189,26050091
18,Colombia,6095316,0,139821,0,5928829,0,26666,342,117463,2694,34675581,668233,51891469
19,Indonesia,6050211,0,156448,0,5888825,0,4938,2771,21693,561,97115043,348204,278902419
20,Poland,6002863,0,116186,0,5335086,0,551591,981,158934,3076,36208054,958658,37769533
21,Mexico,5745652,0,324465,0,5044893,0,376294,4798,43709,2468,15855490,120618,131451908
22,Ukraine,5006460,0,108449,0,N/A,N/A,N/A,177,115769,2508,19521252,451408,43245267
23,Malaysia,4473500,0,35607,0,4409159,0,28734,42,135000,1075,59212377,1786888,33137151
24,Thailand,4367752,6736,29424,54,4264998,9213,73330,1496,62285,420,17270775,246283,70125689
25,Austria,4205380,0,18296,0,4124821,0,62263,65,462030,2010,184874698,20311513,9101966
26,Belgium,4116397,0,31613,0,3935128,0,149656,117,352328,2706,33846023,2896927,11683424
