,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,527715878,236111,6300392,89,497978781,496216,23436705,38065,67701,808.3,0,0,0
1,USA,85004438,0,1028924,0,81632147,0,2343367,2289,254002,3075,1021971326,3053760,334659970
2,India,43138393,0,524459,0,42599102,0,14832,698,30691,373,847092226,602668,1405569356
3,Brazil,30791220,0,665680,0,29832019,0,293521,8318,142945,3090,63776166,296074,215406479
4,France,29354950,0,147780,0,28542968,0,664202,1173,447855,2255,271490188,4142002,65545650
5,Germany,26085617,0,138712,0,24708600,106100,1238305,944,309479,1646,122332384,1451349,84288720
6,UK,22238715,0,177977,0,21836316,17105,224422,188,324378,2596,522526476,7621676,68557945
7,Russia,18293450,0,378350,0,17688903,0,226197,2300,125253,2591,273400000,1871931,146052359
8,S. Korea,17967672,9975,23987,22,17414103,42223,529582,229,349890,467,15804065,307758,51352317
9,Italy,17247552,0,165952,0,16231004,0,850596,292,286056,2752,219432092,3639349,60294330
10,Turkey,15062281,0,98926,0,14959906,0,3449,975,175043,1150,161541275,1877316,86049076
11,Spain,12238073,0,105947,0,11620275,0,511851,339,261559,2264,471036328,10067267,46788898
12,Vietnam,10708887,0,43075,0,9402046,0,1263766,211,108183,435,85814176,866908,98988845
13,Argentina,9135308,0,128776,0,8895999,0,110533,300,198692,2801,35716069,776821,45977230
14,Japan,8618683,31262,30307,15,8243263,32927,345113,96,68540,241,51460902,409241,125747062
15,Netherlands,8075194,0,22306,0,8013297,2628,39591,36,469316,1296,21107399,1226725,17206307
16,Iran,7230053,0,141274,0,7033986,0,54793,670,84052,1642,51877878,603101,86018593
17,Australia,6965789,16822,8108,11,6522840,0,434841,107,267325,311,71228638,2733532,26057364
18,Colombia,6099111,0,139833,0,5930545,0,28733,342,117506,2694,34792844,670320,51904798
19,Indonesia,6052590,0,156522,0,5892411,0,3657,2771,21696,561,98090610,351613,278973499
20,Poland,6005531,0,116268,0,5335250,0,554013,981,159009,3078,36282083,960644,37768517
21,Mexico,5752441,0,324617,0,5050420,0,377404,4798,43750,2469,15897804,120909,131485198
22,Ukraine,5009301,0,108497,0,N/A,N/A,N/A,177,115852,2509,19521252,451475,43238840
23,Malaysia,4491320,0,35643,0,4429166,0,26511,40,135496,1075,59578095,1797371,33147348
