,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,517967092,306750,6278602,613,472751788,274682,38936702,39548,66450,805.5,0,0,0
1,USA,83688188,0,1024752,0,81019770,0,1643666,1714,250121,3063,1012201393,3025189,334591157
2,India,43107689,0,524103,0,42563949,0,19637,698,30680,373,841514701,598905,1405087832
3,Brazil,30574245,0,664248,0,29652018,0,257979,8318,141973,3084,63776166,296147,215352893
4,France,28964775,0,146856,0,27669443,0,1148476,1408,441937,2241,269816888,4116794,65540535
5,Germany,25469045,83338,137186,166,23536900,163700,1794959,1279,302198,1628,122332384,1451513,84279230
6,UK,22140287,0,176424,0,21558361,0,405502,253,323002,2574,519264096,7575488,68545304
7,Russia,18237227,4531,377150,101,17614371,5014,245706,2300,124870,2582,273400000,1871960,146050144
8,S. Korea,17614895,49896,23462,62,N/A,N/A,N/A,398,343031,457,15804065,307767,51350755
9,Italy,16816419,0,164573,0,15548091,0,1103755,363,278891,2729,216195210,3585477,60297475
10,Turkey,15044921,0,98854,0,14942882,0,3185,975,174907,1149,159961399,1859652,86016859
11,Spain,12009059,0,104869,0,11467015,0,437175,339,256668,2241,471036328,10067405,46788257
12,Vietnam,10681214,2855,43058,1,9324934,2769,1313222,363,107937,435,85806031,867097,98957769
13,Argentina,9101319,0,128729,0,8895999,0,76591,372,198016,2801,35716069,777070,45962514
14,Japan,8133197,33664,29843,30,7784155,36479,319199,158,64672,237,49702654,395216,125760754
15,Netherlands,8063029,1586,22281,3,7966635,7168,74113,55,468646,1295,21107399,1226820,17204964
16,Iran,7226219,460,141192,3,7010698,2467,74329,836,84045,1642,51582635,599935,85980409
17,Australia,6334600,47724,7559,43,5940461,0,386580,123,243200,290,70112622,2691788,26046859
18,Colombia,6093645,0,139809,0,5927076,0,26760,342,117444,2695,34560302,666087,51885545
19,Indonesia,6049141,456,156416,20,5886870,659,5855,2771,21692,561,96701485,346761,278870828
20,Poland,6001327,727,116150,12,5334983,50,550194,1125,158891,3075,36178272,957858,37769984
21,Mexico,5745652,424,324465,2,5044893,776,376294,4798,43714,2469,15855490,120632,131437113
