,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,527363422,368754,6299969,211,497309977,473330,23753476,38101,67656,808.2,0,0,0
1,USA,84984459,0,1028902,0,81586249,0,2369308,2307,253947,3075,1021657989,3052872,334654677
2,India,43136371,0,524413,0,42597003,0,14955,698,30690,373,846354733,602160,1405532315
3,Brazil,30780028,0,665657,0,29801225,0,313146,8318,142896,3090,63776166,296079,215402357
4,France,29337985,0,147780,0,28534231,0,655974,1173,447599,2255,271490188,4142026,65545257
5,Germany,26082317,0,138709,0,24602500,26900,1341108,944,309443,1646,122332384,1451362,84287990
6,UK,22238715,0,177977,0,21819211,14713,241527,188,324383,2596,522526476,7621785,68556972
7,Russia,18288740,0,378270,0,17683089,0,227381,2300,125221,2590,273400000,1871934,146052189
8,S. Korea,17957697,19298,23965,54,17371880,49012,561852,229,349697,467,15804065,307758,51352197
9,Italy,17229263,0,165918,0,16206476,0,856869,301,285751,2752,219271097,3636664,60294572
10,Turkey,15061376,0,98921,0,14958887,0,3568,975,175037,1150,161422423,1875988,86046598
11,Spain,12238073,0,105947,0,11620275,0,511851,339,261560,2264,471036328,10067278,46788848
12,Vietnam,10707568,0,43075,0,9393101,0,1271392,221,108172,435,85813789,866925,98986455
13,Argentina,9135308,0,128776,0,8895999,0,110533,300,198697,2801,35716069,776840,45976098
14,Japan,8587421,34957,30292,37,8210336,35915,346793,92,68291,241,51400373,408757,125748115
15,Netherlands,8075194,0,22306,0,8010669,2997,42219,36,469319,1296,21107399,1226732,17206203
16,Iran,7229741,0,141271,0,7032212,0,56258,693,84051,1642,51877878,603121,86015656
17,Australia,6948967,38514,8097,20,6522840,0,418030,103,266688,311,71189105,2732100,26056556
18,Colombia,6099111,0,139833,0,5930545,0,28733,342,117509,2694,34792844,670340,51903317
19,Indonesia,6052363,0,156519,0,5892126,0,3718,2771,21696,561,98027949,351398,278965601
20,Poland,6005436,0,116268,0,5335238,0,553930,981,159006,3078,36276818,960501,37768630
21,Mexico,5752441,0,324617,0,5050420,0,377404,4798,43751,2469,15897804,120913,131481499
22,Ukraine,5009301,0,108497,0,N/A,N/A,N/A,177,115850,2509,19521252,451467,43239554
23,Malaysia,4487482,0,35638,0,4422615,0,29229,36,135384,1075,59539583,1796271,33146215
24,Thailand,4411494,4739,29749,31,4325956,7391,55789,1496,62905,424,17270775,246270,70129507
25,Austria,4231480,0,18343,0,4166123,0,47014,54,464840,2015,186327528,20468609,9103087
26,Belgium,4134293,0,31675,0,3984116,4682,118502,105,353826,2711,33947485,2905337,11684524
27,Israel,4120622,0,10827,0,4094657,0,15138,150,441842,1161,41373364,4436346,9326000
28,Portugal,4066674,0,22583,0,N/A,N/A,N/A,61,401022,2227,42241214,4165480,10140780
29,South Africa,3926652,0,100931,0,3739543,0,86178,192,64673,1662,25049752,412575,60715592
30,Czechia,3918064,85,40266,1,3875754,584,2044,5,364595,3747,55364483,5151929,10746360
31,Canada,3845946,0,40677,0,3515419,0,289850,370,100247,1060,61679093,1607701,38364787
32,Philippines,3688751,0,60455,0,3626038,0,2258,480,32840,538,29991597,267007,112325166
33,Switzerland,3642604,0,13934,0,3575999,4044,52671,71,415173,1588,20991820,2392582,8773708
34,Chile,3636993,0,57794,0,3481049,0,98150,143,187233,2975,38018667,1957208,19424947
35,Peru,3575291,0,213098,0,N/A,N/A,N/A,189,105665,6298,30420760,899065,33835997
36,Greece,3417613,0,29679,0,3334940,0,52994,156,330930,2874,81808700,7921607,10327286
37,Denmark,2979238,0,6312,0,2965343,846,7583,11,510968,1083,127377418,21846444,5830579
38,Romania,2905859,0,65651,0,N/A,N/A,N/A,99,152970,3456,23055391,1213677,18996310
39,DPRK,2646730,186090,67,1,2067270,299190,579393,0,101831,3,0,0,25991378
40,Sweden,2506607,0,18908,0,2480070,1212,7629,7,245319,1851,18573144,1817733,10217752
41,Iraq,2327192,0,25216,0,2300754,0,1222,8,55515,602,18554061,442603,41920284
42,Serbia,2014900,0,16063,0,1991034,0,7803,8,232368,1852,9644475,1112246,8671168
43,Bangladesh,1953204,0,29128,0,1900747,0,23329,1259,11642,174,14081640,83931,167776518
44,Hungary,1914697,0,46446,0,1830803,0,37448,21,199153,4831,11394556,1185179,9614206
45,Slovakia,1788334,0,20077,0,1764822,0,3435,30,327257,3674,7136730,1305989,5464617
46,Jordan,1694216,0,14048,0,1678941,0,1227,124,163004,1352,16670254,1603878,10393715
47,Georgia,1655221,0,16811,0,1637293,0,1117,0,416433,4229,16920079,4256879,3974762
48,Ireland,1551835,0,7244,0,1522754,1422,21837,22,307808,1437,12179888,2415895,5041564
49,Pakistan,1529785,76,30379,0,1494141,0,5265,79,6681,133,28460207,124302,228960958
50,Norway,1431233,0,3094,0,N/A,N/A,N/A,20,260177,562,11002430,2000078,5501001
51,Taiwan,1320371,79487,1396,53,149460,17794,1169515,0,55251,58,17157066,717933,23897878
52,Kazakhstan,1305686,0,13661,0,1291869,0,156,24,68007,712,11575012,602888,19199281
53,Singapore,1266808,0,1374,0,1184525,0,80909,8,213378,231,23877882,4021936,5936913
54,Hong Kong,1210159,0,9370,0,N/A,N/A,N/A,5,158992,1231,44972952,5908614,7611422
55,Morocco,1166530,0,16075,0,1149476,0,979,293,30915,426,11237010,297798,37733702
56,Bulgaria,1163317,0,37090,0,1042582,0,83645,47,169826,5415,9961672,1454245,6850065
