,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,503794867,169069,6220322,434,454114619,142452,43459926,42781,64632,798.0,0,0,0
1,USA,82295768,0,1015357,0,80129374,1065,1151037,1549,246053,3036,995576382,2976631,334464117
2,India,43040695,0,521776,0,42507038,0,11881,698,30651,372,794525202,565821,1404198864
3,Brazil,30247302,0,661960,0,29199903,0,385439,8318,140519,3075,63776166,296283,215253965
4,France,27572791,0,144061,0,24775338,0,2653392,1541,420759,2198,260504402,3975279,65531091
5,Germany,23365504,0,133306,0,19674300,0,3557898,1980,277297,1582,122332384,1451815,84261708
6,UK,21747638,0,171396,0,20116135,67341,1460107,355,317382,2501,512140269,7474103,68521968
7,Russia,18053359,0,373027,0,17340639,0,339693,2300,123614,2554,273400000,1872012,146046055
8,S. Korea,16212751,107882,20889,273,N/A,N/A,N/A,913,315743,407,15804065,307784,51347871
9,Italy,15595302,0,161469,0,14214909,0,1218924,419,258614,2678,208411581,3456057,60303282
10,Turkey,14987583,0,98532,0,14719749,0,169302,975,174361,1146,156868643,1824958,85957383
11,Spain,11662214,0,103266,0,11120708,0,438240,368,249261,2207,471036328,10067660,46787073
12,Vietnam,10394533,0,42924,0,8863044,0,1488565,1242,105101,434,85578698,865302,98900397
13,Argentina,9059944,0,128327,0,8894180,0,37437,412,197233,2794,35707307,777338,45935345
14,Netherlands,8015576,0,22156,0,7305079,0,688341,113,465955,1288,21107399,1226997,17202485
15,Japan,7237050,0,28884,0,6682153,0,526013,230,57535,230,45346052,360501,125786031
16,Iran,7204049,0,140777,0,6938480,0,124792,1441,83856,1639,50079995,582936,85909914
17,Colombia,6089381,0,139741,0,5922639,0,27001,342,117442,2695,34236252,660294,51850003
18,Indonesia,6038664,0,155820,0,5820179,0,62665,2771,21669,559,93900348,336945,278681282
19,Poland,5983864,0,115809,0,5334009,0,534046,268,158418,3066,35924946,951082,37772692
20,Mexico,5725075,0,323891,0,5026123,0,375061,4798,43587,2466,15691493,119465,131348341
21,Australia,5340874,32587,6754,27,4821415,0,512705,132,205201,259,68188181,2619855,26027464
22,Ukraine,4990465,0,108220,0,N/A,N/A,N/A,177,115346,2501,19521252,451199,43265262
23,Malaysia,4372697,0,35397,0,4224125,0,113175,152,132084,1069,57867837,1747986,33105427
24,Austria,4036813,0,16390,0,3873490,0,146933,174,443701,1801,180245342,19811443,9098042
25,Israel,4025950,0,10612,0,3941841,0,73497,196,431691,1138,41373364,4436346,9326000
26,Thailand,4012184,18892,26757,125,3763978,22220,221449,1496,57225,382,17270775,246330,70112328
