,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,513379211,145105,6260936,423,467391504,233404,39726771,41405,65862,803.2,0,0,0
1,USA,83066907,0,1020833,0,80684899,0,1361175,1576,248299,3051,1005438148,3005403,334543517
2,India,43079188,0,523843,0,42536253,0,19092,698,30667,373,837442023,596148,1404754469
3,Brazil,30448236,0,663551,0,29519204,0,265481,8318,141412,3082,63776166,296198,215315795
4,France,28645285,0,145930,0,26801445,0,1697910,1677,437086,2227,266484045,4066162,65536993
5,Germany,24761600,0,135900,0,22356000,48100,2269700,1446,293827,1613,122332384,1451626,84272659
6,UK,22038340,0,174912,0,21210408,42141,653020,302,321556,2552,517337635,7548346,68536553
7,Russia,18189401,7047,376031,147,17548718,8733,264652,2300,124543,2575,273400000,1871979,146048611
8,S. Korea,17275649,37771,22875,81,N/A,N/A,N/A,793,336432,445,15804065,307773,51349673
9,Italy,16463200,0,163507,0,15070314,0,1229379,366,273023,2712,213773683,3545189,60299653
10,Turkey,15032093,0,98771,0,14927975,0,5347,975,174803,1149,159024414,1849238,85994556
11,Spain,11896152,0,104456,0,11389694,0,402002,339,254257,2233,471036328,10067500,46787813
12,Vietnam,10649809,0,43041,0,9262255,0,1344513,475,107643,435,85798077,867206,98936255
13,Argentina,9072230,0,128542,0,8895999,0,47689,372,197427,2797,35716069,777242,45952326
14,Netherlands,8047132,0,22243,0,7836980,25416,187909,66,467747,1293,21107399,1226887,17204034
15,Japan,7876508,26256,29567,19,7439103,36533,407838,165,62626,235,48754790,387650,125770233
16,Iran,7221653,0,141083,0,6983502,0,97068,996,84018,1641,50914586,592347,85953973
17,Colombia,6092667,0,139797,0,5926476,0,26394,342,117455,2695,34465052,664422,51872217
18,Indonesia,6046796,0,156257,0,5882660,0,7879,2771,21689,560,95495775,342525,278799748
19,Poland,5996748,234,116059,0,5334713,33,545976,1321,158766,3073,36099719,955752,37770999
20,Australia,5960842,32536,7238,15,5591247,0,362357,149,228915,278,69388128,2664717,26039586
21,Mexico,5738769,0,324294,0,5038150,0,376325,4798,43673,2468,15801675,120253,131403824
