,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,505383402,312162,6225427,892,457262982,746464,41894993,41939,64836,798.7,0,0,0
1,USA,82377156,0,1015790,0,80244093,128,1117273,1438,246284,3037,996639125,2979667,334479997
2,India,43045527,0,521996,0,42511701,0,11830,698,30652,372,832506755,592823,1404309985
3,Brazil,30261088,0,662076,0,29262483,0,336529,8318,140575,3076,63776166,296266,215266331
4,France,27790834,0,144205,0,25132303,0,2514326,1541,424079,2201,260504402,3975208,65532271
5,Germany,23502641,45045,133463,26,20347900,262100,3021278,1980,278917,1584,122332384,1451777,84263898
6,UK,21747638,0,171396,0,20405317,98981,1170925,355,317368,2501,512140269,7473785,68524885
7,Russia,18092791,8640,373948,235,17407228,16763,311615,2300,123884,2560,273400000,1872006,146046566
8,S. Korea,16471940,118445,21354,130,N/A,N/A,N/A,834,320789,416,15804065,307782,51348231
9,Italy,15730676,0,161766,0,14352067,0,1216843,411,260863,2683,209276026,3470434,60302556
10,Turkey,14999479,0,98587,0,14763876,0,137016,975,174484,1147,157348707,1830385,85964817
11,Spain,11662214,0,103266,0,11120708,0,438240,368,249261,2207,471036328,10067628,46787221
12,Vietnam,10489319,13500,42975,18,9065694,124630,1380650,1010,106052,434,85711086,866578,98907569
13,Argentina,9060923,0,128344,0,8895999,0,36580,412,197239,2794,35716069,777472,45938741
14,Netherlands,8015576,0,22156,0,7454418,41456,539002,113,465946,1288,21107399,1226975,17202795
15,Japan,7402533,28282,29049,26,6875015,45109,498469,213,58852,231,45879318,364750,125782871
16,Iran,7210788,1820,140877,23,6952007,3061,117904,1264,83926,1640,50079995,582876,85918726
17,Colombia,6089791,0,139751,0,5923287,0,26753,342,117440,2695,34265772,660807,51854446
18,Indonesia,6041269,837,155937,34,5836310,2750,49022,2771,21676,560,94377545,338629,278704975
19,Poland,5985818,304,115838,0,5334130,17,535850,268,158471,3067,35954670,951878,37772353
20,Mexico,5727832,164,323949,5,5029117,681,374766,4798,43604,2466,15717303,119651,131359438
21,Australia,5458471,39091,6804,18,5017584,0,434083,144,209700,261,68366502,2626462,26029889
22,Ukraine,4990465,0,108220,0,N/A,N/A,N/A,177,115351,2501,19521252,451222,43263119
23,Malaysia,4396165,0,35437,0,4264127,0,96601,110,132779,1070,57994524,1751633,33108826
24,Austria,4064839,5395,16439,8,3930478,12049,117922,147,446761,1807,180759844,19867077,9098462
25,Thailand,4063844,16891,27138,129,3839360,24927,197346,1496,57961,387,17270775,246325,70113759
26,Israel,4036684,0,10647,0,3941841,0,84196,220,432842,1142,41373364,4436346,9326000
27,Belgium,3972963,0,31165,0,3676396,11502,265402,181,340151,2668,33313880,2852219,11679986
28,Czechia,3883280,880,39997,4,3822160,4278,21123,52,361418,3723,55031740,5121817,10744574
29,South Africa,3742107,0,100181,0,3627969,0,13957,175,61702,1652,24198159,398992,60648176
30,Portugal,3719485,0,21993,0,N/A,N/A,N/A,61,366688,2168,40748372,4017211,10143449
31,Philippines,3683367,158,59982,6,3604570,1258,18815,289,32830,535,29308300,261230,112193649
32,Canada,3637710,0,38319,0,3378726,0,220665,407,94893,1000,60149136,1569040,38334982
33,Switzerland,3579867,1737,13810,0,3293031,39322,273026,92,408287,1575,20666182,2356998,8768010
34,Peru,3556384,0,212654,0,N/A,N/A,N/A,371,105235,6293,29447514,871368,33794574
35,Chile,3531529,0,57270,0,3325236,0,149023,346,181942,2951,36471164,1878972,19410168
36,Greece,3242037,0,28652,0,3098268,0,115117,307,313790,2773,77990894,7548587,10331854
37,Denmark,2952251,1702,6019,11,2918738,5307,27494,16,506499,1033,127083216,21802844,5828745
38,Romania,2884114,1524,65366,19,2606660,0,212088,228,151733,3439,22513208,1184418,19007818
39,Sweden,2495996,0,18572,0,2459014,592,18410,24,244416,1819,18471631,1808801,10212084
40,Iraq,2323508,224,25200,2,2294018,591,4290,32,55535,602,18434537,440610,41838706
