,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,509362824,296399,6242690,809,461893978,408759,41226156,42502,65347,800.9,0,0,0
1,USA,82649779,0,1018316,0,80434925,0,1196538,1465,247080,3044,1000275726,2990303,334506463
2,India,43057545,0,522193,0,42519479,0,15873,698,30657,372,834717702,594319,1404495187
3,Brazil,30345654,0,662663,0,29364400,0,318591,8318,140954,3078,63776166,296238,215286941
4,France,28244977,0,145020,0,25852832,0,2247125,1677,430996,2213,266484045,4066333,65534239
5,Germany,24138859,29426,134646,22,21243000,63600,2761213,1980,286455,1598,122332384,1451714,84267549
6,UK,21933206,0,173352,0,20782350,68278,977504,339,320054,2530,514985782,7514777,68529747
7,Russia,18137137,8446,374902,168,17474628,10508,287607,2300,124187,2567,273400000,1871995,146047418
8,S. Korea,16895194,64725,22133,109,N/A,N/A,N/A,726,329028,431,15804065,307778,51348832
9,Italy,16136057,56263,162688,79,14729220,44849,1244149,416,267590,2698,211691841,3510566,60301346
10,Turkey,15016270,0,98676,0,14854475,0,63119,975,174654,1148,158110923,1838986,85977208
11,Spain,11786036,0,103908,0,11261340,0,420788,339,251906,2221,471036328,10067575,46787468
12,Vietnam,10563502,8813,43013,9,9086075,4581,1434414,612,106789,435,85789114,867262,98919521
13,Argentina,9060923,0,128344,0,8895999,0,36580,412,197215,2793,35716069,777376,45944402
14,Netherlands,8035603,0,22206,0,7643520,39086,369877,94,467096,1291,21107399,1226938,17203311
15,Japan,7621562,43721,29284,27,7135403,57313,456875,195,60596,233,46690473,371215,125777605
16,Iran,7216040,528,140975,13,6966954,2963,108111,1046,83972,1641,50811054,591284,85933412
17,Colombia,6091094,0,139771,0,5924433,0,26890,342,117448,2695,34355022,662433,51861850
18,Indonesia,6044150,382,156100,33,5870419,2168,17631,2771,21683,560,94904806,340472,278744464
19,Poland,5991197,344,115948,0,5334375,35,540874,1588,158616,3070,36027053,953808,37771789
20,Mexico,5733514,802,324117,57,5033892,654,375505,4798,43641,2467,15762889,119981,131377932
21,Australia,5689377,34769,6991,21,5274197,0,408189,135,218537,269,68845476,2644452,26033929
22,Ukraine,4997224,0,108306,0,N/A,N/A,N/A,177,115517,2504,19521252,451259,43259549
23,Malaysia,4427067,0,35491,0,4310599,0,80977,89,133690,1072,58332799,1761549,33114491
24,Thailand,4165874,17784,27778,126,3954945,22846,183151,1496,59414,396,17270775,246317,70116145
25,Austria,4104859,5810,18047,12,3989860,10297,96952,121,451125,1983,181825734,19982688,9099163
26,Israel,4054342,0,10658,0,4009152,0,34532,220,434735,1143,41373364,4436346,9326000
27,Belgium,4015791,0,31319,0,3726457,16162,258015,169,343798,2681,33456470,2864259,11680674
28,Czechia,3895544,911,40081,5,3838099,3401,17364,43,362550,3730,55117064,5129629,10744844
29,Portugal,3791744,0,22162,0,N/A,N/A,N/A,61,373827,2185,40748372,4017371,10143044
30,South Africa,3759689,0,100298,0,3632572,0,26819,175,61981,1653,24313334,400824,60658391
31,Canada,3695585,0,38777,0,3426082,0,230726,426,96391,1011,60536359,1578955,38339498
32,Philippines,3684500,205,60182,3,3610658,1233,13660,289,32835,536,29427586,262246,112213576
33,Switzerland,3579867,0,13816,0,3378507,19775,187544,90,408247,1576,20666182,2356766,8768874
34,Peru,3559343,0,212724,0,N/A,N/A,N/A,356,105303,6293,29592270,875489,33800850
35,Chile,3546493,2030,57375,0,3378195,9399,110923,263,182692,2956,36755151,1893385,19412407
36,Greece,3277557,0,28867,0,3151717,0,96973,277,317250,2794,78872546,7634431,10331162
37,Denmark,2959972,932,6084,12,2930717,1614,23171,15,507799,1044,127150212,21813297,5829023
38,Romania,2888318,494,65427,6,2606660,0,216231,216,151968,3442,22594702,1188815,19006074
39,Sweden,2498388,0,18656,0,2464421,1335,15311,19,244630,1827,18493218,1810763,10212942
40,Iraq,2324223,82,25205,1,2296270,323,2748,22,55536,602,18453588,440935,41851066
41,Serbia,2001654,510,15956,3,1969132,1346,16566,27,230769,1840,9432261,1087437,8673848
42,Bangladesh,1952556,24,29127,0,1893460,329,29969,1297,11647,174,13961944,83280,167651092
43,Hungary,1890953,0,46048,0,1776617,0,68288,45,196645,4789,11295119,1174608,9616075
44,Slovakia,1774808,1155,19839,10,1730712,2156,24257,88,324794,3631,7057901,1291611,5464416
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163125,1353,16670254,1605074,10385972
46,Georgia,1654255,92,16800,3,1635791,241,1664,0,416129,4226,16807205,4227861,3975345
47,Pakistan,1527856,105,30369,0,1493998,0,3489,186,6683,133,28048307,122679,228632286
48,Ireland,1509536,0,6996,0,1415949,9147,86591,41,299669,1389,12016948,2385571,5037346
49,Norway,1423509,0,2871,0,N/A,N/A,N/A,20,258925,522,11002430,2001256,5497762
50,Kazakhstan,1305457,10,13660,0,1290988,13,809,24,68056,712,11575012,603428,19182103
51,Hong Kong,1201860,429,9249,13,N/A,N/A,N/A,115,157999,1216,44972952,5912223,7606775
52,Singapore,1180124,0,1325,0,1112762,0,66037,9,198895,223,23712995,3996529,5933398
53,Morocco,1164670,0,16065,0,1148154,0,451,293,30893,426,11237010,298062,37700242
54,Bulgaria,1152892,0,36849,0,959542,0,156501,105,168206,5376,9797011,1429377,6854044
55,Croatia,1117735,560,15782,4,1097448,619,4505,23,275333,3888,4765135,1173801,4059575
56,Cuba,1101731,245,8525,2,1091901,298,1305,23,97376,753,12920253,1141957,11314137
57,Lebanon,1096320,0,10374,0,1079455,0,6491,186,161931,1532,4795578,708328,6770277
58,Lithuania,1054618,427,9063,9,1016510,452,29045,31,397407,3415,8217113,3096414,2653751
59,Tunisia,1039532,0,28533,0,N/A,N/A,N/A,29,86327,2369,4563397,378962,12041845
60,Slovenia,1004466,489,6578,2,981299,795,16589,33,483043,3163,2640751,1269925,2079454
61,Finland,1000472,0,3638,0,46000,0,950834,31,180062,655,10644579,1915782,5556257
62,Nepal,978743,11,11951,0,966523,25,269,0,32535,397,5616752,186711,30082541
63,Belarus,977813,379,6926,4,928536,0,42351,0,103541,733,13103056,1387490,9443712
64,Bolivia,904377,83,21908,1,855123,548,27346,220,75614,1832,2693845,225230,11960417
65,UAE,897136,244,2302,0,879787,361,15047,0,88772,228,154420740,15279961,10106095
66,Uruguay,895775,0,7197,0,886654,0,1924,18,256268,2059,6091188,1742599,3495462
67,New Zealand,884289,5714,636,9,824272,5986,59381,0,176784,127,6983031,1396020,5002100
68,Ecuador,868053,0,35581,0,N/A,N/A,N/A,759,47888,1963,2470170,136273,18126582
69,Costa Rica,847784,0,8383,0,829515,0,9886,43,163725,1619,4240743,818979,5178087
70,Guatemala,841341,0,17496,0,821185,0,2660,5,45444,945,4402305,237787,18513628
71,Latvia,817316,322,5743,0,803135,457,8438,9,442135,3107,7154016,3870035,1848566
72,Azerbaijan,792496,20,9707,0,782646,12,143,0,76910,942,6794952,659439,10304145
73,Panama,771486,0,8182,0,759832,0,3472,8,173862,1844,5820472,1311699,4437353
74,Saudi Arabia,753417,85,9078,2,740672,205,3667,48,21050,254,41827109,1168603,35792393
75,Sri Lanka,663131,0,16502,0,642574,0,4055,0,30736,765,6486117,300627,21575323
76,Paraguay,649034,0,18795,0,624673,0,5566,5,89022,2578,2623300,359816,7290679
77,Kuwait,631294,0,2555,0,627899,0,840,8,143981,583,7999656,1824506,4384561
78,Myanmar,612733,0,19434,0,591609,0,1690,0,11127,353,7891077,143296,55068239
79,Palestine,581816,0,5353,0,575899,0,564,17,109459,1007,3078533,579175,5315380
80,Dominican Republic,578954,0,4376,0,574297,0,281,16,52421,396,3261060,295272,11044273
81,Estonia,570257,181,2531,0,507474,763,60252,7,429364,1906,3311935,2493655,1328145
82,Bahrain,565830,0,1475,0,560795,0,3560,3,312916,816,9695962,5362081,1808246
83,Venezuela,522121,0,5705,0,515305,0,1111,230,18456,202,3359014,118733,28290512
84,Moldova,516986,0,11489,0,504142,0,1355,49,128698,2860,3216305,800665,4017040
85,Egypt,515645,0,24613,0,442182,0,48850,122,4873,233,3693367,34903,105817474
86,Libya,501862,0,6429,0,490900,0,4533,101,71288,913,2476960,351844,7039939
