,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,515533272,304576,6270326,916,470213140,346221,39049806,40381,66138,804.4,0,0,0
1,USA,83356490,0,1023513,0,80836418,0,1496559,1655,249149,3059,1008201262,3013472,334564690
2,India,43091393,0,523975,0,42547699,0,19719,698,30672,373,838955577,597163,1404902630
3,Brazil,30502501,0,663816,0,29602372,0,236313,8318,141653,3083,63776166,296176,215332283
4,France,28805690,0,146376,0,27301021,0,1358293,1511,439523,2233,269816888,4116918,65538567
5,Germany,25192851,76488,136563,158,23000500,159200,2055788,1279,298934,1620,122332384,1451576,84275579
6,UK,22090523,0,175546,0,21395888,0,519089,278,322299,2561,518646957,7567021,68540442
7,Russia,18211178,5011,376560,139,17578659,8723,255959,2300,124692,2578,273400000,1871971,146049292
8,S. Korea,17438068,42277,23158,79,N/A,N/A,N/A,441,339591,451,15804065,307771,51350154
9,Italy,16633911,0,164041,0,15282800,0,1187070,371,275859,2720,214930050,3564424,60298685
10,Turkey,15037242,0,98808,0,14934029,0,4405,975,174843,1149,159413862,1853553,86004468
11,Spain,11953481,0,104668,0,11446906,0,401907,339,255482,2237,471036328,10067458,46788010
12,Vietnam,10666751,4305,43049,2,9314420,5084,1309282,480,107804,435,85803579,867177,98945817
13,Argentina,9083673,0,128653,0,8895999,0,59021,372,197657,2799,35716069,777165,45956854
14,Netherlands,8054728,0,22266,0,7898759,0,133703,58,468177,1294,21107399,1226857,17204447
15,Japan,7978912,26720,29708,25,7597588,46310,351616,166,63443,236,49108094,390472,125766020
16,Iran,7223828,0,141138,0,6994857,0,87833,1024,84031,1642,50914586,592266,85965722
17,Australia,6130748,54868,7423,56,5800079,61928,323246,133,235410,285,69733213,2677637,26042818
18,Colombia,6092667,0,139797,0,5926476,0,26394,342,117442,2695,34465052,664346,51878141
19,Indonesia,6047741,250,156340,19,5884770,445,6631,2771,21690,561,95898504,343930,278831339
20,Poland,5998909,912,116099,29,5334821,57,547989,1125,158825,3074,36133322,956653,37770548
21,Mexico,5740080,0,324350,0,5039624,0,376106,4798,43678,2468,15801675,120239,131418619
22,Ukraine,5002870,0,108411,0,N/A,N/A,N/A,177,115669,2507,19521252,451341,43251694
23,Malaysia,4452835,0,35567,0,4388491,0,28777,74,134417,1074,58863643,1776911,33126954
24,Thailand,4300614,9790,28917,54,4170419,17109,101278,1496,61331,412,17270775,246298,70121394
25,Austria,4166759,5755,18222,22,4078247,7515,70290,84,457850,2002,183682889,20183371,9100704
26,Israel,4085418,0,10699,0,4052605,0,22114,150,438068,1147,41373364,4436346,9326000
27,Belgium,4071279,0,31494,0,3850029,10351,189756,131,348503,2696,33643042,2879858,11682186
28,Czechia,3910386,1211,40194,4,3857558,857,12634,24,363911,3741,55251048,5141813,10745440
