,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,516046489,235869,6272693,687,470799152,270057,38974644,40286,66204,804.7,0,0,0
1,USA,83437158,0,1023908,0,80872122,0,1541128,1714,249386,3060,1008732497,3015012,334569983
2,India,43094548,0,523975,0,42547699,0,22874,698,30674,373,838955577,597147,1404939670
3,Brazil,30524183,0,663967,0,29609094,0,251122,8318,141751,3083,63776166,296170,215336405
4,France,28849915,0,146498,0,27426293,0,1277124,1511,440195,2235,269816888,4116893,65538961
5,Germany,25276456,72892,136773,209,23135500,135000,2004183,1279,299924,1623,122332384,1451563,84276309
6,UK,22102983,0,175984,0,21428440,0,498559,277,322476,2568,518950767,7571346,68541415
7,Russia,18216719,5541,376696,136,17588067,9408,251956,2300,124730,2579,273400000,1871969,146049463
8,S. Korea,17464782,26714,23206,48,N/A,N/A,N/A,423,340111,452,15804065,307770,51350274
9,Italy,16682626,0,164179,0,15353323,0,1165124,369,276668,2723,215257228,3569864,60298443
10,Turkey,15038495,0,98819,0,14935811,0,3865,975,174852,1149,159515125,1854677,86006947
11,Spain,11953481,0,104668,0,11446906,0,401907,339,255481,2237,471036328,10067447,46788060
12,Vietnam,10670570,3819,43055,6,9316237,1817,1311278,480,107840,435,85804106,867162,98948207
13,Argentina,9083673,0,128653,0,8895999,0,59021,372,197652,2799,35716069,777146,45957986
14,Netherlands,8057700,1303,22270,1,7925873,27114,109557,52,468347,1294,21107399,1226850,17204551
15,Japan,8000280,21368,29726,18,7630309,32721,340245,170,63613,236,49155081,390849,125764967
16,Iran,7224431,375,141157,12,6999709,2659,83565,952,84036,1642,50914586,592246,85968659
17,Australia,6168861,38113,7454,30,5800078,0,361329,127,236866,286,69812523,2680599,26043626
18,Colombia,6093645,0,139809,0,5927076,0,26760,342,117457,2695,34560302,666163,51879622
19,Indonesia,6047986,245,156357,17,5885099,329,6530,2771,21690,561,95994568,344265,278839237
20,Poland,5999517,611,116124,25,5334855,42,548538,1125,158842,3074,36144527,956953,37770435
21,Mexico,5740080,0,324350,0,5039624,0,376106,4798,43677,2468,15801675,120236,131422318
22,Ukraine,5002870,0,108411,0,N/A,N/A,N/A,177,115671,2507,19521252,451348,43250980
23,Malaysia,4454113,0,35569,0,4391090,0,27454,66,134451,1074,58880012,1777344,33128087
24,Thailand,4308319,7705,28979,62,4181671,11252,97669,1496,61440,413,17270775,246297,70121872
25,Austria,4172760,6001,18228,6,4084163,5916,70369,76,458502,2003,183969298,20214529,9100845
26,Israel,4085418,0,10699,0,4052605,0,22114,150,438068,1147,41373364,4436346,9326000
27,Belgium,4071279,0,31494,0,3861145,11116,178640,131,348499,2696,33643042,2879824,11682324
28,Czechia,3911324,935,40203,5,3860191,2706,10930,24,363997,3741,55261935,5142801,10745494
29,Portugal,3853800,0,22280,0,N/A,N/A,N/A,61,379981,2197,41456888,4087614,10142074
30,South Africa,3818125,0,100471,0,3668982,0,48672,192,62919,1656,24592030,405255,60682906
31,Canada,3783091,0,39673,0,3473768,0,269650,468,98646,1034,61107311,1593397,38350336
32,Philippines,3686693,150,60439,0,3621737,327,4517,289,32840,538,29677552,264361,112261400
33,Switzerland,3619035,0,13865,0,3500631,8580,104539,69,412616,1581,20851897,2377383,8770946
