,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,511060348,346760,6250105,1474,464260269,191231,40549974,41976,65564,801.8,0,0,0
1,USA,82789716,0,1019008,0,80547402,0,1223306,1457,247486,3046,1002304891,2996227,334522343
2,India,43065666,0,522374,0,42525563,0,17729,698,30660,372,835469014,594807,1404606308
3,Brazil,30378061,0,662941,0,29411813,0,303307,8318,141097,3079,63776166,296221,215299307
4,France,28415413,0,145427,0,26245044,0,2024942,1677,433589,2219,266484045,4066260,65535419
5,Germany,24461941,98562,135329,205,21665200,0,2661412,1980,290281,1606,122332384,1451676,84269739
6,UK,22011920,9054,174448,304,21082567,54231,754905,326,321189,2545,516589623,7537860,68532664
7,Russia,18159600,7705,375400,163,17506859,11477,277341,2300,124340,2570,273400000,1871988,146047929
8,S. Korea,17086626,76761,22466,141,N/A,N/A,N/A,546,332754,438,15804065,307776,51349193
9,Italy,16191323,0,162927,0,14793420,0,1234976,409,268510,2702,212013319,3515939,60300620
10,Turkey,15023662,0,98720,0,14903420,0,21522,975,174725,1148,158505155,1843412,85984643
11,Spain,11833457,0,104227,0,11347449,0,381781,339,252919,2228,471036328,10067543,46787616
12,Vietnam,10620203,0,43029,0,9116225,0,1460949,620,107354,435,85792898,867237,98926693
13,Argentina,9072230,0,128542,0,8895999,0,47689,372,197446,2798,35716069,777318,45947798
14,Netherlands,8042469,0,22234,0,7731651,0,288584,77,467487,1292,21107399,1226916,17203621
15,Japan,7725765,37258,29402,58,7263359,40195,433004,183,61426,234,46888808,372801,125774445
16,Iran,7219433,1009,141041,17,6975147,2861,103245,1043,84003,1641,50914586,592428,85942224
17,Colombia,6091753,0,139783,0,5925390,0,26580,342,117451,2695,34407374,663386,51866293
18,Indonesia,6045660,617,156199,36,5880319,1178,9142,2771,21687,560,95279624,341788,278768157
19,Poland,5993861,1041,115998,21,5334513,74,543350,1321,158688,3071,36064312,954803,37771451
20,Australia,5796177,39700,7112,43,5402976,0,386089,144,222619,273,69056844,2652324,26036353
21,Mexico,5735115,1190,324173,39,5035685,776,375257,4798,43650,2467,15777764,120084,131389028
22,Ukraine,4999172,0,108343,0,N/A,N/A,N/A,177,115568,2505,19521252,451281,43257407
23,Malaysia,4436912,0,35520,0,4339521,0,61871,101,133973,1073,58469707,1765502,33117890
24,Thailand,4209571,14887,28147,125,4018460,18919,162964,1496,60036,401,17270775,246312,70117577
25,Austria,4122797,8239,18100,24,4018417,10412,86280,111,453075,1989,182416398,20046677,9099583
26,Israel,4066021,0,10694,0,4026872,0,28455,220,435988,1147,41373364,4436346,9326000
27,Belgium,4036113,0,31382,0,3759867,0,244864,156,345525,2687,33531891,2870614,11681086
28,Czechia,3900444,2035,40114,4,3842986,1117,17344,42,363001,3733,55157290,5133295,10745007
29,Portugal,3791744,0,22162,0,N/A,N/A,N/A,61,373836,2185,41113089,4053425,10142802
30,South Africa,3769927,0,100348,0,3635429,0,34150,175,62144,1654,24370285,401722,60664519
31,Canada,3714127,0,38901,0,3440493,0,234733,471,96868,1015,60712755,1583444,38342208
32,Philippines,3685029,195,60215,20,3614238,1178,10576,289,32836,537,29495310,262822,112225532
33,Switzerland,3602489,0,13836,0,3419641,0,169012,87,410803,1578,20767523,2368183,8769392
34,Peru,3562300,0,212769,0,N/A,N/A,N/A,350,105379,6294,29702409,878650,33804616
35,Chile,3549327,0,57387,0,3393210,0,98730,266,182825,2956,36810584,1896109,19413751
36,Greece,3302382,11487,29022,46,3195503,8180,77857,267,319665,2809,79332875,7679297,10330747
37,Denmark,2963337,1099,6125,9,2937000,2107,20212,13,508362,1051,127185788,21818779,5829189
38,Romania,2890827,1464,65456,26,2606660,0,218711,212,152109,3444,22641009,1191317,19005028
39,Sweden,2498388,0,18656,0,2466329,757,13403,19,244617,1827,18493218,1810672,10213458
40,Iraq,2324699,168,25208,0,2297063,239,2428,20,55537,602,18466576,441167,41858482
41,Serbia,2004255,921,15976,7,1972747,951,15532,26,231076,1842,9461757,1090874,8673560
42,Bangladesh,1952625,23,29127,0,1894457,334,29041,1297,11646,174,13978152,83370,167664530
43,Hungary,1897897,2220,46162,29,1797144,4528,54591,38,197371,4801,11324260,1177663,9615875
44,Slovakia,1777971,1395,19873,11,1737255,2528,20843,70,325371,3637,7074245,1294597,5464437
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163112,1352,16670254,1604946,10386802
46,Georgia,1654665,290,16802,2,1636188,80,1675,0,416238,4227,16840700,4236352,3975283
47,Pakistan,1528178,117,30371,2,1494141,0,3666,145,6683,133,28102380,122896,228667501
48,Ireland,1515005,970,7054,26,1435849,5251,72102,38,300728,1400,12049432,2391805,5037798
49,Norway,1424672,0,2871,0,N/A,N/A,N/A,20,259120,522,11002430,2001130,5498109
50,Kazakhstan,1305489,16,13660,0,1291030,21,799,24,68051,712,11575012,603370,19183944
51,Hong Kong,1203068,430,9282,8,N/A,N/A,N/A,115,158147,1220,44972952,5911837,7607272
52,Singapore,1187914,0,1333,0,1117944,0,68637,7,200195,225,23712995,3996275,5933774
