Unnamed: 0,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop,Continent
85,Egypt,515645,0,24613,0,442182.0,0.0,48850.0,122,4874,233.0,3693367,34910,105796348,Africa
86,Libya,501862,0,6429,0,490900.0,0.0,4533.0,101,71298,913.0,2476960,351895,7038917,Africa
87,Ethiopia,470305,0,7509,0,453658.0,0.0,9138.0,21,3917,63.0,4746224,39529,120070011,Africa
88,Mongolia,469450,51,2177,0,313256.0,0.0,154017.0,192,139179,645.0,4030048,1194799,3372992,Asia
89,Cyprus,464366,0,993,0,124370.0,0.0,339003.0,60,379654,812.0,9477138,7748273,1223129,Asia
90,Armenia,422799,15,8622,0,410503.0,18.0,3674.0,0,142204,2900.0,3023341,1016871,2973180,Asia
91,Honduras,422239,0,10892,0,131100.0,0.0,280247.0,105,41448,1069.0,1263329,124012,10187191,North America
92,Oman,388956,34,4257,0,384029.0,27.0,670.0,3,72845,797.0,25000000,4682077,5339511,Asia
93,Bosnia and Herzegovina,376567,41,15753,1,192218.0,0.0,168596.0,0,116074,4856.0,1750968,539721,3244209,Europe
94,Qatar,363828,74,677,0,362232.0,138.0,919.0,1,129577,241.0,3423677,1219343,2807805,Asia
95,Réunion,360445,0,731,0,342442.0,0.0,17272.0,10,397502,806.0,1603660,1768529,906776,Africa
96,Kenya,323646,16,5649,0,317882.0,31.0,115.0,0,5790,101.0,3573937,63940,55895462,Africa
97,Zambia,318640,0,3973,0,313836.0,0.0,831.0,0,16504,206.0,3402725,176242,19307077,Africa
98,North Macedonia,308752,0,9263,0,298688.0,0.0,801.0,0,148209,4446.0,1999002,959573,2083221,Europe
99,Botswana,305859,0,2688,0,303026.0,0.0,145.0,1,125517,1103.0,2026898,831791,2436788,Africa
100,Albania,274535,0,3496,0,270742.0,0.0,297.0,2,95585,1217.0,1794631,624837,2872159,Europe
101,Algeria,265746,0,6874,0,178336.0,0.0,80536.0,6,5870,152.0,230861,5099,45271360,Africa
102,Nigeria,255670,0,3143,0,249874.0,0.0,2653.0,11,1187,15.0,5036813,23394,215301380,Africa
103,Zimbabwe,247297,0,5464,0,241112.0,0.0,721.0,12,16215,358.0,2229802,146206,15251064,Africa
104,Uzbekistan,238357,36,1637,0,236352.0,31.0,368.0,23,6941,48.0,1377915,40126,34339369,Asia
105,Montenegro,234336,0,2709,0,231004.0,0.0,623.0,6,373022,4312.0,2440882,3885462,628209,Europe
106,Luxembourg,230991,0,1055,0,218109.0,0.0,11827.0,2,358545,1638.0,4205548,6527860,644246,Europe
107,Mozambique,225338,0,2201,0,223088.0,0.0,49.0,13,6865,67.0,1307186,39822,32825481,Africa
108,Laos,202542,1082,730,3,7660.0,0.0,194152.0,0,27132,98.0,1232128,165055,7464955,Asia
109,Kyrgyzstan,200982,0,2991,0,196351.0,10.0,1640.0,131,29920,445.0,1907195,283924,6717279,Asia
110,China,191112,2761,4655,7,155684.0,2365.0,30773.0,116,133,3.0,160000000,111163,1439323776,Asia
111,Iceland,183974,0,112,0,75685.0,0.0,108177.0,1,532923,324.0,1953616,5659096,345217,Europe
112,Maldives,178883,0,298,0,163687.0,0.0,14898.0,25,320797,534.0,2213831,3970136,557621,Asia
113,Afghanistan,178574,59,7679,0,161665.0,60.0,9230.0,1124,4409,190.0,937846,23156,40500605,Asia
114,Uganda,164058,0,3596,0,100205.0,0.0,60257.0,2,3394,74.0,2610618,54016,48330675,Africa
115,El Salvador,162089,0,4126,0,150662.0,0.0,7301.0,8,24766,630.0,1950448,298009,6544927,North America
116,Ghana,161114,0,1445,0,159640.0,0.0,29.0,1,4998,45.0,2432376,75455,32236224,Africa
117,Namibia,158112,0,4022,0,153662.0,0.0,428.0,0,60269,1533.0,997168,380099,2623443,Africa
118,Martinique,147519,0,918,0,104.0,0.0,146497.0,8,393654,2450.0,828928,2211991,374743,North America
119,Trinidad and Tobago,142514,0,3806,0,132554.0,0.0,6154.0,18,101245,2704.0,690185,490321,1407619,North America
120,Brunei,140542,178,218,0,139297.0,110.0,1027.0,3,315828,490.0,717784,1613016,444995,Asia
121,Guadeloupe,140130,0,854,0,2250.0,0.0,137026.0,19,350109,2134.0,938039,2343650,400247,North America
122,Cambodia,136117,27,3056,1,132825.0,24.0,236.0,0,7944,178.0,2946019,171939,17134059,Asia
123,Rwanda,129758,0,1458,0,45522.0,0.0,82778.0,0,9592,108.0,5206385,384861,13527959,Africa
124,Jamaica,129312,0,2932,0,82693.0,0.0,43687.0,0,43330,982.0,971491,325528,2984357,North America
125,Cameroon,119780,0,1927,0,117791.0,0.0,62.0,13,4319,69.0,1751774,63171,27730780,Africa
126,Angola,99194,0,1900,0,97149.0,0.0,145.0,0,2859,55.0,1499795,43223,34699115,Africa
127,Malta,89607,297,679,2,82288.0,785.0,6640.0,4,201975,1530.0,1864230,4202000,443653,Europe
128,DRC,87023,0,1337,0,50930.0,0.0,34756.0,0,921,14.0,846704,8965,94442912,
129,Senegal,85975,3,1965,0,83989.0,3.0,21.0,1,4903,112.0,1061052,60510,17535106,Africa
130,Malawi,85728,0,2632,0,81915.0,0.0,1181.0,67,4283,131.0,569074,28430,20016335,Africa
131,Ivory Coast,81861,0,797,0,81026.0,0.0,38.0,0,2971,29.0,1489194,54055,27549595,Africa
132,French Guiana,80035,0,394,0,11254.0,0.0,68387.0,2,256060,1261.0,618263,1978036,312564,South America
133,Suriname,79302,0,1327,0,49396.0,0.0,28579.0,0,133043,2226.0,235824,395636,596063,South America
134,Channel Islands,73304,0,165,0,71705.0,0.0,1434.0,0,414761,934.0,1252808,7088504,176738,
135,French Polynesia,72621,0,648,0,,,,7,255868,2283.0,0,0,283822,Oceania
