,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,512313290,209048,6256964,782,466191053,305785,39865273,41481,65725,802.7,0,0,0
1,USA,82954768,0,1020159,0,80623433,0,1311176,1565,247972,3050,1003873530,3000821,334532930
2,India,43072486,0,523753,0,42530622,0,18111,698,30664,373,836945383,595826,1404680388
3,Brazil,30418920,0,663289,0,29499422,0,256209,8318,141281,3081,63776166,296210,215307551
4,France,28542884,0,145711,0,26552320,0,1844853,1677,435528,2223,266484045,4066211,65536206
5,Germany,24608074,0,135608,0,22227600,139300,2244866,1446,292010,1609,122332384,1451651,84271199
6,UK,22025925,0,174696,0,21130857,19,720372,310,321384,2549,516977818,7543310,68534608
7,Russia,18174991,7710,375727,161,17528963,11041,270301,2300,124445,2573,273400000,1871984,146048270
8,S. Korea,17194616,50551,22724,136,N/A,N/A,N/A,526,334855,443,15804065,307775,51349433
9,Italy,16349788,0,163244,0,14937738,0,1248806,382,271140,2707,213009371,3532486,60300137
10,Turkey,15028397,0,98751,0,14927975,0,1671,975,174770,1148,158778055,1846480,85989599
11,Spain,11833457,0,104227,0,11347449,0,381781,339,252918,2228,471036328,10067522,46787714
12,Vietnam,10644700,6068,43038,1,9245528,3225,1356134,594,107597,435,85796776,867234,98931474
13,Argentina,9072230,0,128542,0,8895999,0,47689,372,197437,2797,35716069,777280,45950062
14,Netherlands,8045456,0,22239,0,7783785,0,239432,75,467655,1293,21107399,1226901,17203828
15,Japan,7813849,42313,29506,39,7356289,36932,428054,173,62127,235,48589480,386329,125772339
16,Iran,7220402,0,141058,0,6977760,0,101584,1114,84009,1641,50914586,592388,85948099
17,Colombia,6092167,0,139789,0,5925828,0,26550,342,117452,2695,34446718,664107,51869255
18,Indonesia,6046467,395,156240,23,5882062,572,8165,2771,21689,560,95495775,342544,278783952
19,Poland,5995674,857,116042,20,5334621,63,545011,1321,158737,3072,36092285,955550,37771225
20,Australia,5889048,41696,7189,26,5509057,0,372802,137,226172,276,69260340,2659975,26037970
21,Mexico,5737811,1232,324254,33,5037473,781,376084,4798,43668,2468,15794055,120202,131396426
22,Ukraine,5001039,0,108380,0,N/A,N/A,N/A,177,115615,2506,19521252,451296,43255978
23,Malaysia,4443318,0,35536,0,4354006,0,53776,84,134158,1073,58619511,1769904,33120156
24,Thailand,4238061,14053,28403,129,4053751,16782,155907,1496,60441,405,17270775,246308,70118531
25,Austria,4135344,6186,18138,21,4034609,7765,82597,99,454440,1993,182842386,20092870,9099864
26,Israel,4071491,0,10695,0,4033472,0,27324,220,436574,1147,41373364,4436346,9326000
27,Belgium,4056448,0,31439,0,3788380,19596,236629,150,347258,2691,33531891,2870547,11681361
28,Czechia,3903659,1561,40143,8,3844988,1065,18528,33,363296,3736,55186195,5135933,10745115
29,Portugal,3791744,0,22162,0,N/A,N/A,N/A,61,373842,2185,41218424,4063875,10142640
30,South Africa,3780444,0,100355,0,3640571,0,39518,192,62313,1654,24423181,402567,60668605
31,Canada,3741119,0,39177,0,3448330,0,253612,471,97567,1022,60819571,1586156,38344014
32,Philippines,3685403,184,60305,38,3616709,1339,8389,289,32837,537,29541239,263212,112233503
33,Switzerland,3602489,0,13859,2,3459053,32263,129577,87,410786,1580,20767523,2368090,8769737
34,Peru,3563929,0,212798,0,N/A,N/A,N/A,324,105419,6294,29778939,880848,33807126
35,Chile,3553956,0,57495,0,3401004,0,95457,239,183055,2961,36908909,1901086,19414647
36,Greece,3309962,0,29073,0,3195503,0,85386,260,320408,2814,79481141,7693855,10330470
37,Denmark,2965204,867,6149,14,2940457,1349,18598,13,508672,1055,127207133,21822022,5829301
38,Romania,2892989,1016,65478,7,2606660,0,220851,200,152228,3445,22684309,1193639,19004331
39,Sweden,2500917,0,18739,0,2468078,0,14100,21,244857,1835,18513445,1812591,10213801
40,Iraq,2324847,0,25209,0,2297303,0,2335,20,55534,602,18470495,441208,41863426
41,Serbia,2005072,0,15980,0,1972747,0,16345,25,231176,1842,9471803,1092056,8673369
42,Bangladesh,1952674,30,29127,0,1895146,326,28401,1297,11646,174,13987528,83421,167673489
43,Hungary,1901017,1384,46201,12,1804295,2482,50521,41,197698,4805,11339446,1179259,9615741
44,Slovakia,1780022,926,19891,12,1742391,2471,17740,70,325746,3640,7084258,1296426,5464452
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163104,1352,16670254,1604860,10387355
46,Georgia,1654945,148,16807,2,1636800,280,1338,0,416313,4228,16885842,4247753,3975241
47,Pakistan,1528347,75,30371,0,1494141,0,3835,138,6683,133,28137765,123038,228690978
48,Ireland,1516153,0,7076,0,1447106,5348,61971,39,300938,1404,12063637,2394482,5038099
49,Norway,1425464,0,2932,0,N/A,N/A,N/A,20,259253,533,11002430,2001045,5498341
50,Kazakhstan,1305521,17,13660,0,1291055,11,806,24,68048,712,11575012,603331,19185171
51,Hong Kong,1203847,366,9298,11,N/A,N/A,N/A,115,158243,1222,44972952,5911579,7607604
52,Singapore,1193250,0,1334,0,1126448,2205,65468,6,201086,225,23712995,3996106,5934026
