,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,521366398,178870,6288682,296,491948944,212501,23128772,39191,66886,806.8,0,0,0
1,USA,84230829,0,1026670,0,81282964,0,1921195,1953,251719,3068,1017024894,3039316,334622917
2,India,43123801,0,524241,0,42582243,0,17317,698,30686,373,844134156,600675,1405310074
3,Brazil,30688390,0,664967,0,29724682,0,298741,8318,142486,3087,63776166,296113,215377625
4,France,29183646,0,147257,0,28170658,0,865731,1329,445260,2247,271490188,4142176,65542896
5,Germany,25780270,0,137921,0,24014000,57300,1628349,1279,305875,1636,122332384,1451437,84283610
6,UK,22159805,0,176708,0,21703057,0,280040,253,323259,2578,519264096,7574843,68551138
7,Russia,18264836,4543,377759,89,17652558,5379,234519,2300,125058,2586,273400000,1871947,146051167
8,S. Korea,17795357,13296,23744,35,17120356,57439,651257,345,346540,462,15804065,307763,51351476
9,Italy,17057873,0,165244,0,15894511,0,998118,347,282902,2741,217853667,3613069,60296023
10,Turkey,15054322,0,98900,0,14952428,0,2994,975,174986,1150,160742893,1868414,86031729
11,Spain,12127122,0,105444,0,11548089,0,473589,339,259190,2254,471036328,10067341,46788553
12,Vietnam,10698180,1550,43067,2,9359763,4723,1295350,299,108093,435,85811930,867031,98972112
13,Argentina,9135308,0,128776,0,8895999,0,110533,300,198726,2801,35716069,776955,45969306
14,Japan,8373056,34845,30061,22,7979629,28042,363366,134,66583,239,50521162,401745,125754434
15,Netherlands,8070272,821,22294,0,7996777,7626,51201,52,469050,1296,21107399,1226776,17205584
16,Iran,7228434,383,141232,8,7022911,2076,64291,755,84053,1642,51771715,602010,85998032
17,Australia,6635840,42045,7807,13,6199822,0,428211,138,254718,300,70938962,2723006,26051707
18,Colombia,6095316,0,139821,0,5928829,0,26666,342,117456,2694,34675581,668195,51894431
19,Indonesia,6050958,182,156464,6,5889797,263,4697,2771,21694,561,97434437,349330,278918214
20,Poland,6003531,95,116207,0,5335133,21,552191,981,158953,3077,36228792,959213,37769307
21,Mexico,5745652,0,324465,0,5044893,0,376294,4798,43707,2468,15855490,120611,131459306
22,Ukraine,5006460,0,108449,0,N/A,N/A,N/A,177,115773,2508,19521252,451423,43243839
23,Malaysia,4478112,0,35615,0,4411762,0,30735,45,135129,1075,59316942,1789921,33139417
24,Thailand,4379084,5238,29515,40,4282767,9168,66802,1496,62445,421,17270775,246280,70126644
25,Austria,4215150,2658,18303,0,4140792,4907,56055,62,463089,2011,185470038,20376294,9102246
26,Belgium,4116397,0,31613,0,3948039,6689,136745,117,352320,2706,33846023,2896859,11683699
27,Israel,4108401,0,10800,0,4081150,0,16451,150,440532,1158,41373364,4436346,9326000
28,Portugal,4066674,0,22583,0,N/A,N/A,N/A,61,401003,2227,41903714,4132001,10141265
29,Czechia,3915917,70,40246,0,3872408,761,3263,10,364406,3745,55326986,5148595,10746035
30,South Africa,3891793,0,100755,0,3710696,0,80342,192,64112,1660,24885511,409953,60703335
31,Canada,3822910,0,40235,0,3501516,0,281159,423,99660,1049,61436458,1601602,38359368
32,Philippines,3688292,160,60458,0,3625146,377,2688,480,32843,538,29854342,265842,112301254
33,Switzerland,3631881,0,13882,0,3556295,4802,61704,78,413999,1582,20927607,2385545,8772672
34,Chile,3605522,0,57722,0,3468123,0,79677,159,185639,2972,37693651,1940745,19422260
35,Peru,3572423,0,213040,0,N/A,N/A,N/A,248,105604,6298,30251229,894254,33828466
36,Greece,3392575,0,29547,0,3306014,0,57014,176,328480,2861,81233888,7865314,10328117
37,Denmark,2977209,542,6293,6,2961101,715,9815,12,510649,1079,127352132,21843355,5830246
38,Romania,2903394,322,65612,0,N/A,N/A,N/A,131,152823,3454,22965124,1208792,18998403
39,Sweden,2504894,0,18864,0,2478036,311,7994,9,245176,1846,18553837,1816027,10216721
40,Iraq,2326577,119,25216,0,2300104,119,1257,14,55520,602,18533607,442272,41905451
41,Serbia,2013240,404,16050,1,1989023,814,8167,16,232161,1851,9606396,1107782,8671742
42,Bangladesh,1953049,37,29127,0,1899639,220,24283,1273,11643,174,14056245,83793,167749641
43,Hungary,1909948,0,46343,0,1821435,0,42170,29,198651,4820,11394556,1185130,9614607
44,Slovakia,1787142,49,20050,9,1761801,137,5291,30,327041,3669,7127568,1304323,5464574
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163030,1352,16670254,1604134,10392056
46,Georgia,1655221,0,16811,0,1637293,0,1117,0,416420,4229,16920079,4256745,3974887
47,Ireland,1535451,0,7203,0,1503325,3446,24923,29,304613,1429,12157473,2411881,5040660
48,Pakistan,1529351,102,30376,0,1494141,0,4834,115,6682,133,28365378,123926,228890529
49,Norway,1429771,0,3061,0,N/A,N/A,N/A,20,259944,557,11002430,2000330,5500307
50,Kazakhstan,1305649,5,13661,0,1291819,1,169,24,68018,712,11575012,603003,19195600
51,Singapore,1242884,0,1363,0,1166037,0,75484,8,209375,230,23767171,4003796,5936160
52,Hong Kong,1208740,234,9361,0,N/A,N/A,N/A,5,158827,1230,44972952,5909387,7610426
53,Morocco,1165795,0,16071,0,1149054,0,670,293,30901,426,11237010,297854,37726532
54,Bulgaria,1161630,0,37048,0,1014483,0,110099,54,169558,5408,9926953,1448996,6850918
55,Croatia,1131492,42,15942,12,1112121,716,3429,15,278826,3928,4839184,1192487,4058061
56,Cuba,1104589,0,8529,0,1095534,0,526,23,97633,754,12920253,1141998,11313723
57,Lebanon,1098034,0,10408,0,1084853,0,2773,186,162228,1538,4795578,708520,6768448
58,Finland,1069740,0,4284,0,N/A,N/A,N/A,21,192511,771,10832080,1949347,5556773
59,Lithuania,1060636,16,9129,0,1033053,445,18454,9,400016,3443,9957752,3755538,2651485
60,New Zealand,1050797,7114,929,6,995471,6466,54397,0,210071,186,7127584,1424918,5002100
61,Tunisia,1041197,0,28575,0,N/A,N/A,N/A,29,86412,2372,4592916,381178,12049274
62,Slovenia,1019834,130,6625,1,1004288,242,8921,9,490430,3186,2657817,1278122,2079471
63,Belarus,982867,0,6978,0,N/A,N/A,N/A,0,104078,739,13220483,1399952,9443526
64,Nepal,979004,6,11952,0,966913,9,139,0,32510,397,5670686,188307,30114082
65,Bolivia,906146,0,21943,0,863665,0,20538,220,75701,1833,2705422,226017,11969990
66,Uruguay,902540,0,7213,0,892434,0,2893,18,258150,2063,6114822,1748999,3496184
67,UAE,902484,0,2302,0,886128,0,14054,0,89238,228,159103283,15732120,10113277
68,Ecuador,872268,0,35607,0,N/A,N/A,N/A,759,48078,1963,2470170,136152,18142695
69,Costa Rica,866164,0,8444,0,841683,0,16037,48,167185,1630,4401922,849648,5180880
70,Guatemala,852503,0,17822,0,832497,0,2184,5,45998,962,4543522,245151,18533577
71,Taiwan,830257,61753,1097,29,66947,6313,762213,0,34743,46,16314805,682709,23897173
72,Latvia,826038,339,5803,5,816956,703,3279,6,447155,3141,7223502,3910258,1847321
73,Panama,808443,0,8205,0,775621,0,24617,16,182023,1847,6030317,1357739,4441439
74,Azerbaijan,792638,0,9709,0,782869,0,60,0,76883,942,6838458,663308,10309632
75,Saudi Arabia,759856,630,9118,2,744327,406,6411,64,21210,255,42173211,1177200,35825005
76,Sri Lanka,663671,0,16511,0,646921,0,239,0,30753,765,6486117,300552,21580707
77,Paraguay,649718,0,18872,0,624673,0,6173,2,89052,2587,2633737,360986,7295944
