,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,511663096,242236,6254224,1095,465440121,453067,39968751,42112,65642,802.4,0,0,0
1,USA,82888247,0,1019774,0,80585919,0,1282554,1520,247777,3048,1003322959,2999223,334527637
2,India,43068799,0,523693,0,42528126,0,16980,698,30662,373,836471748,595505,1404643348
3,Brazil,30399004,0,663165,0,29480998,0,254841,8318,141191,3080,63776166,296215,215303429
4,France,28483124,0,145579,0,26403684,0,1933861,1677,434619,2221,266484045,4066235,65535813
5,Germany,24488242,0,135369,0,22088300,202400,2264573,1980,290591,1606,122332384,1451664,84270469
6,UK,22011920,0,174448,0,21083398,831,754074,326,321184,2545,516589623,7537753,68533636
7,Russia,18167281,7681,375566,166,17517922,11063,273793,2300,124392,2572,273400000,1871986,146048100
8,S. Korea,17144065,57439,22588,122,N/A,N/A,N/A,552,333871,440,15804065,307776,51349313
9,Italy,16279754,0,163113,0,14881965,0,1234676,394,269978,2705,212567845,3525149,60300379
10,Turkey,15026141,0,98736,0,14916782,0,10623,975,174749,1148,158642802,1844960,85987121
11,Spain,11833457,0,104227,0,11347449,0,381781,339,252918,2228,471036328,10067532,46787665
12,Vietnam,10638632,7116,43037,3,9242303,79171,1353292,629,107538,435,85795593,867243,98929083
13,Argentina,9072230,0,128542,0,8895999,0,47689,372,197442,2797,35716069,777299,45948930
14,Netherlands,8042469,0,22234,0,7753113,21462,267122,77,467484,1292,21107399,1226909,17203724
15,Japan,7771536,45771,29467,65,7319357,55998,422712,174,61790,234,48448864,385208,125773392
16,Iran,7220402,969,141058,17,6977760,2613,101584,1114,84012,1641,50914586,592408,85945161
17,Colombia,6091959,0,139785,0,5925634,0,26540,342,117452,2695,34428355,663772,51867774
18,Indonesia,6046072,412,156217,18,5881490,1171,8365,2771,21688,560,95397890,342203,278776055
19,Poland,5994818,958,116022,24,5334574,73,544222,1321,158713,3072,36078168,955173,37771338
20,Australia,5847352,46138,7165,52,5458416,0,381771,149,224577,275,69168574,2656533,26037162
21,Mexico,5736579,1464,324221,48,5036692,1007,375666,4798,43660,2468,15786017,120144,131392727
22,Ukraine,4999984,0,108359,0,N/A,N/A,N/A,177,115589,2505,19521252,451289,43256693
23,Malaysia,4440383,0,35526,0,4346421,0,58436,98,134073,1073,58544609,1767703,33119023
24,Thailand,4224008,14437,28274,127,4036969,18509,158765,1496,60241,403,17270775,246310,70118054
25,Austria,4129158,6361,18117,17,4026844,8427,84197,113,453767,1991,182596243,20066132,9099723
26,Israel,4067687,0,10695,0,4029571,0,27421,220,436166,1147,41373364,4436346,9326000
27,Belgium,4036113,0,31382,0,3768784,8917,235947,156,345521,2687,33531891,2870580,11681224
28,Czechia,3902095,1645,40123,3,3843970,1031,18002,33,363152,3734,55171659,5134606,10745061
29,Portugal,3791744,0,22162,0,N/A,N/A,N/A,61,373839,2185,41113089,4053458,10142721
30,South Africa,3776298,0,100351,0,3638087,0,37860,175,62247,1654,24400471,402206,60666562
31,Canada,3725773,0,39007,0,3444570,0,242196,471,97169,1017,60778047,1585110,38343111
32,Philippines,3685029,0,60215,0,3614238,0,10576,289,32835,537,29495310,262812,112229517
33,Switzerland,3602489,0,13836,0,3426790,7149,161863,87,410795,1578,20767523,2368136,8769564
34,Peru,3563151,0,212778,0,N/A,N/A,N/A,350,105400,6294,29738803,879693,33805871
35,Chile,3551383,0,57468,0,3397592,0,96323,255,182927,2960,36856295,1898420,19414199
36,Greece,3302382,0,29022,0,3195503,0,77857,267,319670,2809,79332875,7679400,10330608
37,Denmark,2963337,0,6125,0,2936991,0,20221,13,508357,1051,127185788,21818570,5829245
38,Romania,2891973,1146,65471,15,2606660,0,219842,193,152172,3445,22663841,1192540,19004679
39,Sweden,2498388,0,18656,0,2467044,715,12688,19,244613,1827,18493218,1810641,10213629
40,Iraq,2324699,0,25208,0,2297063,0,2428,20,55534,602,18466576,441141,41860954
41,Serbia,2004255,0,15976,0,1972747,0,15532,26,231079,1842,9461757,1090885,8673465
42,Bangladesh,1952644,19,29127,0,1894820,363,28697,1297,11646,174,13982774,83395,167669010
43,Hungary,1899633,1736,46189,27,1801813,4669,51631,36,197553,4803,11331451,1178419,9615808
44,Slovakia,1779096,1125,19879,6,1739920,2665,19297,70,325577,3638,7079734,1295600,5464444
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163108,1352,16670254,1604903,10387079
46,Georgia,1654797,132,16805,3,1636520,332,1472,0,416274,4227,16861249,4241544,3975262
47,Pakistan,1528272,94,30371,0,1494141,0,3760,135,6683,133,28119847,122966,228679239
48,Ireland,1515005,0,7054,0,1441758,5909,66193,36,300719,1400,12049432,2391734,5037948
49,Norway,1425079,0,2932,0,N/A,N/A,N/A,20,259189,533,11002430,2001088,5498225
50,Kazakhstan,1305504,15,13660,0,1291044,14,800,24,68050,712,11575012,603350,19184557
