,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,504835361,176313,6223651,692,456068717,552266,42542993,42130,64766,798.4,0,0,0
1,USA,82316348,0,1015451,0,80202314,0,1098583,1459,246106,3036,995859564,2977384,334474703
2,India,43044280,0,521965,0,42510773,0,11542,698,30652,372,832104846,592552,1404272945
3,Brazil,30252618,0,662011,0,29227051,0,363556,8318,140538,3075,63776166,296272,215262209
4,France,27771024,0,144157,0,24914871,0,2711996,1541,423779,2200,260504402,3975232,65531878
5,Germany,23438293,0,133429,0,20085800,205500,3219064,1980,278156,1583,122332384,1451790,84263168
6,UK,21747638,0,171396,0,20306336,109212,1269906,355,317373,2501,512140269,7473891,68523912
7,Russia,18084151,9434,373713,213,17390465,14324,319973,2300,123825,2559,273400000,1872008,146046396
8,S. Korea,16353495,47743,21224,132,N/A,N/A,N/A,850,318483,413,15804065,307783,51348111
9,Italy,15712088,0,161687,0,14324363,0,1226038,403,260553,2681,209170287,3468666,60302798
10,Turkey,14994937,0,98568,0,14748252,0,148117,975,174436,1147,157184214,1828524,85962339
11,Spain,11662214,0,103266,0,11120708,0,438240,368,249261,2207,471036328,10067638,46787172
12,Vietnam,10432547,0,42944,0,8936846,0,1452757,1070,105480,434,85684619,866331,98905178
13,Argentina,9060923,0,128344,0,8895999,0,36580,412,197244,2794,35716069,777491,45937609
14,Netherlands,8015576,0,22156,0,7412962,54216,580458,113,465949,1288,21107399,1226982,17202691
15,Japan,7374251,39899,29023,31,6829906,44328,515322,222,58626,231,45700624,363326,125783924
16,Iran,7208968,2009,140854,25,6948946,3102,119168,1307,83907,1639,50079995,582896,85915789
17,Colombia,6089662,0,139749,0,5923067,0,26846,342,117441,2695,34249450,660511,51852965
18,Indonesia,6040432,559,155903,37,5833560,7831,50969,2771,21674,559,94216598,338061,278697077
19,Poland,5985517,266,115838,0,5334115,24,535564,268,158462,3067,35948483,951711,37772466
20,Mexico,5727668,1000,323944,6,5028436,683,375288,4798,43604,2466,15714867,119636,131355739
21,Australia,5419380,34270,6787,10,4969108,0,443485,138,208205,261,68335670,2625359,26029081
22,Ukraine,4990465,0,108220,0,N/A,N/A,N/A,177,115350,2501,19521252,451214,43263833
23,Malaysia,4389025,0,35421,0,4249704,0,103900,126,132568,1070,57945175,1750203,33107693
24,Austria,4059444,6227,16431,11,3918429,14139,124584,154,446175,1806,180657934,19856182,9098322
25,Thailand,4046953,16994,27009,124,3814433,25910,205511,1496,57720,385,17270775,246327,70113282
26,Israel,4031761,0,10630,0,3941841,0,79290,220,432314,1140,41373364,4436346,9326000
27,Belgium,3972963,0,31165,0,3664894,12275,276904,181,340155,2668,33313880,2852253,11679849
28,Czechia,3882395,749,39990,5,3817965,4510,24440,47,361337,3722,55024950,5121211,10744520
29,South Africa,3741230,0,100147,0,3627594,0,13489,175,61690,1651,24189010,398855,60646133
30,Portugal,3719485,0,21993,0,N/A,N/A,N/A,61,366685,2168,40733478,4015710,10143530
31,Philippines,3683211,170,59976,7,3603312,1277,19923,289,32830,535,29286749,261047,112189664
32,Canada,3632318,0,38311,0,3373544,0,220463,407,94754,999,60149136,1569077,38334079
33,Peru,3555739,0,212630,0,N/A,N/A,N/A,373,105220,6292,29402394,870065,33793319
34,Switzerland,3551790,0,13793,0,3253709,26917,284288,103,405093,1573,20548491,2343621,8767838
35,Chile,3530258,0,57263,0,3312061,0,160934,346,181881,2950,36365786,1873586,19409720
36,Greece,3238169,0,28588,0,3086054,0,123527,313,313412,2767,77936301,7543202,10331992
37,Denmark,2949407,0,5997,0,2913431,0,29979,16,506016,1029,127063375,21799649,5828689
38,Romania,2882590,686,65340,3,2606660,0,210590,235,151650,3437,22487809,1183060,19008167
39,Sweden,2495996,0,18572,0,2458422,1329,19002,24,244420,1819,18471631,1808832,10211912
40,Iraq,2323284,152,25198,0,2293427,624,4659,36,55533,602,18429771,440522,41836233
41,Serbia,1996868,882,15933,6,1960640,1911,20295,20,230202,1837,9383655,1081761,8674422
42,Bangladesh,1952362,36,29126,2,1891197,355,32039,1283,11647,174,13930855,83108,167624215
43,Hungary,1879480,0,45865,0,1748707,0,84908,50,195444,4769,11244573,1169303,9616475
44,Slovakia,1765258,1263,19759,18,1707211,1445,38288,109,323049,3616,7020304,1284741,5464372
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163151,1353,16670254,1605330,10384313
46,Georgia,1653118,74,16793,1,1634313,357,2012,0,415830,4224,16706619,4202426,3975470
47,Pakistan,1527326,78,30364,1,1493662,56,3300,209,6682,133,27926021,122181,228561856
48,Ireland,1498834,0,6932,0,1374154,4787,117748,48,297598,1376,11971043,2376885,5036442
49,Norway,1419729,0,2783,0,N/A,N/A,N/A,20,258270,506,11002430,2001509,5497068
50,Kazakhstan,1305396,9,13660,0,1290880,72,856,24,68066,712,11575012,603544,19178422
51,Hong Kong,1198438,613,9159,20,N/A,N/A,N/A,115,157569,1204,44972952,5912997,7605779
52,Morocco,1164381,0,16063,0,1147674,0,644,293,30891,426,11237010,298119,37693072
53,Singapore,1160300,0,1316,0,1093904,0,65080,4,195579,222,23611604,3979946,5932645
54,Bulgaria,1149447,0,36784,0,949203,0,163460,116,167683,5366,9749280,1422236,6854897
55,Croatia,1113547,30,15742,7,1093859,822,3946,23,274273,3877,4743521,1168358,4059988
56,Cuba,1099736,0,8520,0,1089405,0,1811,23,97199,753,12920253,1141945,11314250
57,Lebanon,1095613,0,10360,0,1076531,0,8722,186,161815,1530,4795578,708276,6770775
