,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,528387692,323567,6301922,214,498808139,476802,23277631,38001,67787,808.5,0,0,0
1,USA,85113962,0,1029121,0,81701524,0,2383317,2278,254326,3075,1022513255,3055331,334665263
2,India,43140068,0,524490,0,42600737,0,14841,698,30691,373,847092226,602653,1405606396
3,Brazil,30803995,0,665727,0,29851917,0,286351,8318,143001,3091,63776166,296068,215410601
4,France,29359336,0,147917,0,28609848,0,601571,1173,447919,2257,271490188,4141977,65546044
5,Germany,26103628,0,138738,0,24832300,123700,1132590,944,309690,1646,122332384,1451337,84289451
6,UK,22238715,0,177977,0,21850869,14553,209869,188,324374,2596,522526476,7621568,68558917
7,Russia,18297608,0,378426,0,17694020,0,225162,2300,125281,2591,273400000,1871929,146052530
8,S. Korea,17993985,26313,24006,19,17440795,26692,529184,232,350402,467,15804065,307757,51352437
9,Italy,17257573,0,166032,0,16258494,0,833047,291,286223,2754,219525905,3640919,60294088
10,Turkey,15063203,0,98929,0,14961011,0,3263,975,175049,1150,161664811,1878697,86051554
11,Spain,12238073,0,105947,0,11620275,0,511851,339,261559,2264,471036328,10067256,46788947
12,Vietnam,10710066,0,43076,0,9405908,0,1261082,216,108192,435,85814565,866891,98991236
13,Argentina,9178795,0,128825,0,8895999,0,153971,300,199633,2802,35716069,776802,45978362
14,Japan,8641599,22916,30337,30,8278412,35149,332850,100,68723,241,51636619,410642,125746009
15,Netherlands,8077873,0,22307,0,8015332,0,40234,36,469469,1296,21107399,1226717,17206410
16,Iran,7230321,0,141281,0,7035798,0,53242,649,84052,1642,52031785,604869,86021530
17,Australia,7025763,42759,8178,68,6608390,0,409195,117,269618,314,71338966,2737681,26058172
18,Colombia,6099111,0,139833,0,5930545,0,28733,342,117502,2694,34792844,670301,51906279
19,Indonesia,6052764,0,156534,0,5893340,0,2890,2771,21696,561,98171807,351894,278981396
20,Poland,6005596,0,116268,0,5335262,0,554066,981,159011,3078,36286936,960775,37768404
21,Mexico,5759773,1176,324768,3,5054809,1315,380196,4798,43804,2470,15950212,121305,131488897
22,Ukraine,5011433,0,108538,0,N/A,N/A,N/A,177,115903,2510,19521252,451482,43238126
23,Malaysia,4492864,0,35645,0,4432071,0,25148,39,135538,1075,59607632,1798201,33148481
24,Thailand,4419737,4144,29814,36,4342047,7235,47876,1496,63022,425,17270775,246266,70130461
25,Austria,4235183,0,18599,0,4173311,0,43273,52,465233,2043,186421071,20478255,9103367
26,Belgium,4143408,0,31710,0,4001793,10913,109905,92,354598,2714,34011375,2910737,11684799
27,Israel,4123806,0,10833,0,4098862,0,14111,150,442184,1162,41373364,4436346,9326000
28,Portugal,4066674,0,22583,0,N/A,N/A,N/A,61,401028,2227,42298739,4171219,10140618
29,South Africa,3931534,0,100952,0,3739543,0,91039,192,64749,1663,25081137,413064,60719678
30,Czechia,3918537,408,40270,1,3876704,464,1563,7,364635,3747,55373597,5152725,10746468
31,Canada,3846998,0,40679,0,3516903,0,289416,370,100269,1060,61679093,1607625,38366593
32,Philippines,3689132,0,60455,0,3626406,0,2271,480,32841,538,30029881,267329,112333137
33,Chile,3647361,0,57810,0,3486653,0,102898,136,187758,2976,38123516,1962515,19425842
34,Switzerland,3642604,0,13934,0,3582765,3147,45905,71,415156,1588,20991820,2392488,8774054
35,Peru,3576042,0,213106,0,N/A,N/A,N/A,189,105680,6298,30448621,899822,33838508
36,Greece,3422233,0,29711,0,3346122,0,46400,151,331387,2877,81883919,7929103,10327009
37,Denmark,2979238,0,6312,0,2966417,543,6509,11,510958,1083,127377418,21846028,5830690
38,DPRK,2948900,134520,68,0,2548590,213680,400242,0,113454,3,0,0,25991994
39,Romania,2906285,0,65654,0,N/A,N/A,N/A,101,152998,3456,23065296,1214243,18995613
40,Sweden,2506607,0,18908,0,2480696,213,7003,7,245311,1850,18573144,1817672,10218095
41,Iraq,2327387,0,25218,0,2301061,0,1108,10,55513,601,18561155,442720,41925228
42,Serbia,2015382,0,16068,0,1992675,0,6639,8,232429,1853,9656839,1113697,8670976
43,Bangladesh,1953264,0,29130,0,1901157,0,22977,1259,11641,174,14090035,83976,167785477
44,Hungary,1914697,0,46446,0,1830803,0,37448,21,199156,4831,11394556,1185195,9614073
45,Slovakia,1788490,0,20081,0,1765105,0,3304,30,327285,3675,7138024,1306222,5464632
46,Jordan,1694216,0,14048,0,1678941,0,1227,124,162995,1352,16670254,1603793,10394269
47,Georgia,1655221,0,16811,0,1637293,0,1117,0,416437,4229,16920079,4256924,3974720
48,Ireland,1551835,0,7244,0,1525470,0,19121,28,307790,1437,12193391,2418429,5041865
49,Pakistan,1529896,62,30379,0,1496123,0,3394,78,6681,133,28475032,124354,228984435
50,Taiwan,1469019,82435,1478,42,200860,28325,1266681,0,61470,62,17371638,726904,23898113
51,Norway,1431697,0,3094,0,N/A,N/A,N/A,20,260250,562,11002430,1999994,5501232
52,Kazakhstan,1305701,4,13661,0,1291885,0,155,24,68003,711,11575012,602849,19200508
53,Singapore,1272386,0,1377,0,1193116,0,77893,4,214309,232,23877882,4021766,5937164
54,Hong Kong,1210586,0,9370,0,N/A,N/A,N/A,5,159042,1231,44972952,5908356,7611754
55,Morocco,1166716,0,16075,0,1149656,0,985,293,30918,426,11237010,297779,37736092
56,Bulgaria,1163706,0,37106,0,1044355,0,82245,41,169890,5417,9971266,1455706,6849781
57,Croatia,1134269,0,15968,0,1115682,0,2619,5,279548,3935,4859993,1197777,4057511
58,New Zealand,1113828,8511,1031,14,1059714,9931,53083,0,222672,206,7161742,1431747,5002100
59,Cuba,1105016,0,8529,0,1096163,0,324,23,97672,754,12920253,1142014,11313572
60,Lebanon,1098640,0,10418,0,1085901,0,2321,186,162334,1539,4795578,708589,6767784
61,Finland,1081225,0,4406,0,N/A,N/A,N/A,21,194571,793,10873312,1956701,5556961
62,Lithuania,1061549,0,9134,0,1035276,0,17139,11,400485,3446,9967630,3760432,2650661
63,Tunisia,1041789,0,28628,0,N/A,N/A,N/A,29,86441,2375,4607327,382288,12051975
64,Slovenia,1022600,0,6630,0,1009441,0,6529,7,491758,3188,2662274,1280261,2079477
65,Belarus,982867,0,6978,0,N/A,N/A,N/A,0,104079,739,13220483,1399962,9443459
66,Nepal,979076,0,11952,0,966991,0,133,0,32500,397,5687735,188801,30125552
67,Bolivia,907465,158,21945,0,866563,552,18957,220,75790,1833,2705422,225951,11973471
68,UAE,905151,0,2302,0,888939,0,13910,0,89478,228,160728161,15888685,10115888
69,Uruguay,902540,0,7213,0,892434,0,2893,18,258131,2063,6114822,1748868,3496446
70,Costa Rica,877533,0,8472,0,848035,0,21026,38,169346,1635,4487906,866074,5181896
71,Ecuador,874719,0,35617,0,N/A,N/A,N/A,759,48198,1963,2470170,136108,18148554
72,Guatemala,856576,0,17969,0,836034,0,2573,5,46199,969,4608728,248572,18540831
73,Panama,832045,0,8229,0,797202,0,26614,16,187274,1852,6140979,1382193,4442924
74,Latvia,827201,0,5815,0,818845,0,2541,7,447894,3149,7241076,3920733,1846868
75,Azerbaijan,792714,0,9710,0,782957,0,47,0,76876,942,6874348,666660,10311628
76,Saudi Arabia,763692,0,9131,0,748030,0,6531,73,21310,255,42358052,1181969,35836864
77,Sri Lanka,663765,0,16512,0,646939,0,314,0,30755,765,6486117,300524,21582665
78,Paraguay,650283,0,18885,0,624673,0,6725,4,89106,2588,2633737,360892,7297859
79,Kuwait,632781,0,2555,0,629695,0,531,4,144150,582,8098920,1844966,4389740
80,Myanmar,613227,0,19434,0,592189,0,1604,0,11130,353,8147519,147873,55098088
81,Palestine,582363,0,5356,0,576879,0,128,17,109361,1006,3078533,578115,5325126
82,Bahrain,581866,0,1483,0,576076,0,4307,5,320920,818,9819506,5415803,1813121
83,Dominican Republic,581464,0,4377,0,576408,0,679,1,52606,396,3324187,300745,11053183
84,Estonia,575046,0,2561,0,516588,0,55897,4,432945,1928,3357306,2527677,1328218
85,Venezuela,523377,0,5716,0,516556,0,1105,230,18504,202,3359014,118760,28283936
86,Moldova,517753,0,11503,0,504142,0,2108,49,128914,2864,3216305,800818,4016275
87,Egypt,515645,0,24613,0,442182,0,48850,122,4866,232,3693367,34851,105975920
88,Libya,501904,0,6430,0,490973,0,4501,101,71216,912,2477219,351498,7047599
89,Cyprus,477711,0,1032,0,124370,0,352309,60,390305,843,9477138,7743114,1223944
90,Ethiopia,471423,0,7512,0,455815,0,8096,10,3918,62,4871615,40484,120335347
91,Mongolia,469885,0,2179,0,313256,0,154450,192,139106,645,4030048,1193063,3377900
92,Honduras,424859,0,10896,0,132401,0,281562,105,41645,1068,1372779,134562,10201836
93,Armenia,422939,0,8624,0,412240,0,2075,0,142227,2900,3089295,1038875,2973693
94,Réunion,411363,0,770,0,403795,0,6798,10,453358,849,1603660,1767374,907369
95,Oman,389473,0,4260,0,384669,0,544,2,72777,796,25000000,4671488,5351614
96,Bosnia and Herzegovina,377745,0,15785,0,N/A,N/A,N/A,0,116504,4868,1772985,546825,3242324
97,Qatar,367272,0,677,0,365538,0,1057,0,130804,241,3514885,1251827,2807805
98,Kenya,324274,0,5651,0,318324,0,299,0,5790,101,3650765,65186,56005746
