Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
Moldova,516004,0,11477,0,502756,0,1771,46,128446,2857,3192777,794763,4017270
Egypt,511977,0,24522,0,442182,0,45273,122,4840,232,3693367,34919,105769940
Libya,501834,0,6429,0,490837,0,4568,101,71307,914,2475203,351709,7037641
Ethiopia,470165,0,7509,0,453609,0,9047,17,3917,63,4723274,39350,120030991
Mongolia,469307,41,2177,0,313256,0,153874,192,139166,646,4030048,1195055,3372270
Cyprus,464366,0,993,0,124370,0,339003,60,379691,812,9477138,7749034,1223009
Armenia,422729,8,8621,0,410420,27,3688,0,142184,2900,3011012,1012750,2973105
Honduras,421268,0,10888,0,131100,0,279280,105,41361,1069,1263329,124038,10185037
Oman,388795,0,4257,0,383851,0,687,6,72839,798,25000000,4683638,5337731
Bosnia and Herzegovina,376384,0,15748,0,192218,0,168418,0,116007,4854,1747819,538704,3244487
Qatar,363258,0,677,0,361425,0,1156,1,129374,241,3419780,1217955,2807805
Réunion,360445,0,731,0,342442,0,17272,10,397540,806,1603660,1768699,906689
Kenya,323595,0,5649,0,317801,0,145,0,5791,101,3560241,63713,55879244
Zambia,318229,0,3969,0,313277,0,983,1,16489,206,3393102,175808,19300016
North Macedonia,308294,0,9260,0,297922,0,1112,0,147989,4445,1990996,955729,2083222
Botswana,305859,0,2688,0,303026,0,145,1,125551,1103,2026898,832013,2436138
Albania,274376,0,3495,0,270510,0,371,2,95528,1217,1790270,623309,2872202
Algeria,265733,0,6874,0,178329,0,80530,6,5871,152,230861,5101,45260528
Nigeria,255646,0,3143,0,249842,0,2661,11,1188,15,4977858,23128,215231371
Zimbabwe,247208,0,5462,0,240819,0,927,12,16212,358,2224646,145897,15248107
Uzbekistan,238214,38,1637,0,236186,59,391,23,6938,48,1377915,40134,34332740
Montenegro,233980,0,2709,0,230805,0,466,6,372456,4312,2436085,3877832,628208
Luxembourg,227536,0,1053,0,212838,0,13645,3,353258,1635,4195400,6513514,644107
Mozambique,225314,0,2200,0,223060,0,54,13,6867,67,1305006,39770,32813472
Kyrgyzstan,200980,7,2991,0,196306,2,1683,131,29926,445,1907195,283986,6715807
Laos,199434,454,712,3,7660,0,191062,0,26721,95,1232128,165087,7463512
Iceland,183974,0,110,0,75685,0,108179,1,532971,319,1953616,5659604,345186
Afghanistan,178373,18,7676,0,161465,2,9232,1124,4406,190,933957,23067,40488599
Maldives,178313,0,298,0,163687,0,14328,25,319849,535,2213831,3971061,557491
China,174868,3486,4638,0,145352,1430,24878,76,121,3,160000000,111163,1439323776
Uganda,164035,0,3596,0,100200,0,60239,2,3395,74,2598861,53795,48310846
El Salvador,162089,0,4124,0,150662,0,7303,8,24767,630,1950448,298029,6544481
Ghana,161086,0,1445,0,159607,0,34,1,4998,45,2429358,75382,32227345
Namibia,158001,0,4022,0,153662,0,317,0,60241,1533,994079,379013,2622813
Martinique,147519,0,918,0,104,0,146497,8,393650,2450,828928,2211967,374747
