,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,510173095,209949,6246099,762,463510559,436799,40416437,42352,65450,801.3,0,0,0
1,USA,82733863,0,1018582,0,80506936,0,1208345,1415,247323,3045,1001145653,2992809,334517050
2,India,43062097,0,522223,0,42523311,0,16563,698,30659,372,835469014,594822,1404569267
3,Brazil,30355919,0,662777,0,29411813,0,281329,8318,140997,3078,63776166,296227,215295185
4,France,28317915,0,145257,0,26083264,0,2089394,1677,432104,2216,266484045,4066284,65535026
5,Germany,24227680,0,134817,0,21665200,240000,2427663,1980,287504,1600,122332384,1451689,84269009
6,UK,21978198,0,173693,0,20954780,0,849725,339,320701,2534,514985782,7514564,68531691
7,Russia,18151895,7107,375237,176,17495382,11899,281276,2300,124287,2569,273400000,1871990,146047759
8,S. Korea,17009865,80301,22325,82,N/A,N/A,N/A,613,331259,435,15804065,307777,51349072
9,Italy,16161339,0,162781,0,14755958,0,1242600,416,268012,2699,211830644,3512896,60300862
10,Turkey,15021151,0,98706,0,14888995,0,33450,975,174701,1148,158372522,1841923,85982165
11,Spain,11786036,0,103908,0,11261340,0,420788,339,251905,2221,471036328,10067554,46787566
12,Vietnam,10571772,0,43021,0,9092760,0,1435991,664,106867,435,85791014,867239,98924302
13,Argentina,9072230,0,128542,0,8895999,0,47689,372,197451,2798,35716069,777338,45946666
14,Netherlands,8042469,1896,22234,6,7731657,25013,288578,77,467490,1292,21107399,1226923,17203518
15,Japan,7688507,28495,29344,36,7223164,44416,435999,200,61129,233,46888808,372798,125775499
16,Iran,7218424,1307,141024,28,6972286,2816,105114,997,83994,1641,50914586,592448,85939287
17,Colombia,6091551,0,139780,0,5925040,0,26731,342,117451,2695,34388490,663041,51864812
18,Indonesia,6045043,576,156163,30,5879141,4058,9739,2771,21685,560,95155820,341354,278760259
19,Poland,5992820,1356,115977,29,5334451,71,542392,1588,158660,3070,36049225,954401,37771563
20,Australia,5756477,36350,7052,50,5353033,0,396392,141,221101,271,68924815,2647335,26035545
21,Mexico,5733925,140,324134,5,5034909,482,374882,4798,43642,2467,15767876,120012,131385329
22,Ukraine,4998517,0,108329,0,N/A,N/A,N/A,177,115551,2504,19521252,451274,43258121
