,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,514752212,185177,6266098,467,469434240,266474,39051874,40863,66038,803.9,0,0,0
1,USA,83240101,0,1021581,0,80795416,0,1423104,1591,248805,3054,1007292521,3010803,334559397
2,India,43088401,0,523920,0,42544689,0,19792,698,30671,373,838628250,596946,1404865590
3,Brazil,30482429,0,663765,0,29585304,0,233360,8318,141563,3083,63776166,296181,215328161
4,France,28757765,0,146262,0,27163793,0,1447710,1511,438794,2232,269816888,4116942,65538174
5,Germany,24949403,0,136183,0,22841300,182700,1971920,1446,296048,1616,122332384,1451588,84274849
6,UK,22073858,0,175319,0,21357447,0,541092,302,322061,2558,517337635,7548025,68539470
7,Russia,18206167,5093,376421,129,17569936,6664,259810,2300,124658,2577,273400000,1871973,146049122
8,S. Korea,17395791,49038,23079,72,N/A,N/A,N/A,432,338769,449,15804065,307771,51350034
9,Italy,16586268,0,163889,0,15222419,0,1199960,366,275067,2718,214594775,3558849,60298927
10,Turkey,15036110,0,98801,0,14932844,0,4465,975,174834,1149,159323561,1852557,86001990
11,Spain,11953481,0,104668,0,11446906,0,401907,339,255482,2237,471036328,10067469,46787961
12,Vietnam,10659358,0,43044,0,9267281,0,1349033,475,107732,435,85801758,867180,98943426
13,Argentina,9083673,0,128653,0,8895999,0,59021,372,197661,2799,35716069,777184,45955722
14,Netherlands,8053048,0,22262,0,7886439,0,144347,71,468082,1294,21107399,1226865,17204344
15,Japan,7952192,27062,29683,52,7551278,33437,371231,174,63230,236,49009025,389681,125767073
16,Iran,7223576,0,141131,0,6992001,0,90444,1062,84031,1642,50914586,592286,85962785
17,Colombia,6092667,0,139797,0,5926476,0,26394,342,117445,2695,34465052,664365,51876660
18,Australia,6076457,46578,7367,56,5699816,0,369274,142,233333,283,69630203,2673765,26042010
19,Indonesia,6047315,0,156305,0,5884059,0,6951,2771,21689,561,95739932,343371,278823441
20,Poland,5997998,173,116070,1,5334779,12,547149,1321,158800,3073,36120899,956322,37770661
21,Mexico,5740080,0,324350,0,5039624,0,376106,4798,43679,2468,15801675,120243,131414920
22,Ukraine,5002870,0,108411,0,N/A,N/A,N/A,177,115667,2506,19521252,451333,43252408
23,Malaysia,4451781,0,35564,0,4384384,0,31833,69,134390,1074,58847274,1776477,33125821
24,Thailand,4290824,9288,28863,82,4153310,19119,108651,1496,61192,412,17270775,246300,70120917
25,Austria,4161004,6760,18200,17,4070732,6978,72072,83,457225,2000,183522680,20166078,9100564
26,Israel,4082961,0,10699,0,4048807,0,23455,220,437804,1147,41373364,4436346,9326000
27,Belgium,4071279,0,31494,0,3839678,0,200107,131,348507,2696,33643042,2879892,11682049
28,Czechia,3909167,1372,40184,0,3856735,869,12248,32,363800,3740,55239501,5140765,10745386
29,Portugal,3853800,0,22280,0,N/A,N/A,N/A,61,379975,2197,41376874,4079660,10142236
30,South Africa,3802198,0,100377,0,3661635,0,40186,192,62661,1654,24527102,404212,60678820
31,Canada,3760414,0,39350,0,3464666,0,256398,468,98059,1026,61020893,1591219,38348530
32,Philippines,3686216,0,60412,0,3620659,0,5145,289,32838,538,29618635,263855,112253430
33,Switzerland,3619035,0,13865,0,3489351,0,115819,69,412633,1581,20851897,2377477,8770600
34,Peru,3567171,0,212877,0,N/A,N/A,N/A,295,105496,6296,29912021,884620,33813403
35,Chile,3563650,0,57544,0,3429109,0,76997,206,183534,2964,37105587,1910996,19416886
36,Greece,3335550,0,29249,0,3237163,0,69138,240,322906,2832,79994784,7744095,10329778
37,Denmark,2968301,0,6191,0,2946060,0,16050,8,509179,1062,127244848,21827451,5829579
38,Romania,2896843,831,65519,7,2606660,0,224664,179,152445,3448,22771264,1198324,19002587
39,Sweden,2500917,0,18739,0,2471212,511,10966,21,244836,1835,18513445,1812439,10214660
40,Iraq,2325287,0,25212,0,2298392,0,1683,12,55528,602,18485010,441425,41875787
41,Serbia,2007554,0,16007,0,1978619,0,12928,23,231475,1846,9504063,1095836,8672891
42,Bangladesh,1952733,0,29127,0,1896279,0,27327,1297,11644,174,13997272,83468,167695887
43,Hungary,1903200,0,46266,0,1808061,0,48873,40,197932,4812,11355462,1180965,9615407
44,Slovakia,1783353,746,19943,5,1748107,2076,15303,50,326353,3650,7104005,1300031,5464488
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163082,1352,16670254,1604647,10388738
46,Georgia,1655221,0,16811,0,1637293,0,1117,0,416393,4229,16920079,4256477,3975137
47,Pakistan,1528603,39,30372,0,1494141,0,4090,108,6682,133,28212367,123333,228749669
