,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,509662273,189345,6243713,769,462553362,504158,40865198,42407,65385,801.0,0,0,0
1,USA,82662748,0,1018335,0,80465351,0,1179062,1426,247115,3044,1000463737,2990818,334511757
2,India,43060086,0,522223,0,42521341,0,16522,698,30658,372,834717702,594303,1404532227
3,Brazil,30349463,0,662701,0,29384354,0,302408,8318,140969,3078,63776166,296232,215291063
4,France,28303931,0,145060,0,25880440,0,2278431,1677,431893,2213,266484045,4066309,65534632
5,Germany,24173897,33197,134683,37,21425200,182200,2614014,1980,286868,1598,122332384,1451701,84268279
6,UK,21933206,0,173352,0,20875063,92713,884791,339,320049,2530,514985782,7514671,68530719
7,Russia,18144788,7651,375061,159,17483483,8855,286244,2300,124239,2568,273400000,1871993,146047589
8,S. Korea,16929564,34370,22243,110,N/A,N/A,N/A,668,329696,433,15804065,307778,51348952
9,Italy,16136057,0,162688,0,14729220,0,1244149,416,267591,2698,211691841,3510580,60301104
10,Turkey,15018547,0,98691,0,14870422,0,49434,975,174676,1148,158238176,1840414,85979686
11,Spain,11786036,0,103908,0,11261340,0,420788,339,251906,2221,471036328,10067564,46787517
12,Vietnam,10563502,0,43013,0,9086075,0,1434414,612,106786,435,85789114,867241,98921912
13,Argentina,9060923,0,128344,0,8895999,0,36580,412,197210,2793,35716069,777357,45945534
14,Netherlands,8040607,1390,22227,6,7706644,63124,311736,78,467384,1292,21107399,1226931,17203414
15,Japan,7660012,38450,29308,24,7178748,43345,451956,191,60902,233,46754605,371728,125776552
16,Iran,7217117,1077,140996,21,6969470,2516,106651,1031,83982,1641,50862245,591859,85936350
17,Colombia,6091343,0,139778,0,5924745,0,26820,342,117450,2695,34371690,662736,51863331
18,Indonesia,6044467,317,156133,33,5875083,4664,13251,2771,21684,560,95024563,340892,278752361
19,Poland,5991464,267,115948,0,5334398,24,541118,1588,158623,3070,36032893,953966,37771676
20,Mexico,5733785,271,324129,12,5034427,535,375229,4798,43642,2467,15766174,120003,131381631
21,Australia,5719465,30088,7006,17,5313222,0,399237,132,219686,269,68886938,2645963,26034737
22,Ukraine,4997224,0,108306,0,N/A,N/A,N/A,177,115519,2504,19521252,451266,43258835
23,Malaysia,4431073,0,35499,0,4320822,0,74752,98,133806,1072,58381292,1762953,33115624
24,Thailand,4180868,14994,27902,124,3978469,23524,174497,1496,59627,398,17270775,246315,70116622
25,Austria,4108970,4111,18054,7,3998778,8918,92138,124,451570,1984,181910461,19991692,9099303
26,Israel,4057772,0,10670,0,4009152,0,37950,220,435103,1144,41373364,4436346,9326000
27,Belgium,4015791,0,31319,0,3739914,13457,244558,169,343794,2681,33456470,2864225,11680811
