,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,519779455,122668,6284636,225,474544417,135320,38950402,39185,66683,806.3,0,0,0
1,USA,84066379,0,1026109,0,81163689,0,1876581,1902,251239,3067,1015265120,3034201,334607037
2,India,43116600,0,524181,0,42570165,0,22254,698,30684,373,842458167,599529,1405198953
3,Brazil,30639130,0,664700,0,29703904,0,270526,8318,142266,3086,63776166,296130,215365259
4,France,29097570,0,147159,0,28017247,0,933164,1329,443955,2245,271490188,4142250,65541715
5,Germany,25665910,0,137628,0,23875700,71100,1652582,1279,304526,1633,122332384,1451475,84281420
6,UK,22159615,0,176708,0,21637872,0,345035,253,323270,2578,519264096,7575165,68548221
7,Russia,18245394,0,377359,0,17626344,0,241691,2300,124925,2584,273400000,1871953,146050656
8,S. Korea,17727086,32409,23606,52,N/A,N/A,N/A,347,345213,460,15804065,307765,51351115
9,Italy,16954784,0,164976,0,15771125,0,1018683,334,281189,2736,217129696,3601018,60296749
10,Turkey,15050227,0,98878,0,14947920,0,3429,975,174953,1149,160361145,1864138,86024294
11,Spain,12058888,0,105123,0,11522364,0,431401,339,257732,2247,471036328,10067373,46788405
12,Vietnam,10690471,0,43063,0,9334964,0,1312444,346,108023,435,85808648,867061,98964940
13,Argentina,9101319,0,128729,0,8895999,0,76591,372,198001,2801,35716069,777012,45965910
14,Japan,8260356,42378,29974,39,7890937,26178,339445,159,65685,238,50175204,398983,125757594
15,Netherlands,8065852,0,22292,0,7979514,0,64046,52,468801,1296,21107399,1226798,17205274
16,Iran,7227043,0,141201,0,7014783,0,71059,782,84046,1642,51622353,600335,85989220
17,Australia,6481374,32150,7715,47,6033554,0,440105,116,248812,296,70397694,2702481,26049283
18,Colombia,6095316,0,139821,0,5928829,0,26666,342,117466,2695,34675581,668252,51889988
19,Indonesia,6049876,0,156438,0,5888571,0,4867,2771,21692,561,96968564,347689,278894521
20,Poland,6002394,0,116175,0,5335046,0,551173,981,158921,3076,36198061,958390,37769645
21,Mexico,5745652,0,324465,0,5044893,0,376294,4798,43710,2468,15855490,120622,131448210
22,Ukraine,5006460,0,108449,0,N/A,N/A,N/A,177,115767,2508,19521252,451400,43245981
23,Malaysia,4470471,0,35602,0,4408043,0,26826,51,134913,1074,59150106,1785070,33136018
24,Thailand,4361016,7779,29370,56,4255785,9286,75861,1496,62189,419,17270775,246285,70125212
25,Austria,4200825,0,18291,0,4119090,0,63444,70,461537,2010,184765500,20299828,9101826
26,Belgium,4102082,0,31580,0,3926179,13928,144323,122,351107,2703,33779532,2891270,11683286
27,Israel,4102032,0,10749,0,4073486,0,17797,150,439849,1153,41373364,4436346,9326000
28,Portugal,3935932,0,22420,0,N/A,N/A,N/A,61,388101,2211,41753538,4117094,10141508
29,Czechia,3914707,0,40237,0,3867251,0,7219,13,364299,3744,55304968,5146624,10745873
30,South Africa,3871085,0,100630,0,3696731,0,73724,192,63777,1658,24804199,408655,60697206
31,Canada,3816490,0,40161,0,3495236,0,281093,423,99500,1047,61391416,1600541,38356658
32,Philippines,3687567,0,60452,0,3623938,0,3177,289,32840,538,29785678,265258,112289298
33,Switzerland,3631881,0,13882,0,3540271,7221,77728,78,414024,1583,20927607,2385686,8772154
34,Chile,3591097,0,57680,0,3458198,0,75219,177,184909,2970,37525296,1932210,19420916
35,Peru,3570801,0,212979,0,N/A,N/A,N/A,254,105568,6297,30134364,890898,33824700
36,Greece,3380594,0,29491,0,3294451,0,56652,180,327306,2855,81003093,7842653,10328532
37,Denmark,2975108,0,6271,0,2958066,0,10771,6,510303,1076,127324433,21839229,5830079
38,Romania,2901682,0,65595,0,N/A,N/A,N/A,151,152725,3452,22910784,1205866,18999449
39,Sweden,2504894,0,18864,0,2476511,0,9519,9,245188,1846,18553837,1816118,10216206
40,Iraq,2326162,0,25216,0,2299668,0,1278,14,55520,602,18517002,441954,41898035
41,Serbia,2011825,0,16042,0,1985614,0,10169,14,231990,1850,9579268,1104617,8672029
42,Bangladesh,1952939,0,29127,0,1898603,0,25209,1273,11643,174,14039668,83701,167736203
43,Hungary,1909948,0,46343,0,1821435,0,42170,29,198647,4820,11394556,1185105,9614807
44,Slovakia,1786328,0,20011,0,1759085,0,7232,30,326894,3662,7122263,1303357,5464552
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163043,1352,16670254,1604262,10391227
46,Georgia,1655221,0,16811,0,1637293,0,1117,0,416413,4229,16920079,4256677,3974950
47,Ireland,1532771,0,7176,0,1493729,0,31866,28,304109,1424,12138572,2408347,5040208
48,Pakistan,1529080,93,30376,0,1494141,0,4563,115,6681,133,28316825,123732,228855314
49,Norway,1429353,0,3061,0,N/A,N/A,N/A,20,259884,557,11002430,2000456,5499960
50,Kazakhstan,1305620,0,13661,0,1291388,0,571,24,68023,712,11575012,603061,19193760
51,Singapore,1232559,0,1361,0,1155970,0,75228,7,207649,229,23767171,4004050,5935783
52,Hong Kong,1207665,0,9356,0,N/A,N/A,N/A,5,158696,1229,44972952,5909774,7609928
53,Morocco,1165552,0,16071,0,1148964,0,517,293,30898,426,11237010,297883,37722947
54,Bulgaria,1161038,0,37035,0,1006669,0,117334,62,169461,5406,9915433,1447225,6851344
55,Croatia,1129836,0,15912,0,1109143,0,4781,17,278403,3921,4828304,1189745,4058268
56,Cuba,1104316,0,8529,0,1095271,0,516,23,97608,754,12920253,1141993,11313779
57,Lebanon,1097800,0,10404,0,1084400,0,2996,186,162188,1537,4795578,708493,6768698
58,Finland,1069740,0,4284,0,N/A,N/A,N/A,21,192513,771,10832080,1949372,5556703
59,Lithuania,1060277,0,9127,0,1031608,0,19542,12,399834,3442,9953263,3753407,2651794
60,Tunisia,1041197,0,28575,0,N/A,N/A,N/A,29,86419,2372,4592916,381210,12048261
61,New Zealand,1030733,7528,892,29,976483,7404,53358,0,206060,178,7123862,1424174,5002100
62,Slovenia,1018298,0,6617,0,1001298,0,10383,15,489691,3182,2655353,1276938,2079469
63,Belarus,982867,0,6978,0,N/A,N/A,N/A,0,104078,739,13220483,1399948,9443552
64,Nepal,978982,0,11952,0,966857,0,173,0,32514,397,5664774,188137,30109781
65,Bolivia,905820,0,21926,0,863013,0,20881,220,75683,1832,2705422,226042,11968684
66,Uruguay,902540,0,7213,0,892434,0,2893,18,258157,2063,6114822,1749048,3496085
67,UAE,901440,0,2302,0,885287,0,13851,0,89143,228,158453134,15669351,10112297
68,Ecuador,871046,0,35602,0,N/A,N/A,N/A,759,48017,1963,2470170,136169,18140497
69,Costa Rica,866164,0,8444,0,841683,0,16037,48,167197,1630,4401922,849710,5180499
70,Guatemala,851215,0,17772,0,831162,0,2281,5,45935,959,4534174,244682,18530857
71,Latvia,825470,0,5796,0,815843,0,3831,9,446806,3137,7214910,3905248,1847491
72,Panama,799975,0,8199,0,770363,0,21413,16,180139,1846,5991973,1349276,4440881
73,Azerbaijan,792638,0,9709,0,782869,0,60,0,76889,942,6838458,663356,10308884
74,Saudi Arabia,757802,0,9110,0,743099,0,5593,56,21156,254,42072272,1174529,35820558
75,Sri Lanka,663632,0,16510,0,646154,0,968,0,30752,765,6486117,300562,21579973
76,Paraguay,649718,0,18872,0,624673,0,6173,2,89061,2587,2633737,361022,7295226
77,Kuwait,632074,0,2555,0,629114,0,405,3,144051,582,8071763,1839575,4387841
78,Myanmar,613088,0,19434,0,592012,0,1642,0,11129,353,8058361,146284,55087143
79,Palestine,582119,0,5353,0,576684,0,82,17,109389,1006,3078533,578503,5321553
80,Dominican Republic,580201,0,4376,0,575302,0,523,1,52507,396,3300974,298733,11049916
81,Bahrain,575762,0,1479,0,568696,0,5587,3,317866,817,9772208,5395034,1811334
82,Estonia,573922,0,2556,0,514836,0,56530,3,432108,1924,3345340,2518717,1328192
83,Taiwan,570870,0,968,0,46143,0,523759,0,23889,41,15820952,662053,23896821
84,Venezuela,522840,0,5710,0,516065,0,1065,230,18484,202,3359014,118750,28286347
85,Moldova,516986,0,11489,0,504142,0,1355,49,128714,2860,3216305,800762,4016555
86,Egypt,515645,0,24613,0,442182,0,48850,122,4868,232,3693367,34870,105917823
87,Libya,501904,0,6430,0,490973,0,4501,101,71245,913,2477219,351638,7044790
88,Cyprus,477711,0,1032,0,124370,0,352309,60,390389,843,9477138,7744785,1223680
89,Ethiopia,470851,0,7510,0,455752,0,7589,4,3916,62,4827546,40146,120249503
90,Mongolia,469885,0,2179,0,313256,0,154450,192,139171,645,4030048,1193624,3376312
91,Honduras,424390,0,10896,0,132358,0,281136,105,41619,1069,1365056,133867,10197097
92,Armenia,422896,0,8623,0,412048,0,2225,0,142220,2900,3068217,1031844,2973527
93,Réunion,405980,0,762,0,395430,0,9788,10,447520,840,1603660,1767748,907177
94,Oman,389370,0,4259,0,384543,0,568,3,72811,796,25000000,4674909,5347698
95,Bosnia and Herzegovina,377475,0,15775,0,N/A,N/A,N/A,0,116399,4864,1766618,544759,3242934
96,Qatar,365815,0,677,0,364125,0,1013,2,130285,241,3477744,1238599,2807805
97,Kenya,323952,0,5649,0,318116,0,187,2,5788,101,3625373,64773,55970065
98,Zambia,320412,0,3983,0,315819,0,610,1,16568,206,3448437,178310,19339556
99,North Macedonia,310595,0,9287,0,300675,0,633,0,149094,4458,2033385,976080,2083215
100,Botswana,306324,0,2690,0,303026,0,608,1,125554,1103,2026898,830772,2439777
101,Albania,275485,0,3497,0,271781,0,207,2,95922,1218,1815813,632255,2871962
102,Algeria,265808,0,6875,0,178371,0,80562,6,5865,152,230861,5094,45321185
103,Nigeria,255836,0,3143,0,249936,0,2757,11,1186,15,5114703,23721,215623420
