,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,521013465,179664,6287995,330,475417420,151012,39308050,39072,66841,806.7,0,0,0
1,USA,84209473,0,1026646,0,81244260,0,1938567,1941,251659,3068,1016882505,3038939,334617623
2,India,43121599,0,524214,0,42579693,0,17692,698,30686,373,843836914,600479,1405273033
3,Brazil,30682094,0,664920,0,29718402,0,298772,8318,142460,3087,63776166,296119,215373503
4,France,29160802,0,147257,0,28156674,0,856871,1329,444914,2247,271490188,4142201,65542502
5,Germany,25774509,0,137907,0,23956700,31300,1679902,1279,305810,1636,122332384,1451450,84282880
6,UK,22159805,0,176708,0,21677896,20126,305201,253,323264,2578,519264096,7574950,68550166
7,Russia,18260293,4956,377670,99,17647179,6200,235444,2300,125027,2586,273400000,1871949,146050996
8,S. Korea,17782061,25434,23709,48,N/A,N/A,N/A,338,346282,462,15804065,307763,51351355
9,Italy,17030147,0,165182,0,15864177,0,1000788,340,282441,2740,217659090,3609827,60296265
10,Turkey,15053168,0,98890,0,14951238,0,3040,975,174977,1149,160622710,1867071,86029250
11,Spain,12127122,0,105444,0,11548089,0,473589,339,259190,2254,471036328,10067352,46788503
12,Vietnam,10696630,1594,43065,0,9355040,5448,1298525,340,108080,435,85811485,867048,98969721
13,Argentina,9101319,0,128729,0,8895999,0,76591,372,197992,2800,35716069,776974,45968174
14,Japan,8338211,38627,30039,34,7951587,26801,356585,139,66305,239,50444181,401129,125755488
15,Netherlands,8067116,0,22292,0,7989151,4694,55673,55,468869,1296,21107399,1226784,17205480
16,Iran,7228051,368,141224,8,7020835,1967,65992,737,84052,1642,51771715,602031,85995095
17,Australia,6572913,20840,7788,19,6121919,0,443206,127,252310,299,70869441,2720422,26050899
18,Colombia,6095316,0,139821,0,5928829,0,26666,342,117459,2694,34675581,668214,51892950
19,Indonesia,6050776,257,156458,5,5889534,293,4784,2771,21694,561,97245391,348662,278910317
20,Poland,6003436,139,116207,0,5335112,12,552117,981,158950,3077,36224215,959088,37769420
21,Mexico,5745652,0,324465,0,5044893,0,376294,4798,43708,2468,15855490,120615,131455607
22,Ukraine,5006460,0,108449,0,N/A,N/A,N/A,177,115771,2508,19521252,451415,43244553
23,Malaysia,4475873,0,35612,0,4409159,0,31102,47,135067,1075,59274648,1788706,33138284
24,Thailand,4373846,6094,29475,51,4273599,8601,70772,1496,62371,420,17270775,246281,70126166
25,Austria,4212492,3335,18303,0,4135885,4886,58304,58,462804,2011,185034905,20328801,9102106
26,Belgium,4116397,0,31613,0,3941350,6222,143434,117,352324,2706,33846023,2896893,11683561
27,Israel,4105369,0,10749,0,4077746,0,16874,150,440207,1153,41373364,4436346,9326000
28,Portugal,4066674,0,22583,0,N/A,N/A,N/A,61,400999,2227,41903714,4131968,10141346
29,Czechia,3915847,143,40245,0,3871654,1154,3948,14,364401,3745,55323981,5148342,10745981
30,South Africa,3887449,0,100753,0,3708347,0,78349,192,64042,1660,24841314,409239,60701292
31,Canada,3821346,0,40228,0,3499564,0,281554,423,99622,1049,61436458,1601640,38358465
32,Philippines,3687922,0,60455,0,3624459,0,3008,289,32841,538,29827732,265614,112297269
33,Switzerland,3631881,0,13882,0,3551493,5604,66506,78,414008,1582,20927607,2385592,8772500
34,Chile,3600896,0,57714,0,3464708,0,78474,163,185405,2972,37637293,1937888,19421812
35,Peru,3571919,0,213023,0,N/A,N/A,N/A,248,105593,6297,30226868,893567,33827210
36,Greece,3389306,0,29536,0,3301767,0,58003,173,328159,2860,81185725,7860546,10328255
37,Denmark,2976667,452,6287,2,2960386,617,9994,12,510561,1078,127345763,21842472,5830190
38,Romania,2903072,282,65612,6,N/A,N/A,N/A,138,152803,3453,22954921,1208233,18998751
39,Sweden,2504894,0,18864,0,2477725,1214,8305,9,245180,1846,18553837,1816057,10216549
40,Iraq,2326458,102,25216,0,2299985,102,1257,10,55520,602,18529376,442197,41902979
41,Serbia,2012597,0,16046,0,1987289,0,9262,15,232084,1850,9592417,1106157,8671838
