,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,514034915,173854,6263604,486,468818298,512293,38953013,40843,65946,803.6,0,0,0
1,USA,83170407,0,1021089,0,80757424,0,1391894,1550,248601,3052,1006269592,3007793,334554103
2,India,43085166,0,523889,0,42541887,0,19390,698,30669,373,838628250,596961,1404828550
3,Brazil,30460997,0,663657,0,29554308,0,243032,8318,141466,3082,63776166,296187,215324039
4,France,28690748,0,146142,0,27163913,146246,1380693,1511,437774,2230,269816888,4116967,65537780
5,Germany,24791190,0,135947,0,22658600,189400,1996643,1446,294173,1613,122332384,1451601,84274119
6,UK,22038340,0,174912,0,21313159,49031,550269,302,321547,2552,517337635,7548132,68538498
7,Russia,18201074,5466,376292,125,17563272,7052,261510,2300,124623,2576,273400000,1871975,146048952
8,S. Korea,17346753,51020,23007,49,N/A,N/A,N/A,417,337815,448,15804065,307772,51349914
9,Italy,16523859,0,163736,0,15155021,0,1205102,368,274031,2715,214183728,3552018,60299169
10,Turkey,15034917,0,98791,0,14931490,0,4636,975,174826,1149,159230999,1851534,85999512
11,Spain,11896152,0,104456,0,11389694,0,402002,339,254257,2233,471036328,10067479,46787912
12,Vietnam,10656649,0,43044,0,9265456,0,1348149,475,107707,435,85800783,867191,98941036
13,Argentina,9083673,0,128653,0,8895999,0,59021,372,197666,2800,35716069,777204,45954590
14,Netherlands,8051301,0,22256,0,7875672,0,153373,70,467984,1294,21107399,1226872,17204241
15,Japan,7925130,23197,29631,30,7517841,38420,377658,160,63014,236,48945912,389176,125768126
16,Iran,7223576,571,141131,17,6992001,2643,90444,1062,84034,1642,50914586,592307,85959848
17,Colombia,6092667,0,139797,0,5926476,0,26394,342,117449,2695,34465052,664384,51875179
18,Indonesia,6047315,107,156305,18,5884059,395,6951,2771,21689,561,95739932,343381,278815543
19,Australia,6029879,37731,7310,40,5658513,0,364056,143,231551,281,69540042,2670385,26041202
20,Poland,5997825,890,116069,14,5334769,33,546987,1321,158795,3073,36116043,956190,37770774
21,Mexico,5740080,0,324350,0,5039624,0,376106,4798,43680,2468,15801675,120246,131411221
22,Ukraine,5002870,0,108411,0,N/A,N/A,N/A,177,115665,2506,19521252,451326,43253122
23,Malaysia,4450859,0,35555,0,4378864,0,36440,66,134367,1073,58808233,1775360,33124688
24,Thailand,4281536,9721,28781,77,4134191,20145,118564,1496,61060,410,17270775,246302,70120440
25,Austria,4154244,5240,18183,13,4063754,8028,72307,80,456489,1998,183321889,20144324,9100424
26,Israel,4080487,0,10698,0,4048807,0,20982,220,437539,1147,41373364,4436346,9326000
27,Belgium,4071279,0,31494,0,3839733,20124,200052,131,348511,2696,33643042,2879926,11681911
28,Czechia,3907793,1680,40175,2,3855944,1966,11674,30,363674,3739,55226142,5139548,10745331
29,Portugal,3853800,0,22280,0,N/A,N/A,N/A,61,379972,2197,41336850,4075681,10142317
30,South Africa,3798413,0,100370,0,3651665,0,46378,192,62601,1654,24505584,403871,60676777
31,Canada,3756272,0,39292,0,3459763,0,257217,468,97953,1025,60943345,1589234,38347627
32,Philippines,3686082,0,60410,0,3620369,0,5303,289,32838,538,29599478,263694,112249444
33,Switzerland,3602489,0,13859,0,3485200,8164,103430,87,410754,1580,20767523,2367903,8770428
34,Peru,3566523,0,212865,0,N/A,N/A,N/A,293,105481,6296,29886697,883904,33812147
35,Chile,3562521,0,57541,0,3424634,0,80346,209,183480,2964,37084042,1909930,19416438
36,Greece,3331288,0,29205,0,3230438,0,71645,235,322489,2827,79941425,7738826,10329916
37,Denmark,2968301,913,6191,8,2946068,1689,16042,8,509184,1062,127244848,21827660,5829523
38,Romania,2896012,1116,65510,14,2606660,0,223842,193,152398,3447,22750156,1197192,19002936
39,Sweden,2500917,0,18739,0,2470701,0,11477,21,244840,1835,18513445,1812469,10214488
40,Iraq,2325247,0,25211,0,2298174,0,1862,15,55531,602,18482865,441400,41873314
