,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,504529935,325684,6222531,960,455318453,459194,42988951,42279,64726,798.3,0,0,0
1,USA,82309113,0,1015441,0,80166281,0,1127391,1487,246089,3036,995745283,2977089,334469410
2,India,43042097,0,521781,0,42508788,0,11528,698,30652,372,794525202,565806,1404235905
3,Brazil,30250077,0,661993,0,29206243,0,381841,8318,140529,3075,63776166,296278,215258087
4,France,27684374,0,144122,0,24885451,0,2654801,1541,422459,2199,260504402,3975256,65531484
5,Germany,23436630,25053,133426,11,19880300,77600,3422904,1980,278139,1583,122332384,1451802,84262438
6,UK,21747638,0,171396,0,20197124,80989,1379118,355,317377,2501,512140269,7473997,68522940
7,Russia,18074717,10263,373500,233,17376141,16496,325076,2300,123760,2557,273400000,1872010,146046225
8,S. Korea,16305752,93001,21092,203,N/A,N/A,N/A,893,317554,411,15804065,307784,51347991
9,Italy,15712088,51993,161687,85,14324363,47468,1226038,403,260552,2681,209170287,3468652,60303040
10,Turkey,14991669,0,98551,0,14733310,0,159808,975,174403,1146,157030896,1826793,85959861
11,Spain,11662214,0,103266,0,11120708,0,438240,368,249261,2207,471036328,10067649,46787123
12,Vietnam,10432547,14660,42944,10,8936846,5472,1452757,1070,105483,434,85684619,866352,98902788
13,Argentina,9060495,0,128344,0,8895999,0,36152,412,197240,2794,35716069,777510,45936477
14,Netherlands,8015576,0,22156,0,7358746,53667,634674,113,465952,1288,21107399,1226990,17202588
15,Japan,7334352,47009,28992,47,6785578,47406,519782,219,58309,230,45641286,362852,125784977
16,Iran,7206959,1895,140829,29,6945844,3624,120286,1361,83887,1639,50079995,582916,85912851
17,Colombia,6089540,0,139745,0,5922819,0,26976,342,117442,2695,34242271,660391,51851484
18,Indonesia,6039873,607,155866,22,5825729,2782,58278,2771,21672,559,94034583,337417,278689179
19,Poland,5985251,312,115838,0,5334092,35,535321,268,158455,3067,35943869,951586,37772579
20,Mexico,5726668,1192,323938,35,5027753,898,374977,4798,43598,2466,15705584,119569,131352040
21,Australia,5384444,32527,6779,17,4927072,0,450593,137,206869,260,68294876,2623873,26028272
22,Ukraine,4990465,0,108220,0,N/A,N/A,N/A,177,115348,2501,19521252,451207,43264548
23,Malaysia,4382402,0,35409,0,4238471,0,108522,134,132373,1070,57867837,1747927,33106560
24,Austria,4053217,7408,16420,13,3904290,13571,132507,161,445497,1805,180578162,19847719,9098182
25,Thailand,4029959,17775,26885,128,3788523,24545,214551,1496,57478,383,17270775,246328,70112805
26,Israel,4028450,0,10612,0,3941841,0,75997,220,431959,1138,41373364,4436346,9326000
27,Belgium,3972963,0,31165,0,3652619,13820,289179,181,340159,2668,33313880,2852286,11679711
28,Czechia,3881644,1084,39980,5,3813488,5174,28176,57,361269,3721,55019787,5120756,10744465
29,South Africa,3740398,0,100144,0,3627200,0,13054,175,61678,1651,24179126,398705,60644090
30,Portugal,3719485,0,21993,0,N/A,N/A,N/A,61,366683,2168,40678788,4010287,10143611
31,Philippines,3683042,195,59969,5,3602035,1302,21038,289,32830,535,29273313,260936,112185678
32,Canada,3632318,0,38311,0,3373544,0,220463,407,94757,999,60149136,1569114,38333176
33,Peru,3555139,0,212619,0,N/A,N/A,N/A,370,105206,6292,29380269,869443,33792063
34,Switzerland,3551790,0,13793,0,3226792,30986,311205,103,405101,1573,20548491,2343667,8767665
35,Chile,3528626,0,57231,0,3296948,0,174447,346,181801,2949,36365786,1873629,19409273
36,Greece,3232496,0,28537,0,3067647,0,136312,322,312859,2762,77812113,7531081,10332131
37,Denmark,2949407,1497,5997,12,2913443,1944,29967,16,506020,1029,127063375,21799855,5828634
38,Romania,2881904,582,65337,4,2606660,0,209907,243,151611,3437,22476282,1182432,19008515
39,Sweden,2495996,0,18572,0,2457093,1864,20331,24,244424,1819,18471631,1808862,10211740
40,Iraq,2323132,92,25198,0,2292803,546,5131,33,55532,602,18425546,440447,41833761
41,Serbia,1995986,635,15927,4,1958729,1885,21330,22,230098,1836,9373088,1080531,8674518
42,Bangladesh,1952326,51,29124,0,1890842,326,32360,1283,11647,174,13925448,83078,167619735
43,Hungary,1879480,0,45865,0,1748707,0,84908,50,195442,4769,11244573,1169295,9616542
44,Slovakia,1763995,798,19741,20,1705766,3234,38488,109,322818,3613,7016700,1284083,5464365
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163156,1353,16670254,1605373,10384037
46,Georgia,1653044,115,16792,3,1633956,272,2296,0,415809,4224,16701649,4201154,3975491
47,Pakistan,1527248,97,30363,0,1493606,2659,3279,213,6682,133,27903660,122090,228550118
48,Ireland,1498834,0,6932,0,1369367,5628,122535,45,297607,1376,11971043,2376956,5036292
49,Norway,1419507,0,2783,0,N/A,N/A,N/A,20,258235,506,11002430,2001551,5496953
50,Kazakhstan,1305375,0,13660,0,1290790,0,925,24,68067,712,11575012,603563,19177809
51,Hong Kong,1197825,747,9139,29,N/A,N/A,N/A,115,157492,1202,44972952,5913127,7605613
52,Morocco,1164345,0,16062,0,1147643,0,640,293,30891,426,11237010,298128,37691877
53,Singapore,1157251,0,1313,0,1090358,0,65580,8,195069,221,23611604,3980030,5932519
54,Bulgaria,1149225,0,36782,0,948501,0,163942,118,167647,5366,9746014,1421730,6855039
55,Croatia,1113517,382,15735,10,1093037,858,4745,24,274261,3876,4743065,1168226,4060056
56,Cuba,1099736,292,8520,0,1089405,415,1811,23,97199,753,12920253,1141943,11314268
57,Lebanon,1095518,0,10358,0,1076531,0,8629,186,161799,1530,4795578,708267,6770859
58,Lithuania,1049383,673,9018,4,1005840,663,34525,49,395326,3397,8180899,3081931,2654472
59,Tunisia,1038668,0,28509,0,N/A,N/A,N/A,29,86272,2368,4547755,377737,12039481
60,Slovenia,997395,561,6557,1,968074,937,22764,30,479644,3153,2633902,1266635,2079448
61,Nepal,978665,11,11951,0,966339,36,375,0,32544,397,5596515,186101,30072505
62,Belarus,974478,432,6901,2,928536,0,39041,0,103187,731,13036344,1380417,9443772
63,Finland,949583,0,3517,0,46000,0,900066,29,170908,633,10591416,1906270,5556093
64,Bolivia,903888,60,21903,0,852216,502,29769,220,75593,1832,2688875,224872,11957371
65,Uruguay,895592,0,7193,0,886330,0,2069,17,256232,2058,6089116,1742121,3495232
66,UAE,895465,201,2302,0,877278,385,15885,0,88626,228,152466979,15090048,10103810
67,Ecuador,865585,0,35513,0,N/A,N/A,N/A,759,47766,1960,2470170,136312,18121455
68,Costa Rica,844892,0,8357,0,825599,0,10936,44,163195,1614,4163300,804161,5177198
69,Guatemala,837492,0,17427,0,816834,0,3231,5,45252,942,4351661,235132,18507281
70,New Zealand,824867,5985,554,11,766781,6756,57532,0,164904,111,6969880,1393391,5002100
71,Latvia,813176,299,5715,1,796906,529,10555,11,439801,3091,7126882,3854531,1848962
72,Azerbaijan,792362,13,9706,1,782516,10,140,0,76910,942,6769897,657119,10302398
73,Panama,768594,0,8178,0,757947,0,2469,9,173261,1844,5786353,1304392,4436053
74,Saudi Arabia,752572,93,9069,1,739037,257,4466,57,21032,253,41747395,1166714,35782016
75,Sri Lanka,662827,0,16495,0,642550,0,3782,0,30724,765,6477329,300243,21573610
76,Paraguay,648446,0,18734,0,624673,0,5039,3,88962,2570,2615453,358822,7289004
77,Kuwait,630888,0,2555,0,627278,0,1055,4,143928,583,7976136,1819643,4383352
78,Myanmar,612545,0,19434,0,591304,0,1807,0,11125,353,7823103,142080,55061274
79,Palestine,581678,0,5352,0,575613,0,713,17,109480,1007,3078533,579422,5313106
80,Dominican Republic,578733,0,4375,0,574240,0,118,16,52411,396,3254321,294717,11042194
81,Estonia,567463,281,2516,5,501929,376,63018,3,427265,1894,3293410,2479738,1328128
82,Bahrain,562759,0,1473,0,557318,0,3968,3,311414,815,9672860,5352674,1807108
83,Venezuela,522034,0,5701,0,514685,0,1648,230,18452,202,3359014,118726,28292046
84,Moldova,516316,0,11481,0,503156,0,1679,20,128526,2858,3202186,797115,4017219
85,Egypt,511977,0,24522,0,442182,0,45273,122,4840,232,3693367,34915,105780503
86,Libya,501862,0,6429,0,490900,0,4533,101,71306,913,2476960,351933,7038151
87,Ethiopia,470259,0,7509,0,453628,0,9122,20,3917,63,4733549,39431,120046599
88,Mongolia,469353,23,2177,0,313256,0,153920,192,139168,646,4030048,1194953,3372559
89,Cyprus,464366,0,993,0,124370,0,339003,60,379676,812,9477138,7748730,1223057
90,Armenia,422762,15,8621,0,410448,14,3693,0,142194,2900,3013643,1013625,2973135
91,Honduras,421268,0,10888,0,131100,0,279280,105,41358,1069,1263329,124027,10185898
92,Oman,388865,22,4257,0,383945,94,663,6,72842,797,25000000,4683013,5338443
93,Bosnia and Herzegovina,376437,0,15749,0,192218,0,168470,0,116028,4854,1748585,538959,3244376
94,Qatar,363443,0,677,0,361719,0,1047,1,129440,241,3421141,1218440,2807805
95,Réunion,360445,0,731,0,342442,0,17272,10,397524,806,1603660,1768631,906724
96,Kenya,323609,0,5649,0,317811,0,149,0,5791,101,3565081,63792,55885731
97,Zambia,318467,0,3973,0,313553,0,941,0,16498,206,3398200,176047,19302840
98,North Macedonia,308516,0,9261,0,298251,0,1004,0,148096,4446,1994836,957573,2083221
99,Botswana,305859,0,2688,0,303026,0,145,1,125537,1103,2026898,831924,2436398
100,Albania,274462,0,3496,0,270608,0,358,2,95559,1217,1791981,623909,2872185
101,Algeria,265739,0,6874,0,178332,0,80533,6,5871,152,230861,5100,45264861
102,Nigeria,255648,0,3143,0,249847,0,2658,11,1188,15,4977858,23125,215259375
103,Zimbabwe,247261,0,5462,0,240923,0,876,12,16215,358,2227364,146063,15249290
104,Uzbekistan,238288,36,1637,0,236275,47,376,23,6940,48,1377915,40131,34335392
105,Montenegro,234137,0,2709,0,230861,0,567,6,372706,4312,2438028,3880925,628208
106,Luxembourg,229311,0,1054,0,214556,0,13701,4,355983,1636,4200517,6520891,644163
107,Mozambique,225323,0,2200,0,223071,0,52,13,6866,67,1306062,39797,32818276
108,Kyrgyzstan,200980,0,2991,0,196324,18,1665,131,29924,445,1907195,283961,6716396
109,Laos,200190,322,718,4,7660,0,191812,0,26820,96,1232128,165074,7464089
110,Iceland,183974,0,110,0,75685,0,108179,1,532952,319,1953616,5659407,345198
111,China,182293,3529,4638,0,149770,1600,27885,78,127,3,160000000,111163,1439323776
112,Afghanistan,178418,31,7678,2,161517,43,9223,1124,4406,190,935313,23098,40493402
113,Maldives,178313,0,298,0,163687,0,14328,25,319819,534,2213831,3970691,557543
114,Uganda,164051,0,3596,0,100205,0,60250,2,3395,74,2605320,53919,48318778
115,El Salvador,162089,0,4125,0,150662,0,7302,8,24767,630,1950448,298021,6544659
116,Ghana,161101,0,1445,0,159624,0,32,1,4998,45,2430490,75409,32230896
117,Namibia,158074,0,4022,0,153662,0,390,0,60263,1533,996110,379750,2623065
118,Martinique,147519,0,918,0,104,0,146497,8,393652,2450,828928,2211979,374745
119,Trinidad and Tobago,142076,0,3800,0,131870,0,6406,18,100936,2700,688829,489370,1407582
120,Guadeloupe,140130,0,854,0,2250,0,137026,19,350110,2134,938039,2343656,400246
121,Brunei,140023,176,218,1,138403,236,1402,2,314687,490,717784,1613143,444960
122,Cambodia,136060,16,3055,0,132769,18,236,0,7942,178,2942234,171737,17132162
123,Rwanda,129756,0,1458,0,45522,0,82776,1,9594,108,5188208,383592,13525319
124,Jamaica,129203,0,2926,0,82455,0,43822,0,43295,980,964286,323125,2984252
125,Cameroon,119780,0,1927,0,117791,0,62,13,4320,70,1751774,63183,27725347
126,Angola,99194,0,1900,0,97149,0,145,0,2859,55,1499795,43233,34690696
127,Malta,88558,0,673,0,79743,0,8142,4,199615,1517,1855198,4181736,443643
128,DRC,87023,0,1337,0,50930,0,34756,0,922,14,846704,8967,94420493
129,Senegal,85968,1,1965,0,83981,2,22,1,4904,112,1059624,60441,17531477
130,Malawi,85727,0,2631,0,81915,0,1181,67,4284,131,568690,28417,20012269
131,Ivory Coast,81857,0,797,0,81023,0,37,0,2972,29,1488217,54030,27544224
132,French Guiana,80035,0,394,0,11254,0,68387,2,256112,1261,618263,1978442,312500
133,Suriname,79276,0,1325,0,49395,0,28556,0,133009,2223,235707,395468,596020
134,French Polynesia,72596,0,648,0,N/A,N/A,N/A,7,255793,2283,0,0,283808
135,Channel Islands,72328,0,165,0,70327,0,1836,0,409269,934,1252808,7089025,176725
136,Eswatini,70098,0,1395,0,68643,0,60,11,59324,1181,1009482,854322,1181618
