,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,507127164,321847,6232964,1081,459568539,611982,41325661,41948,65060,799.6,0,0,0
1,USA,82488517,0,1017093,0,80309804,0,1161620,1514,246609,3041,1039876908,3108838,334490583
2,India,43049974,0,522062,0,42514479,0,13433,698,30654,372,833377052,593411,1404384066
3,Brazil,30311969,0,662470,0,29340802,0,308697,8318,140806,3077,63776166,296255,215274575
4,France,27972010,0,144614,0,25618858,148402,2208538,1677,426838,2207,266484045,4066406,65533058
5,Germany,23775588,0,133894,0,20853100,243700,2788594,1980,282151,1589,122332384,1451752,84265358
6,UK,21890037,0,172386,0,20581202,0,1136449,336,319437,2516,514189111,7503471,68526830
7,Russia,18110861,8875,374368,197,17437610,14182,298883,2300,124007,2563,273400000,1872001,146046907
8,S. Korea,16674045,90825,21667,147,N/A,N/A,N/A,846,324723,422,15804065,307781,51348472
9,Italy,15858442,0,162098,0,14489444,0,1206900,413,262983,2688,210060724,3483474,60302072
10,Turkey,15007364,0,98628,0,14798294,0,110442,975,174566,1147,157670085,1834018,85969774
11,Spain,11736893,0,103721,0,11220981,0,412191,345,250856,2217,471036328,10067607,46787320
12,Vietnam,10502590,0,42982,0,9068234,0,1391374,896,106181,435,85724870,866675,98912350
13,Argentina,9060923,0,128344,0,8895999,0,36580,412,197230,2794,35716069,777433,45941005
14,Netherlands,8032986,3008,22197,18,7561673,40523,449116,96,466953,1290,21107399,1226960,17203001
15,Japan,7487624,47460,29151,49,6985295,65198,473178,202,59529,232,46249180,367697,125780765
16,Iran,7213808,1413,140919,23,6958045,3104,114844,1173,83955,1640,50079995,582837,85924601
17,Colombia,6090246,0,139755,0,5923619,0,26872,342,117442,2695,34306661,661558,51857407
18,Indonesia,6042595,585,156015,41,5855361,14416,31219,2771,21680,560,94642736,339561,278720770
19,Poland,5988518,1178,115899,30,5334233,70,538386,268,158543,3068,35991052,952847,37772127
20,Mexico,5730560,1290,324004,31,5031487,1138,375069,4798,43623,2466,15737769,119800,131366835
21,Australia,5563871,54558,6892,50,5131262,0,425717,151,213736,265,68623280,2636163,26031505
22,Ukraine,4995390,0,108286,0,N/A,N/A,N/A,177,115469,2503,19521252,451236,43261691
23,Malaysia,4409202,0,35465,0,4283013,0,90724,97,133164,1071,58132383,1755677,33111092
24,Thailand,4106230,21931,27395,129,3889912,24619,188923,1496,58564,391,17270775,246322,70114714
25,Austria,4072410,0,16470,0,3945134,0,110806,138,447579,1810,181007797,19893715,9098743
26,Israel,4044994,0,10658,0,3941841,0,92495,220,433733,1143,41373364,4436346,9326000
27,Belgium,3972963,0,31165,0,3690303,7246,251495,181,340143,2668,33313880,2852152,11680261
28,Czechia,3890336,3440,40038,7,3825513,1704,24785,49,362071,3726,55075486,5125837,10744682
29,South Africa,3746424,0,100211,0,3630033,0,16180,175,61769,1652,24234233,399560,60652262
30,Portugal,3719485,0,21993,0,N/A,N/A,N/A,61,366694,2168,40748372,4017275,10143287
31,Philippines,3683865,134,60056,66,3607038,1159,16771,289,32833,535,29359833,261670,112201620
32,Canada,3664699,0,38542,0,3409765,0,216392,426,95592,1005,60442165,1576610,38336789
33,Switzerland,3579867,0,13816,0,3305310,0,260741,90,408271,1576,20666182,2356905,8768356
34,Peru,3557869,0,212704,0,N/A,N/A,N/A,353,105271,6294,29509747,873145,33797084
35,Chile,3535534,0,57283,0,3343862,0,134389,305,182140,2951,36543862,1882631,19411064
36,Greece,3259613,0,28765,0,3123776,0,107072,291,315500,2784,78430601,7591348,10331577
37,Denmark,2956306,1878,6047,17,2924314,2587,25945,17,507185,1037,127114943,21807872,5828856
38,Romania,2886284,1063,65403,19,2606660,0,214221,229,151853,3441,22554522,1186635,19007121
39,Sweden,2498388,0,18656,0,2461823,2467,17909,19,244642,1827,18493218,1810854,10212427
40,Iraq,2323707,0,25201,0,2294565,0,3941,29,55533,602,18439137,440668,41843650
41,Serbia,1999753,977,15945,5,1964782,989,19026,26,230542,1838,9415165,1085430,8674135
42,Bangladesh,1952440,0,29127,0,1892072,0,31241,1283,11647,174,13941498,83164,167637653
43,Hungary,1888906,3041,46024,24,1770066,6155,72816,48,196428,4786,11285527,1173586,9616275
44,Slovakia,1770460,2415,19803,13,1721905,4363,28752,109,323999,3624,7041022,1288528,5464394
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163138,1353,16670254,1605202,10385143
46,Georgia,1653915,223,16794,0,1634990,399,2131,0,416037,4224,16774959,4219682,3975408
47,Pakistan,1527589,103,30368,0,1493870,74,3351,205,6682,133,27987766,122433,228597071
48,Ireland,1506963,0,6981,0,1390904,7691,109078,37,299185,1386,12009921,2384390,5036894
49,Norway,1421691,0,2871,0,N/A,N/A,N/A,20,258611,522,11002430,2001382,5497415
50,Kazakhstan,1305431,14,13660,0,1290945,41,826,24,68061,712,11575012,603486,19180263
51,Hong Kong,1200334,628,9212,26,N/A,N/A,N/A,115,157808,1211,44972952,5912610,7606277
52,Singapore,1170970,0,1319,0,1102269,0,67382,8,197365,222,23712995,3996783,5933021
53,Morocco,1164507,0,16064,0,1147911,0,532,293,30892,426,11237010,298090,37696657
54,Bulgaria,1151620,0,36827,0,957834,0,156959,116,168010,5373,9777999,1426514,6854470
55,Croatia,1115442,1301,15765,8,1095334,573,4343,23,274754,3883,4754410,1171100,4059781
