,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,508048157,347758,6237310,1130,460429649,458839,41381198,41721,65178,800.2,0,0,0
1,USA,82553058,0,1017609,0,80355389,0,1180060,1492,246798,3042,999047824,2986727,334495877
2,India,43052425,0,522116,0,42516068,0,14241,698,30655,372,833825991,593715,1404421106
3,Brazil,30330629,0,662556,0,29353398,0,314675,8318,140890,3078,63776166,296249,215278697
4,France,28076017,0,144799,0,25618673,0,2312545,1677,428423,2210,266484045,4066382,65533452
5,Germany,23987618,72181,134434,150,21058000,204900,2795184,1980,284665,1595,122332384,1451739,84266089
6,UK,21909509,0,173032,0,20652937,0,1083540,349,319717,2525,514563763,7508832,68527802
7,Russia,18119862,9001,374563,195,17451090,13480,294209,2300,124069,2565,273400000,1871999,146047077
8,S. Korea,16755055,81010,21873,206,N/A,N/A,N/A,833,326300,426,15804065,307780,51348592
9,Italy,15934437,0,162264,0,14549360,0,1222813,415,264245,2691,210506904,3490887,60301830
10,Turkey,15010718,0,98645,0,14817258,0,94815,975,174600,1147,157823818,1835753,85972252
11,Spain,11736893,0,103721,0,11220981,0,412191,345,250856,2217,471036328,10067596,46787369
12,Vietnam,10544324,11160,42998,7,9079265,2338,1422061,822,106600,435,85776230,867173,98914740
13,Argentina,9060923,0,128344,0,8895999,0,36580,412,197225,2794,35716069,777414,45942138
14,Netherlands,8035603,2628,22206,9,7604443,42770,408954,94,467102,1291,21107399,1226953,17203105
15,Japan,7535033,47409,29201,50,7027666,42371,478166,207,59907,232,46394230,368853,125779711
16,Iran,7214904,1096,140940,21,6960970,2925,112994,1134,83965,1640,50079995,582817,85927538
17,Colombia,6090520,0,139759,0,5923901,0,26860,342,117444,2695,34327907,661948,51858888
18,Indonesia,6043246,651,156040,25,5866169,10808,21037,2771,21681,560,94695148,339740,278728668
19,Poland,5989614,1097,115926,27,5334291,72,539397,268,158573,3069,36005439,953231,37772015
20,Mexico,5731635,1075,324033,29,5032356,869,375246,4798,43630,2467,15747399,119870,131370534
21,Australia,5612854,48984,6939,46,5186006,0,419909,134,215611,267,68697978,2638950,26032313
22,Ukraine,4996411,0,108296,0,N/A,N/A,N/A,177,115495,2503,19521252,451244,43260977
23,Malaysia,4415101,0,35470,0,4291447,0,88184,92,133337,1071,58190515,1757373,33112225
24,Thailand,4128038,21808,27523,128,3909738,19826,190777,1496,58875,393,17270775,246320,70115191
25,Austria,4092513,8155,17057,0,3967810,9448,107646,127,449782,1875,181611092,19959713,9098883
26,Israel,4047693,0,10658,0,4009152,0,27883,220,434022,1143,41373364,4436346,9326000
27,Belgium,4015791,0,31319,0,3710449,20146,274023,169,343806,2681,33456470,2864326,11680399
28,Czechia,3892504,2164,40058,8,3831186,5729,21260,50,362271,3728,55091627,5127313,10744736
29,South Africa,3750830,0,100276,0,3631082,0,19472,175,61839,1653,24262108,400006,60654305
30,Portugal,3719485,0,21993,0,N/A,N/A,N/A,61,366697,2168,40748372,4017307,10143206
31,Canada,3684288,0,38688,0,3415904,0,229696,426,96101,1009,60485077,1577692,38337692
32,Philippines,3684094,230,60118,62,3608194,1156,15782,289,32833,536,29359833,261661,112205605
33,Switzerland,3579867,0,13816,0,3336263,30953,229788,90,408263,1576,20666182,2356859,8768528
34,Peru,3558613,0,212715,0,N/A,N/A,N/A,351,105290,6294,29550426,874316,33798340
35,Chile,3538843,0,57325,0,3350639,0,130879,295,182306,2953,36604833,1885728,19411512
36,Greece,3273382,7014,28839,31,3144822,8592,99721,278,316837,2791,78799329,7627140,10331439
37,Denmark,2957826,1520,6060,13,2926800,2486,24966,15,507441,1040,127128267,21809952,5828911
38,Romania,2887258,974,65412,9,2606660,0,215186,218,151907,3442,22573847,1187674,19006772
39,Sweden,2498388,0,18656,0,2461823,0,17909,19,244638,1827,18493218,1810824,10212599
40,Iraq,2323878,0,25201,0,2295073,0,3604,24,55534,602,18443454,440745,41846122
41,Serbia,2000516,763,15948,3,1966248,1466,18320,24,230633,1839,9422021,1086232,8674039
42,Bangladesh,1952506,21,29127,0,1892816,373,30563,1297,11647,174,13951348,83221,167642133
43,Hungary,1890953,2047,46048,24,1776617,6551,68288,45,196642,4789,11295119,1174592,9616208
44,Slovakia,1772201,1741,19817,14,1725465,3560,26919,92,324318,3627,7046883,1289598,5464401
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163134,1353,16670254,1605160,10385419
46,Georgia,1654076,161,16795,1,1635291,301,1990,0,416079,4225,16793137,4224277,3975387
47,Pakistan,1527669,80,30368,0,1493933,63,3368,196,6682,133,28008999,122519,228608810
48,Ireland,1509536,1163,6996,3,1397936,7032,104604,39,299687,1389,12016948,2385714,5037045
49,Norway,1422583,0,2871,0,N/A,N/A,N/A,20,258768,522,11002430,2001340,5497531
50,Kazakhstan,1305440,9,13660,0,1290964,19,816,24,68059,712,11575012,603466,19180876
51,Hong Kong,1200908,574,9227,15,N/A,N/A,N/A,115,157880,1213,44972952,5912481,7606443
52,Singapore,1174390,0,1322,0,1104841,0,68227,6,197937,223,23712995,3996698,5933147
53,Morocco,1164567,0,16064,0,1148002,0,501,293,30892,426,11237010,298081,37697852
54,Bulgaria,1152251,0,36838,0,959289,0,156124,111,168106,5374,9788010,1428004,6854328
55,Croatia,1116281,839,15772,7,1096180,846,4329,22,274966,3885,4758247,1172065,4059712
56,Cuba,1101220,282,8523,1,1091293,316,1404,23,97331,753,12920253,1141953,11314174
57,Lebanon,1096099,0,10370,0,1078634,0,7095,186,161895,1532,4795578,708311,6770443
58,Lithuania,1053448,994,9046,5,1014419,1444,29983,40,396935,3408,8208195,3092814,2653957
59,Tunisia,1039532,0,28533,0,N/A,N/A,N/A,29,86331,2370,4563397,378983,12041170
60,Slovenia,1002908,1154,6569,1,978652,1900,17687,29,482294,3159,2638757,1268967,2079452
61,Finland,1000472,0,3638,0,46000,0,950834,31,180064,655,10644579,1915799,5556210
62,Nepal,978714,9,11951,0,966481,25,282,0,32537,397,5609917,186502,30079674
63,Belarus,976906,645,6920,3,928536,0,41450,0,103445,733,13083013,1385365,9443729
64,Bolivia,904212,0,21906,0,854077,0,28229,220,75606,1832,2693845,225246,11959546
65,UAE,896631,259,2302,0,879054,396,15275,0,88728,228,153868758,15226326,10105442
66,Uruguay,895775,0,7197,0,886654,0,1924,18,256273,2059,6091188,1742632,3495396
67,New Zealand,870591,9473,610,10,812490,7832,57491,0,174045,122,6980390,1395492,5002100
68,Ecuador,866925,0,35528,0,N/A,N/A,N/A,759,47830,1960,2470170,136284,18125117
69,Costa Rica,847784,0,8383,0,829515,0,9886,43,163733,1619,4240743,819019,5177833
70,Guatemala,840477,0,17475,0,820297,0,2705,5,45402,944,4392324,237271,18511815
71,Latvia,816298,765,5739,4,801727,957,8832,8,441557,3104,7147575,3866315,1848679
72,Azerbaijan,792457,12,9707,0,782621,18,129,0,76910,942,6788729,658867,10303646
73,Panama,770463,0,8180,0,759150,0,3133,9,173646,1844,5813988,1310347,4436982
74,Saudi Arabia,753241,117,9075,0,740244,236,3922,46,21046,254,41807813,1168161,35789428
75,Sri Lanka,663041,0,16499,0,642568,0,3974,0,30732,765,6486117,300633,21574834
76,Paraguay,648682,0,18786,0,624673,0,5223,6,88980,2577,2615453,358763,7290200
77,Kuwait,631076,0,2555,0,627610,0,911,8,143943,583,7986760,1821708,4384216
78,Myanmar,612697,0,19434,0,591544,0,1719,0,11127,353,7870822,142934,55066249
79,Palestine,581816,0,5353,0,575899,0,564,17,109472,1007,3078533,579245,5314731
80,Dominican Republic,578954,0,4376,0,574297,0,281,16,52424,396,3261060,295287,11043679
81,Estonia,569722,376,2531,3,505835,787,61356,7,428962,1906,3307699,2490475,1328140
82,Bahrain,565076,0,1475,0,559916,0,3685,3,312556,816,9690419,5359979,1807921
83,Venezuela,522070,0,5705,0,515135,0,1230,230,18454,202,3359014,118731,28290950
84,Moldova,516864,0,11487,0,504008,0,1369,48,128666,2860,3213594,799980,4017091
85,Egypt,515645,0,24613,0,442182,0,48850,122,4873,233,3693367,34907,105806911
86,Libya,501862,0,6429,0,490900,0,4533,101,71293,913,2476960,351869,7039428
87,Ethiopia,470389,0,7510,0,454163,0,8716,15,3917,63,4756760,39611,120085619
88,Mongolia,469520,29,2177,0,313256,0,154087,192,139188,645,4030048,1194697,3373280
89,Cyprus,464366,0,993,0,124370,0,339003,60,379639,812,9477138,7747969,1223177
90,Armenia,422814,9,8622,0,410535,18,3657,0,142208,2900,3029751,1019016,2973211
91,Honduras,422275,0,10892,0,131100,0,280283,105,41448,1069,1263329,124001,10188052
92,Oman,388995,0,4257,0,384055,0,683,2,72842,797,25000000,4681452,5340223
93,Bosnia and Herzegovina,376699,57,15756,3,192218,0,168725,0,116118,4857,1752716,540278,3244098
94,Réunion,374295,0,742,0,355605,0,17948,10,412760,818,1603660,1768461,906811
95,Qatar,364012,107,677,0,362451,113,884,1,129643,241,3424878,1219771,2807805
96,Kenya,323688,24,5649,0,317902,20,137,0,5790,101,3578739,64018,55901949
97,Zambia,318984,0,3974,0,314075,0,935,0,16519,206,3408441,176513,19309901
98,North Macedonia,308964,0,9266,0,298916,0,782,0,148311,4448,2003269,961621,2083220
99,Botswana,305859,0,2688,0,303026,0,145,1,125504,1103,2026898,831702,2437048
100,Albania,274606,0,3496,0,270789,0,321,2,95610,1217,1795792,625245,2872142
101,Algeria,265754,0,6874,0,178341,0,80539,6,5870,152,230861,5099,45275692
102,Nigeria,255679,0,3143,0,249886,0,2650,11,1187,15,5036813,23391,215329384
103,Zimbabwe,247383,0,5467,0,241170,0,746,12,16219,358,2234565,146507,15252247
104,Uzbekistan,238418,27,1637,0,236423,26,358,23,6942,48,1377915,40123,34342021
105,Montenegro,234549,77,2711,0,231209,63,629,6,373361,4315,2443950,3890345,628209
106,Luxembourg,233137,0,1056,0,220258,0,11823,1,361844,1639,4211394,6536366,644302
107,Mozambique,225351,0,2201,0,223088,0,62,13,6864,67,1308458,39855,32830285
108,Laos,204274,756,730,0,7660,0,195884,0,27362,98,1232128,165042,7465532
109,Kyrgyzstan,200983,0,2991,0,196371,11,1621,131,29918,445,1907195,283899,6717867
110,China,196086,2133,4674,11,160599,2730,30813,251,136,3,160000000,111163,1439323776
111,Iceland,183974,0,112,0,75685,0,108177,1,532904,324,1953616,5658899,345229
112,Maldives,178883,0,298,0,163687,0,14898,25,320767,534,2213831,3969765,557673
113,Afghanistan,178638,25,7680,0,161683,0,9275,1124,4410,190,939371,23191,40505408
114,Uganda,164069,0,3596,0,100205,0,60268,2,3394,74,2612795,54052,48338607
115,El Salvador,162089,0,4127,0,150662,0,7300,8,24765,631,1950448,298001,6545106
116,Ghana,161124,0,1445,0,159655,0,24,1,4998,45,2433244,75473,32239775
117,Namibia,158112,0,4022,0,153662,0,428,0,60263,1533,997168,380062,2623695
118,Martinique,147519,0,918,0,104,0,146497,8,393656,2450,828928,2212002,374741
119,Trinidad and Tobago,143465,0,3808,0,133138,0,6519,18,101919,2705,693892,492946,1407644
120,Brunei,140873,150,218,0,139523,114,1132,2,316556,490,717784,1612933,445018
121,Guadeloupe,140130,0,854,0,2250,0,137026,19,350109,2134,938039,2343650,400247
122,Cambodia,136172,26,3056,0,132880,29,236,0,7947,178,2946965,171982,17135324
123,Rwanda,129760,0,1458,0,45522,0,82780,0,9591,108,5218611,385715,13529719
124,Jamaica,129373,0,2937,0,82795,0,43641,0,43349,984,975768,326953,2984428
125,Cameroon,119780,0,1927,0,117791,0,62,13,4319,69,1751774,63162,27734402
126,Angola,99194,0,1900,0,97149,0,145,0,2858,55,1499795,43216,34704728
127,Malta,90168,249,684,0,83521,552,5963,4,203237,1542,1868587,4211764,443659
128,DRC,87023,0,1337,0,50930,0,34756,0,921,14,846704,8964,94457858
129,Senegal,85982,4,1965,0,83999,4,18,1,4903,112,1062683,60595,17537525
130,Malawi,85741,0,2633,0,81934,0,1174,67,4283,132,570669,28506,20019045
131,Ivory Coast,81875,0,799,0,81054,0,22,0,2972,29,1492363,54163,27553175
132,French Guiana,80422,0,394,0,11254,0,68774,1,257263,1260,622646,1991792,312606
133,Suriname,79302,0,1327,0,49396,0,28579,0,133037,2226,235824,395617,596091
