,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,512989268,184446,6259716,707,466865439,210814,39864113,41154,65812,803.1,0,0,0
1,USA,83037059,0,1020660,0,80655685,0,1360714,1562,248214,3051,1005251244,3004892,334538223
2,India,43075864,0,523803,0,42533377,0,18684,698,30665,373,837442023,596164,1404717429
3,Brazil,30433042,0,663484,0,29507557,0,262001,8318,141344,3082,63776166,296204,215311673
4,France,28595803,0,145869,0,26693852,0,1756082,1677,436333,2226,266484045,4066187,65536600
5,Germany,24704597,0,135794,0,22307900,80300,2260903,1446,293153,1611,122332384,1451639,84271929
6,UK,22038340,0,174912,0,21168267,0,695161,302,321561,2552,517337635,7548453,68535581
7,Russia,18182354,7363,375884,157,17539985,11022,266485,2300,124495,2574,273400000,1871982,146048440
8,S. Korea,17237878,43262,22794,70,N/A,N/A,N/A,490,335697,444,15804065,307774,51349553
9,Italy,16409183,0,163377,0,14998689,0,1247117,371,272126,2709,213390610,3538822,60299895
10,Turkey,15030321,0,98760,0,14936277,0,-4716,975,174787,1148,158905150,1847905,85992077
11,Spain,11896152,0,104456,0,11389694,0,402002,339,254258,2233,471036328,10067511,46787764
12,Vietnam,10649809,5109,43041,3,9262255,16727,1344513,475,107646,435,85798077,867227,98933864
13,Argentina,9072230,0,128542,0,8895999,0,47689,372,197432,2797,35716069,777261,45951194
14,Netherlands,8047132,0,22243,0,7811564,0,213325,66,467750,1293,21107399,1226894,17203931
15,Japan,7850252,36403,29548,42,7402570,46281,418134,171,62417,235,48679214,387046,125771286
16,Iran,7221653,532,141083,11,6983502,3019,97068,996,84021,1641,50914586,592367,85951036
17,Colombia,6092403,0,139793,0,5926016,0,26594,342,117454,2695,34465052,664441,51870736
18,Indonesia,6046796,329,156257,17,5882660,598,7879,2771,21689,560,95495775,342534,278791850
19,Poland,5996514,842,116059,17,5334680,61,545775,1321,158759,3073,36092285,955553,37771112
20,Australia,5928306,39258,7242,53,5553745,0,367319,139,227672,278,69334180,2662728,26038778
21,Mexico,5738769,958,324294,40,5038150,677,376325,4798,43674,2468,15801675,120256,131400125
22,Ukraine,5001719,0,108391,0,N/A,N/A,N/A,177,115633,2506,19521252,451303,43255264
23,Malaysia,4445897,0,35542,0,4360061,0,50294,78,134231,1073,58674831,1771514,33121289
24,Thailand,4250949,12888,28529,126,4070856,17105,151564,1496,60625,407,17270775,246307,70119008
25,Austria,4140543,5199,18156,18,4042540,7931,79847,87,455005,1995,183002443,20110150,9100004
26,Israel,4074119,0,10695,0,4038393,0,25031,220,436856,1147,41373364,4436346,9326000
27,Belgium,4056448,0,31439,0,3788323,0,236686,150,347254,2691,33531891,2870513,11681499
28,Czechia,3905101,1436,40155,8,3845118,97,19828,29,363429,3737,55199677,5137162,10745169
29,Portugal,3853800,0,22280,0,N/A,N/A,N/A,61,379963,2197,41218424,4063908,10142559
30,South Africa,3785398,0,100360,0,3646241,0,38797,192,62393,1654,24454151,403064,60670648
31,Canada,3746284,0,39230,0,3451808,0,255246,468,97700,1023,60871310,1587468,38344917
32,Philippines,3685643,240,60341,36,3618137,1428,7165,289,32838,538,29565513,263419,112237488
33,Switzerland,3602489,0,13859,0,3459053,0,129577,87,410778,1580,20767523,2368043,8769910
34,Peru,3564558,0,212810,0,N/A,N/A,N/A,324,105434,6295,29813461,881836,33808382
35,Chile,3556333,0,57509,0,3406916,0,91908,231,183174,2962,36955800,1903457,19415094
36,Greece,3317425,0,29114,0,3209096,0,79215,244,321134,2818,79660677,7711338,10330331
37,Denmark,2966047,843,6158,9,2941761,1304,18128,13,508812,1056,127218115,21823700,5829356
38,Romania,2893876,887,65486,8,2606660,0,221730,198,152277,3446,22702071,1194595,19003982
39,Sweden,2500917,0,18739,0,2469149,1071,13029,21,244853,1835,18513445,1812561,10213973
40,Iraq,2324982,0,25211,0,2297546,0,2225,21,55534,602,18474304,441273,41865898
41,Serbia,2005832,0,15984,0,1972747,0,17101,26,231266,1843,9481282,1093161,8673273
42,Bangladesh,1952691,17,29127,0,1895404,258,28160,1297,11645,174,13990466,83437,167677969
43,Hungary,1901017,0,46201,0,1804295,0,50521,41,197700,4805,11339446,1179267,9615674
44,Slovakia,1780955,933,19905,14,1743306,915,17744,70,325916,3643,7088924,1297278,5464459
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163099,1352,16670254,1604818,10387632
46,Georgia,1655098,153,16807,0,1637037,237,1254,0,416354,4228,16908154,4253388,3975220
47,Pakistan,1528412,65,30371,0,1494141,0,3900,131,6683,133,28156480,123114,228702716
48,Ireland,1517112,0,7087,0,1452338,5232,57687,37,301119,1407,12063637,2394410,5038250
49,Norway,1425809,0,2932,0,N/A,N/A,N/A,20,259311,533,11002430,2001004,5498456
50,Kazakhstan,1305521,0,13660,0,1291055,0,806,24,68046,712,11575012,603312,19185784
51,Hong Kong,1204210,363,9308,10,N/A,N/A,N/A,115,158287,1223,44972952,5911450,7607770
52,Singapore,1195767,0,1334,0,1130012,0,64421,6,201506,225,23712995,3996022,5934151
53,Morocco,1164907,0,16069,0,1148436,0,402,293,30893,426,11237010,298005,37707412
54,Bulgaria,1156466,0,36911,0,978104,0,141451,82,168749,5386,9843550,1436345,6853191
55,Croatia,1122459,797,15828,6,1100854,1032,5777,24,276525,3899,4786857,1179272,4059162
56,Cuba,1102750,0,8526,0,1093247,0,977,23,97468,754,12920253,1141968,11314024
57,Lebanon,1096854,0,10384,0,1081392,0,5078,186,162022,1534,4795578,708380,6769778
58,Lithuania,1058195,504,9094,2,1023749,1229,25352,35,398847,3428,8247311,3108518,2653133
59,Tunisia,1040193,0,28550,0,N/A,N/A,N/A,29,86367,2371,4572976,379693,12043871
60,Finland,1023013,0,3939,0,46000,0,973074,24,184114,709,10720282,1929358,5556398
61,Slovenia,1010058,948,6592,0,990337,1319,13129,23,485731,3170,2646120,1272505,2079458
62,Belarus,979909,0,6943,0,928536,0,44430,0,103764,735,13147723,1392227,9443662
63,Nepal,978810,4,11951,0,966629,17,230,0,32528,397,5636303,187308,30091143
64,New Zealand,930969,7122,702,6,877888,7966,52379,0,186116,140,7078901,1415186,5002100
65,Bolivia,904883,0,21910,0,858053,0,24920,220,75640,1831,2699040,225615,11963027
