,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,516778416,283953,6275285,708,471418144,256945,39084987,40047,66298,805.1,0,0,0
1,USA,83534060,0,1024386,0,80910509,0,1599165,1724,249672,3062,1011100248,3022041,334575277
2,India,43098743,0,524024,0,42554416,0,20303,698,30676,373,840332469,598111,1404976711
3,Brazil,30543908,0,664143,0,29612822,0,266943,8318,141840,3084,63776166,296164,215340527
4,France,28890139,0,146608,0,27537766,0,1205765,1408,440806,2237,269816888,4116868,65539354
5,Germany,25336868,47278,136913,101,23206000,70500,1993955,1279,300638,1625,122332384,1451551,84277039
6,UK,22114034,0,176212,0,21456172,0,481650,253,322633,2571,519264096,7575810,68542387
7,Russia,18222219,5500,376828,132,17596716,8649,248675,2300,124767,2580,273400000,1871966,146049633
8,S. Korea,17504334,39552,23289,83,N/A,N/A,N/A,419,340880,454,15804065,307769,51350394
9,Italy,16767773,40522,164417,113,15471992,55691,1131364,355,278081,2727,215865197,3579961,60298201
10,Turkey,15040238,0,98826,0,14938050,0,3362,975,174867,1149,159650441,1856197,86009425
11,Spain,12009059,0,104869,0,11467015,0,437175,339,256669,2241,471036328,10067437,46788109
12,Vietnam,10673915,3345,43055,0,9318525,2288,1312335,473,107871,435,85805012,867150,98950598
13,Argentina,9083673,0,128653,0,8895999,0,59021,372,197647,2799,35716069,777127,45959118
14,Netherlands,8057700,0,22270,0,7925872,0,109558,52,468344,1294,21107399,1226842,17204654
15,Japan,8023895,23615,29761,35,7678842,48533,315292,165,63801,237,49380167,392642,125763913
16,Iran,7224701,270,141165,8,7002258,2549,81278,916,84036,1642,50914586,592226,85971597
17,Australia,6213812,44953,7495,41,5834675,0,371642,131,238585,288,69899724,2683864,26044435
18,Colombia,6093645,0,139809,0,5927076,0,26760,342,117454,2695,34560302,666144,51881103
19,Indonesia,6048204,218,156371,14,5885406,307,6427,2771,21690,561,96169440,344882,278847134
20,Poland,6000217,704,116138,14,5334901,52,549178,1125,158861,3075,36155458,957245,37770322
21,Mexico,5740080,0,324350,0,5039624,0,376106,4798,43675,2468,15801675,120232,131426017
22,Ukraine,5002870,0,108411,0,N/A,N/A,N/A,177,115673,2507,19521252,451356,43250266
23,Malaysia,4454113,0,35569,0,4391090,0,27454,66,134447,1074,58880012,1777283,33129220
24,Thailand,4316769,8450,29037,58,4193895,12224,93837,1496,61561,414,17270775,246295,70122349
25,Austria,4177928,5168,18242,14,4090144,5981,69542,78,459063,2004,184069396,20225217,9100985
26,Belgium,4088336,0,31552,0,3884238,23093,172546,124,349955,2701,33714218,2885883,11682461
27,Israel,4087885,0,10741,0,4052605,0,24539,150,438332,1152,41373364,4436346,9326000
28,Portugal,3935932,0,22420,0,N/A,N/A,N/A,61,388083,2211,41541745,4096014,10141993
29,Czechia,3912121,794,40212,2,3861855,1706,10054,22,364069,3742,55271340,5143650,10745548
30,South Africa,3827378,0,100505,0,3673270,0,53603,192,63070,1656,24626847,405815,60684949
31,Canada,3787353,0,39716,0,3476863,0,270774,468,98754,1036,61161915,1594783,38351239
32,Philippines,3686868,175,60439,0,3622124,387,4305,289,32841,538,29696061,264517,112265386
33,Switzerland,3619035,0,13865,0,3507621,6990,97549,69,412608,1581,20851897,2377336,8771118
34,Chile,3572817,0,57614,0,3438624,0,76579,180,183993,2967,37263025,1918971,19418229
35,Peru,3569026,0,212913,0,N/A,N/A,N/A,347,105539,6296,30012076,887480,33817168
36,Greece,3353886,0,29349,0,3248273,0,76264,211,324694,2841,80435748,7787097,10329363
37,Denmark,2971655,846,6234,8,2952814,1206,12607,6,509740,1069,127282729,21833327,5829745
38,Romania,2898848,590,65560,6,2606660,0,226628,169,152559,3450,22827291,1201339,19001541
39,Sweden,2503090,0,18791,0,2472416,0,11883,16,245036,1840,18534055,1814365,10215175
40,Iraq,2325522,55,25213,0,2298995,129,1314,10,55524,602,18496907,441631,41883203
41,Serbia,2009677,428,16024,5,1981836,983,11817,24,231727,1848,9537555,1099734,8672603
42,Bangladesh,1952776,10,29127,0,1897263,217,26386,1273,11644,174,14007248,83521,167709326
43,Hungary,1903200,0,46266,0,1808061,0,48873,40,197936,4812,11355462,1180990,9615207
44,Slovakia,1784899,489,19968,7,1753692,1443,11239,41,326635,3654,7112210,1301528,5464509
45,Jordan,1694216,0,14048,0,1678941,0,1227,124,163069,1352,16670254,1604519,10389567
46,Georgia,1655221,0,16811,0,1637293,0,1117,0,416400,4229,16920079,4256543,3975075
47,Pakistan,1528690,36,30372,0,1494141,0,4177,105,6682,133,28228518,123385,228784884
48,Ireland,1522363,0,7131,0,1474040,0,41192,35,302098,1415,12101379,2401399,5039304
49,Norway,1427790,0,3006,0,N/A,N/A,N/A,20,259633,547,11002430,2000709,5499266
50,Kazakhstan,1305584,11,13661,0,1291359,107,564,24,68034,712,11575012,603177,19190079
51,Singapore,1212337,0,1346,0,1147296,0,63695,5,204268,227,23767171,4004558,5935030
52,Hong Kong,1206319,278,9344,0,N/A,N/A,N/A,5,158540,1228,44972952,5910547,7608932
53,Morocco,1165206,55,16070,0,1148856,76,280,293,30894,426,11237010,297939,37715777
54,Bulgaria,1158949,0,36965,0,989029,0,132955,77,169135,5395,9877826,1441556,6852197
55,Croatia,1127336,835,15881,7,1106025,765,5430,16,277759,3913,4810816,1185315,4058680
56,Cuba,1103876,123,8527,0,1094698,144,651,23,97568,754,12920253,1141981,11313892
57,Lebanon,1097390,0,10396,0,1083454,0,3540,186,162115,1536,4795578,708441,6769196
58,Lithuania,1059560,195,9119,3,1029136,710,21305,20,399470,3438,8262024,3114910,2652412
59,Finland,1052767,0,4150,0,46000,0,1002617,21,189464,747,10773620,1938900,5556562
60,Tunisia,1040712,0,28566,0,N/A,N/A,N/A,29,86393,2371,4584296,380558,12046235
61,Slovenia,1015456,747,6611,3,997423,1050,11422,18,488326,3179,2651574,1275124,2079464
62,New Zealand,984218,6838,808,11,930155,7119,53255,0,196761,162,7099152,1419234,5002100
63,Belarus,982331,493,6969,3,928536,0,46826,0,104021,738,13202907,1398080,9443602
64,Nepal,978925,11,11952,0,966768,21,205,0,32521,397,5652267,187776,30101179
65,Bolivia,905355,83,21925,1,861403,474,22027,220,75660,1832,2705422,226091,11966073
66,UAE,899835,0,2302,0,883740,0,13793,0,89001,228,156887853,15517566,10110339
67,Uruguay,899723,0,7210,0,888557,0,3956,18,257366,2062,6091188,1742386,3495888
68,Ecuador,870526,0,35598,0,N/A,N/A,N/A,759,48000,1963,2470170,136202,18136103
69,Costa Rica,857290,0,8421,0,836721,0,12148,42,165508,1626,4291131,828446,5179737
70,Guatemala,848807,0,17683,0,828809,0,2315,5,45819,955,4495103,242645,18525416
71,Latvia,824046,0,5789,0,812244,0,6013,7,445953,3133,7196647,3894648,1847830
72,Azerbaijan,792618,11,9709,0,782849,3,60,0,76898,942,6832323,662857,10307387
73,Panama,784184,0,8191,0,765227,0,10766,8,176627,1845,5918817,1333137,4439767
74,Saudi Arabia,755076,234,9099,0,742451,103,3526,55,21085,254,41966629,1171870,35811663
75,Sri Lanka,663533,13,16509,2,646141,3,883,0,30750,765,6486117,300582,21578505
76,Paraguay,649718,0,18872,0,624673,0,6173,2,89078,2587,2633737,361093,7293790
77,Kuwait,631701,0,2555,0,628486,0,660,3,144000,582,8038329,1832388,4386805
78,Myanmar,613049,32,19434,0,591947,19,1668,0,11130,353,8016849,145546,55081174
79,Palestine,581940,0,5353,0,576242,0,345,17,109395,1006,3078533,578715,5319604
80,Dominican Republic,579743,0,4376,0,574987,0,380,1,52474,396,3288872,297686,11048134
81,Estonia,572434,0,2548,0,511857,0,58029,3,430992,1918,3329716,2506982,1328177
82,Bahrain,571441,0,1477,0,566352,0,3612,2,315651,816,9742059,5381286,1810359
83,Venezuela,522625,0,5709,0,515880,0,1036,230,18475,202,3359014,118745,28287662
84,Moldova,516986,0,11489,0,504142,0,1355,49,128709,2860,3216305,800732,4016708
85,Egypt,515645,0,24613,0,442182,0,48850,122,4870,232,3693367,34881,105886134
86,Libya,501904,0,6430,0,490973,0,4501,101,71260,913,2477219,351715,7043258
87,Cyprus,477711,3444,1032,12,124370,0,352309,60,390435,843,9477138,7745696,1223536
88,Ethiopia,470704,0,7510,0,455724,0,7470,5,3916,62,4807378,39994,120202679
89,Mongolia,469885,0,2179,0,313256,0,154450,192,139207,646,4030048,1193931,3375446
90,Honduras,423879,0,10895,0,132358,0,280626,105,41579,1069,1359869,133392,10194513
91,Armenia,422877,0,8622,0,412026,0,2229,0,142218,2900,3059332,1028887,2973437
92,Réunion,398115,0,756,0,383424,0,13935,10,438901,833,1603660,1767952,907072
93,Oman,389126,0,4258,0,384243,0,625,4,72794,797,25000000,4676777,5345562
94,Bosnia and Herzegovina,377229,0,15768,0,192218,0,169243,0,116311,4862,1761186,543028,3243267
95,Qatar,364981,0,677,0,363749,0,555,2,129988,241,3458983,1231917,2807805
96,Kenya,323846,0,5649,0,318055,0,142,0,5788,101,3610647,64533,55950604
97,Zambia,319755,0,3976,0,315266,0,513,1,16541,206,3429405,177404,19331084
